gene_ids,gene_names,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000119457,SLC46A2,0.578243835952399,0.531168495527524,0.625319176377274,0.308173018400697,25.3540938442262,8.16457557930729e-19,1.37328161243949e-14,32.4858270749483
ENSG00000118520,ARG1,0.774583409226216,0.708029842853345,0.841136975599088,3.38554639014393,24.0230092608172,2.83513941955624e-18,2.3843522518468e-14,31.3695447104201
ENSG00000135218,CD36,0.660993038677843,0.593409204179547,0.728576873176139,3.33235930783307,20.187596137251,1.51358268857777e-16,6.73721245907518e-13,27.7067584213095
ENSG00000084110,HAL,0.756277507451809,0.678756958912303,0.833798055991316,3.81322627635226,20.1370059267415,1.60219083450064e-16,6.73721245907518e-13,27.6534250829656
ENSG00000166634,SERPINB12,0.597099973092053,0.532018928367107,0.662181017817,2.61122726610198,18.9375192171618,6.41694093814337e-16,2.15865893159143e-12,26.3454199714446
ENSG00000174502,SLC26A9,0.475850341803158,0.422147546252774,0.529553137353542,-0.305739616752585,18.2895930573955,1.40276294881874e-15,3.93241213318853e-12,25.6023713952116
ENSG00000167968,DNASE1L2,0.489266200917712,0.432440792135253,0.546091609700172,1.86997286327069,17.7718728545797,2.6669374985565e-15,5.25369298080876e-12,24.989036008482
ENSG00000236939,C8orf56,0.716472102834132,0.633218521343843,0.799725684324421,1.5651004627473,17.7634333305512,2.69537661938523e-15,5.25369298080876e-12,24.9788888585668
ENSG00000244617,ASPRV1,0.741817991925994,0.65524842445842,0.828387559393568,4.67913088240069,17.6873457585042,2.96644723212643e-15,5.25369298080876e-12,24.8871866072849
ENSG00000089723,OTUB2,0.319891547966189,0.28247406194921,0.357309033983168,1.94742734967281,17.6465053168576,3.12347977455931e-15,5.25369298080876e-12,24.8378014490427
ENSG00000241978,AKAP2,-0.380076503992373,-0.425308483458005,-0.334844524526741,2.97490017817448,-17.3442681615992,4.59014974970712e-15,7.01875625364307e-12,24.4687389910426
ENSG00000169900,PYDC1,0.633817520941238,0.556566503686224,0.711068538196252,1.23820324269279,16.9352099198198,7.80066450842829e-15,1.05535218195885e-11,23.9589471673127
ENSG00000028277,POU2F2,-0.428607653024369,-0.480952498357357,-0.376262807691381,2.30804961681063,-16.9011614842414,8.15670533024082e-15,1.05535218195885e-11,23.9159692471043
ENSG00000048052,HDAC9,-0.366361492039159,-0.411977641382609,-0.320745342695709,2.03191211494196,-16.5776035016422,1.25137138583743e-14,1.50175290470596e-11,23.5032858948621
ENSG00000269342,TREX2,0.458360898946779,0.40094678978566,0.515775008107899,0.608230828145991,16.4785685382144,1.42854021850746e-14,1.50175290470596e-11,23.3754068727932
ENSG00000183479,TREX2,0.458360898946779,0.40094678978566,0.515775008107899,0.608230828145991,16.4785685382144,1.42854021850746e-14,1.50175290470596e-11,23.3754068727932
ENSG00000135362,PRR5L,-0.38872009537669,-0.438032767039743,-0.339407423713636,2.38160171284808,-16.2708039076275,1.89011589358065e-14,1.87010290176626e-11,23.1047046524265
ENSG00000049089,COL9A2,-0.413527217139047,-0.466340925940635,-0.360713508337459,0.907080002259161,-16.1617350610986,2.19202612086722e-14,2.04832663072148e-11,22.9612650019694
ENSG00000100292,HMOX1,0.490027150364354,0.426784183955413,0.553270116773296,3.23090458764811,15.9933139179788,2.76021926088986e-14,2.44352041937723e-11,22.7379443140151
ENSG00000164929,BAALC,0.601743124769859,0.522646216809256,0.680840032730462,1.25164286566401,15.7029837514031,4.12649365739155e-14,3.30825236175876e-11,22.3476894274126
ENSG00000107984,DKK1,-0.678151204740958,-0.767334834767985,-0.588967574713931,4.49333279677151,-15.6953839116254,4.17050413989552e-14,3.30825236175876e-11,22.3373828100442
ENSG00000035664,DAPK2,0.250382807493481,0.217398013231893,0.283367601755069,2.61333969846961,15.6682782704847,4.33148031254466e-14,3.30825236175876e-11,22.300584954127
ENSG00000183780,SLC35F3,-0.32280026146596,-0.365409558805438,-0.280190964126481,0.144295372106043,-15.6372383622918,4.52376957909937e-14,3.30825236175876e-11,22.258372612826
ENSG00000064989,CALCRL,0.227152235911761,0.196735930610985,0.257568541212537,1.76386603554531,15.4149140716137,6.18769569435481e-14,4.25942723659532e-11,21.9537147943166
ENSG00000118596,SLC16A7,0.333765146395808,0.288952727685664,0.378577565105953,1.19445001847492,15.3735140441905,6.56202886728403e-14,4.25942723659532e-11,21.8965313506224
ENSG00000006625,GGCT,0.362569657995287,0.313805940757013,0.411333375233562,7.56297586302879,15.3470604400084,6.81345715311057e-14,4.25942723659532e-11,21.8599176402431
ENSG00000269741,KLK9,0.563829809255894,0.487985486141502,0.639674132370286,2.25075117295003,15.3445976063064,6.83736833460605e-14,4.25942723659532e-11,21.8565059220928
ENSG00000133121,STARD13,-0.336215509684971,-0.381537731660614,-0.290893287709329,0.829829396284307,-15.3121826529502,7.16032077586478e-14,4.30130698035877e-11,21.8115547346038
ENSG00000154096,THY1,-0.405587758234301,-0.460524428248658,-0.350651088219944,-0.457928067715194,-15.2388803108431,7.95036897233627e-14,4.61121400395504e-11,21.7095776971752
ENSG00000108839,ALOX12,0.339439318420471,0.29207892565607,0.386799711184872,1.92544421504333,14.7937202594818,1.51474106534895e-13,8.49264823972312e-11,21.0804242207179
ENSG00000170989,S1PR1,-0.373102180052662,-0.42528698572354,-0.320917374381784,0.206040495902617,-14.7575501231266,1.59729404561037e-13,8.66660833779565e-11,21.0285488239271
ENSG00000119912,IDE,0.285491551940532,0.245447146424277,0.325535957456787,5.25861320421419,14.7157351062322,1.6985767808374e-13,8.9281442042766e-11,20.9684338422264
ENSG00000078804,TP53INP2,0.366476477279712,0.314817500115339,0.418135454444086,2.01266496409859,14.6430266246952,1.89085623323227e-13,9.63763692211114e-11,20.8635366738504
ENSG00000050628,PTGER3,0.426148453176182,0.365323883477797,0.486973022874568,0.652098944787524,14.4614693689479,2.47613607615416e-13,1.22495908237979e-10,20.5995418095516
ENSG00000137801,THBS1,-0.614486523902551,-0.702870153100808,-0.526102894704294,5.97821344963036,-14.3506338341584,2.92316003882917e-13,1.39908075500218e-10,20.4369183517426
ENSG00000136696,IL36B,0.516231454133441,0.441865617437985,0.590597290828898,0.40542669890342,14.3285269533847,3.02191578767484e-13,1.39908075500218e-10,20.4043482078943
ENSG00000103485,QPRT,-0.403988422878144,-0.46223444218084,-0.345742403575448,3.95954410951784,-14.3163801112981,3.07764494263263e-13,1.39908075500218e-10,20.3864331977261
ENSG00000143520,FLG2,0.725420977496892,0.620675270180998,0.830166684812787,4.69747545155054,14.2950088085716,3.17829763809186e-13,1.40681490191329e-10,20.3548805007714
ENSG00000160862,AZGP1,0.671520858686712,0.574171205807449,0.768870511565975,4.50045836571706,14.2382184156484,3.46269840493453e-13,1.49339967105125e-10,20.2708310414399
ENSG00000101417,PXMP4,0.325759925314633,0.278266944057882,0.373252906571383,3.26168878262041,14.1578978773331,3.9107397648103e-13,1.60758214405161e-10,20.1514490106833
ENSG00000108932,SLC16A6,0.307010920452764,0.262247200477297,0.351774640428231,0.0198663800958337,14.1565753302319,3.91860094566683e-13,1.60758214405161e-10,20.1494782804811
ENSG00000261931,CDC42EP5,-0.27307407163987,-0.313321097975793,-0.232827045303947,3.27228838018661,-14.0048099223607,4.93902889332482e-13,1.89269236490195e-10,19.9222486935181
