p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT14 0 7.24592680086939 1 0.184 0
KRT5 0 6.5468793445775 0.999 0.085 0
VIM 0 -5.62095772559061 0.034 0.969 0
CFD 3.32924351062198e-237 -5.41271800236081 0.249 0.602 1.15261739581243e-232
S100A2 0 5.20713459915372 0.997 0.035 0
SFN 0 5.08912311021907 0.998 0.113 0
DCN 7.94429594021327e-203 -5.00422122752596 0.282 0.58 2.75039469746124e-198
COMP 6.97707878995649e-218 -4.9280157487852 0.003 0.415 2.41553444787084e-213
MGP 0 -4.7757603572398 0.005 0.745 0
IGFBP7 0 -4.64697805440847 0.047 0.845 0
KRT16 0 4.50460235637503 0.955 0.041 0
GSN 0 -4.43832893887247 0.34 0.842 0
KRT17 0 4.35106460520895 0.887 0.069 0
APOD 2.7337946362363e-272 -4.27149474019645 0.005 0.489 9.4646704101137e-268
COL1A2 0 -4.2505568124703 0.019 0.635 0
TAGLN 3.2097469268504e-117 -4.15243504241693 0.07 0.339 1.11124648354488e-112
CLU 0 -4.14528682685532 0.031 0.662 0
LUM 0 -4.00743906379077 0.001 0.53 0
COL3A1 0 -3.92302041712634 0.001 0.599 0
LGALS1 0 -3.89454224999982 0.086 0.834 0
TACSTD2 0 3.79622794030018 0.969 0.05 0
PERP 0 3.79193185427089 0.999 0.405 0
S100A4 0 -3.77136564180722 0.338 0.825 0
S100A14 0 3.76610039960977 0.985 0.022 0
CALML3 0 3.73368312495592 0.969 0.024 0
COL17A1 0 3.69255576952404 0.989 0.019 0
COL6A2 0 -3.6860881820214 0.013 0.698 0
COL1A1 0 -3.68446015736139 0.064 0.602 0
CFH 0 -3.64069314346165 0.002 0.57 0
COL6A1 0 -3.54201448026454 0.047 0.677 0
MIR205HG 0 3.43086246867723 0.987 0.056 0
ACTA2 1.1958930464636e-89 -3.38455260405274 0.023 0.234 4.14030131616164e-85
FBLN1 2.89490508986541e-218 -3.35658967923986 0.131 0.516 1.0022450911623e-213
LY6D 0 3.33937368436892 0.897 0.033 0
C11orf96 1.30336046677711e-180 -3.31510614661117 0.023 0.386 4.51236427202902e-176
FXYD3 0 3.28213896291 0.982 0.057 0
