p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT14 8.56694795621379e-282 6.69707172975648 0.992 0.184 2.96596305192078e-277
KRT5 0 6.22556790567661 0.996 0.085 0
CFD 3.92730668227408e-42 -5.54009252797572 0.232 0.602 1.35967284647011e-37
VIM 4.94281161126315e-139 -5.25259475978075 0.08 0.969 1.71125080793541e-134
DCN 8.9226847926081e-31 -5.05465773158206 0.35 0.58 3.08912270204885e-26
COMP 8.30884724411303e-34 -4.93575208255281 0.008 0.415 2.87660600438437e-29
MGP 1.43977759052566e-86 -4.7780143529893 0 0.745 4.98465399615889e-82
IGFBP7 8.71292314875312e-106 -4.61274664383496 0.072 0.845 3.01650112332982e-101
SFN 0 4.57039509040421 0.996 0.113 0
S100A2 0 4.5233544795113 0.97 0.035 0
GSN 6.53167354764056e-85 -4.29645912388916 0.532 0.842 2.26133069892864e-80
APOD 1.86851274020157e-42 -4.26039858923329 0.013 0.489 6.46897795785186e-38
COL1A2 8.45070964258738e-63 -4.2299281712209 0.038 0.635 2.92572018536018e-58
TAGLN 5.126561653122e-20 -4.17822339441758 0.063 0.339 1.77486690992737e-15
CLU 8.5847300990475e-68 -4.1568786722408 0.034 0.662 2.97211940759124e-63
LUM 6.76477401435427e-48 -4.00357449673727 0.017 0.53 2.34203241150959e-43
KRT16 0 3.93857747699041 0.899 0.041 0
COL3A1 3.94388222500948e-58 -3.91897203554925 0.021 0.599 1.36541146512053e-53
KRT17 0 3.80136325814485 0.857 0.069 0
S100A14 0 3.76438878332424 0.987 0.022 0
COL1A1 2.27765382110333e-53 -3.70820254106941 0.089 0.602 7.88546529404184e-49
COL6A2 3.79796501775325e-74 -3.67074836034931 0.046 0.698 1.31489346879635e-69
CFH 2.92824334863859e-55 -3.64115066250503 0 0.57 1.01378712973217e-50
S100A4 1.41360048653146e-79 -3.60474216390026 0.506 0.825 4.89402624442055e-75
COL6A1 4.67064955785698e-69 -3.55023082183716 0.059 0.677 1.61702558342567e-64
LY6D 0 3.53109518953985 0.937 0.033 0
S100A6 2.48488367512145e-121 -3.47411527162768 0.899 0.969 8.60291577163797e-117
TACSTD2 0 3.4418504797784 0.962 0.05 0
PERP 9.7338615325066e-180 3.40522657782372 0.996 0.405 3.36996020116911e-175
ADIRF 2.48803488090943e-83 -3.39954852568809 0.549 0.846 8.61382556119654e-79
CALML3 0 3.38607682090004 0.975 0.024 0
C11orf96 1.87440060907358e-30 -3.38030917488721 0.008 0.386 6.48936234867366e-26
ACTA2 9.2496286318392e-12 -3.36289658583889 0.055 0.234 3.20231392862905e-07
KRT1 1.75066415413936e-67 3.33872752261485 0.367 0.069 6.06097436804587e-63
DSP 0 3.33389723371477 0.966 0.079 0
SFRP2 4.9254674669184e-32 -3.23238705887389 0.008 0.4 1.70524609172182e-27
LAMA2 6.97256133550277e-42 -3.20950778224701 0.03 0.495 2.41397045996441e-37
SOD3 7.96199627488591e-66 -3.20886558428598 0.025 0.646 2.75652273032825e-61
KRT6A 0 3.20672266760924 0.852 0.022 0
FBLN1 8.54885409933699e-21 -3.121942020816 0.359 0.516 2.95969877773146e-16
LGALS1 2.40186772664999e-88 -3.098956835533 0.203 0.834 8.31550625643494e-84
SPARCL1 2.52291912844341e-49 -3.00735068661983 0.013 0.538 8.73459831458392e-45
COL17A1 0 2.94828148868822 0.848 0.019 0
TIMP3 1.78679253092778e-64 -2.93279126750278 0.19 0.708 6.18605442132508e-60
SELENOM 1.37195544019849e-81 -2.90922206869645 0.046 0.735 4.7498469295112e-77
TPM2 1.55843331583016e-23 -2.90471360007212 0.152 0.437 5.39545198273558e-19
FABP5 3.1981994942902e-111 2.8659189209432 0.827 0.237 1.10724864691821e-106
IGFBP4 7.9319592746409e-65 -2.85528620387037 0.084 0.665 2.74612362047342e-60
DSG3 0 2.84042884353885 0.941 0.008 0
FXYD3 0 2.83078964586485 0.975 0.057 0
LGALS7 0 2.82750495633579 0.852 0.007 0
DSC3 0 2.81985687949746 0.945 0.019 0
MYL9 1.52703072287961e-26 -2.80711352053109 0.148 0.463 5.28673306568149e-22
MFAP4 1.12982484467328e-52 -2.80347014117872 0.013 0.56 3.91156659474337e-48
PLPP3 7.14844438217518e-63 -2.7768642699992 0.051 0.641 2.47486292955287e-58
