p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT1 0 7.24714036195841 0.911 0.069 0
KRT9 0 5.83541027208659 0.852 0.288 0
KRT16 0 5.7529928917471 0.852 0.041 0
DMKN 0 5.69558933786425 0.924 0.092 0
CALML5 0 5.48171082994306 0.902 0.028 0
KRT10 0 5.41715521560632 0.929 0.541 0
KRT14 0 5.27590111653882 0.621 0.184 0
KRTDAP 0 5.25401677243088 0.859 0.025 0
DCN 0 -4.95154775304265 0.119 0.58 0
FABP5 0 4.93023453722819 0.963 0.237 0
SFN 0 4.92220509183732 0.975 0.113 0
VIM 0 -4.83404869651994 0.04 0.969 0
COMP 0 -4.79470450126648 0.008 0.415 0
CFD 0 -4.73434584628033 0.374 0.602 0
KRT5 0 4.63001269000286 0.641 0.085 0
LY6D 0 4.60842984509441 0.954 0.033 0
DSP 0 4.60537948927454 0.971 0.079 0
IGFBP7 0 -4.4532492107841 0.029 0.845 0
CALML3 0 4.41827709012538 0.942 0.024 0
KRT2 0 4.37401434641682 0.346 0.011 0
PERP 0 4.37336674361166 0.98 0.405 0
MGP 0 -4.33727195119245 0.014 0.745 0
S100A14 0 4.33448489121627 0.97 0.022 0
LGALS7 0 4.25340571277266 0.933 0.007 0
S100A6 0 -4.20790537848415 0.323 0.969 0
DSG1 0 4.19063957786943 0.955 0.023 0
TAGLN 0 -4.16644257090424 0.019 0.339 0
COL1A2 0 -4.16622765632947 0.009 0.635 0
KRT6A 0 4.12389960856692 0.654 0.022 0
LGALS7B 0 4.09105465533076 0.906 0.01 0
CLU 0 -4.05880467486954 0.016 0.662 0
GSN 0 -4.05235381319445 0.576 0.842 0
LUM 0 -3.91642222760474 0.006 0.53 0
APOD 0 -3.85981802221135 0.011 0.489 0
COL3A1 0 -3.82738124676476 0.006 0.599 0
SBSN 0 3.82084383225877 0.862 0.012 0
KRT17 0 3.71021831017077 0.61 0.069 0
LGALS1 0 -3.66590078153008 0.042 0.834 0
COL1A1 0 -3.65759216016434 0.049 0.602 0
KRT6B 0 3.57277763615076 0.459 0.02 0
COL6A2 0 -3.55188688050337 0.022 0.698 0
CFH 0 -3.53141849809804 0.007 0.57 0
TACSTD2 0 3.49248197347557 0.944 0.05 0
CSTA 0 3.48661447920725 0.91 0.013 0
ADIRF 0 -3.46683263040594 0.303 0.846 0
LYPD3 0 3.46300771046462 0.943 0.047 0
S100A4 0 -3.46065489715621 0.359 0.825 0
COL6A1 0 -3.45368235266622 0.027 0.677 0
FBLN1 0 -3.43271291072727 0.055 0.516 0
ACTA2 1.23331499583929e-204 -3.36280299623909 0.014 0.234 4.26985984709522e-200
FXYD3 0 3.35401098536459 0.964 0.057 0
KRT6C 0 3.33417992825451 0.429 0.013 0
C11orf96 0 -3.19072502060378 0.026 0.386 0
LAMA2 0 -3.17317887145863 0.012 0.495 0
SFRP2 0 -3.12199976631787 0.005 0.4 0
S100A16 0 3.10619727976782 0.961 0.262 0
SLPI 0 3.10339869729251 0.846 0.038 0
SOD3 0 -3.100547631196 0.006 0.646 0
S100A2 0 3.08701379301681 0.543 0.035 0
PKP1 0 3.08408749746769 0.932 0.042 0
TIMP3 0 -3.01359266005449 0.119 0.708 0
TPM2 0 -3.00521458024215 0.019 0.437 0
AQP3 0 3.00308557700039 0.948 0.046 0
DSC3 0 2.98420070737751 0.951 0.019 0
MYL9 0 -2.93319161041181 0.052 0.463 0
SPARCL1 0 -2.93290187732806 0.01 0.538 0
