p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT1 2.83016511273249e-171 8.01445898001386 0.983 0.069 9.79831463679114e-167
KRT9 3.90775353939736e-46 7.52394151812996 0.915 0.288 1.35290335287476e-41
CALML5 0 7.28060056259341 1 0.028 0
KRTDAP 0 6.18902462447194 1 0.025 0
LOR 1.49420668950823e-86 5.96008766989037 0.169 0.003 5.17309297974645e-82
SFN 1.41547731645314e-118 5.86225810882547 1 0.113 4.9005240172924e-114
VIM 1.20989296763364e-37 -5.69865753189288 0 0.969 4.18877044324441e-33
FLG 2.93017851172654e-122 5.65174260357288 0.237 0.004 1.01445710254485e-117
S100A6 2.07615755143915e-37 -5.6508106519089 0.085 0.969 7.18786505883748e-33
SPRR2G 2.23387281613057e-49 5.4643232905715 0.169 0.006 7.73389107672566e-45
CXCL14 6.88494183720549e-12 -5.46394902757465 0.136 0.562 2.38363571345891e-07
SLURP1 0 5.45665613229029 0.814 0.01 0
DMKN 9.04905786740176e-142 5.40498823483442 1 0.092 3.13287432427316e-137
DCN 4.44041938401153e-14 -5.31547657099875 0.068 0.58 1.53731759493863e-09
SBSN 0 5.21634070944589 1 0.012 0
CFD 4.48571064021081e-10 -5.12059315010971 0.305 0.602 1.55299788074739e-05
KRT10 2.28327148304969e-38 5.07476923176294 0.966 0.541 7.90491420146635e-34
KRT2 8.12087929252561e-193 5.06404015225284 0.492 0.011 2.81152961986529e-188
COMP 1.90160820338385e-09 -4.91649013121662 0.017 0.415 6.58355776093522e-05
LYPD3 7.30173341743662e-226 4.90110585483767 0.966 0.047 2.52793312645073e-221
CNFN 9.67922605851719e-189 4.82492913957043 0.915 0.051 3.35104485371923e-184
MGP 2.35314455467617e-23 -4.7780143529893 0 0.745 8.14682176274435e-19
TACSTD2 5.92762804237908e-228 4.68914251316154 1 0.05 2.05220410455206e-223
IGFBP7 9.55573562814441e-29 -4.63815416926517 0.034 0.845 3.30829123181988e-24
HOPX 2.15532768013128e-58 4.590660352279 0.678 0.087 7.46195996138251e-54
FABP5 1.19245502956178e-63 4.57611883955957 0.983 0.237 4.12839855784584e-59
DSP 2.14390488901695e-153 4.56959112283689 0.983 0.079 7.42241311626558e-149
DSG1 0 4.55828612587539 0.983 0.023 0
PERP 1.67468426397346e-47 4.53395789378611 0.983 0.405 5.79792439030253e-43
SPRR2E 2.40529681547646e-149 4.34219353183063 0.322 0.006 8.32737810486107e-145
CSTA 0 4.31797945821761 0.983 0.013 0
CALML3 0 4.30051831368695 0.881 0.024 0
APOD 3.27754146690672e-12 -4.27593071011651 0 0.489 1.13471763125778e-07
COL1A2 1.26263218661091e-17 -4.2646183490299 0.017 0.635 4.37135889326564e-13
TAGLN 7.15669853020542e-07 -4.2561919016205 0.034 0.339 0.0247772059814242
LGALS1 1.69631755344869e-28 -4.2409015262437 0 0.834 5.87282100179471e-24
S100A14 0 4.19241103826345 0.966 0.022 0
LY6D 6.43921448862039e-231 4.18278187301077 0.847 0.033 2.22932044810527e-226
CLU 8.27694352836539e-19 -4.16618628625527 0.017 0.662 2.86556061895538e-14
S100A4 1.08461851377573e-26 -4.16165123184179 0.085 0.825 3.75505775654296e-22
KRT6B 2.0960332884157e-131 4.08652076708718 0.508 0.02 7.256676847824e-127
SPRR1B 1.99764141956419e-252 3.96643966024347 0.678 0.017 6.91603435867318e-248
