p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT1 0 6.69750325017225 0.646 0.069 0
KRT14 0 6.20293963929479 0.744 0.184 0
KRT5 0 5.53611791858672 0.756 0.085 0
KRT16 0 5.42480350435404 0.881 0.041 0
KRT9 0 5.32753265606839 0.654 0.288 0
DMKN 0 5.14132715869046 0.729 0.092 0
VIM 0 -5.04502773628735 0.04 0.969 0
CALML5 0 4.98671621036453 0.724 0.028 0
DCN 0 -4.97383538200732 0.175 0.58 0
SFN 0 4.97315260909628 0.983 0.113 0
CFD 0 -4.93168311339153 0.331 0.602 0
KRT10 0 4.85673478253361 0.866 0.541 0
COMP 0 -4.83869759868043 0.007 0.415 0
KRTDAP 0 4.71749336538478 0.619 0.025 0
IGFBP7 0 -4.51468919390716 0.036 0.845 0
MGP 0 -4.47155531181644 0.01 0.745 0
FABP5 0 4.39811047649774 0.825 0.237 0
LY6D 0 4.29970160539078 0.936 0.033 0
DSP 0 4.24969710635342 0.972 0.079 0
CALML3 0 4.21673460016241 0.951 0.024 0
PERP 0 4.19839495362027 0.986 0.405 0
COL1A2 0 -4.19359378296106 0.013 0.635 0
S100A14 0 4.16946957404088 0.975 0.022 0
TAGLN 0 -4.16370888134351 0.036 0.339 0
GSN 0 -4.16113036956751 0.505 0.842 0
S100A2 0 4.10690240590792 0.689 0.035 0
CLU 0 -4.08817629547324 0.021 0.662 0
APOD 0 -3.98627376714834 0.009 0.489 0
LUM 0 -3.9456760844842 0.005 0.53 0
LGALS7 0 3.92727406752208 0.906 0.007 0
KRT17 0 3.92490256019104 0.7 0.069 0
COL3A1 0 -3.85893255875467 0.005 0.599 0
KRT2 0 3.84391504118696 0.235 0.011 0
KRT6A 0 3.800149812641 0.679 0.022 0
DSG1 0 3.79032322167165 0.924 0.023 0
S100A6 0 -3.74164359790056 0.505 0.969 0
LGALS1 0 -3.70453393847784 0.061 0.834 0
COL1A1 0 -3.66745817117722 0.055 0.602 0
LGALS7B 0 3.64750937780199 0.816 0.01 0
TACSTD2 0 3.60244029296543 0.953 0.05 0
COL6A2 0 -3.59551465407807 0.02 0.698 0
CFH 0 -3.56755263720454 0.005 0.57 0
S100A4 0 -3.55549100094564 0.356 0.825 0
COL6A1 0 -3.48336058001232 0.034 0.677 0
FBLN1 0 -3.39774510077841 0.089 0.516 0
ADIRF 0 -3.37366536110164 0.381 0.846 0
ACTA2 1.5253161251579e-283 -3.36963900136002 0.018 0.234 5.28079695690915e-279
SBSN 0 3.3322024136346 0.611 0.012 0
FXYD3 0 3.31199286247943 0.969 0.057 0
C11orf96 0 -3.23249521784113 0.025 0.386 0
LAMA2 0 -3.19759631721714 0.01 0.495 0
SFRP2 0 -3.16077154573985 0.004 0.4 0
SOD3 0 -3.13756045008365 0.009 0.646 0
CSTA 0 3.1046421725331 0.829 0.013 0
LYPD3 0 3.08562181569208 0.855 0.047 0
KRT6B 0 3.07162746727918 0.355 0.02 0
TPM2 0 -2.97874587301397 0.044 0.437 0
SPARCL1 0 -2.95707124861872 0.009 0.538 0
TIMP3 0 -2.92596706884931 0.154 0.708 0
AQP3 0 2.91967864161212 0.949 0.046 0
S100A16 0 2.89784117255526 0.961 0.262 0
MYL9 0 -2.89776207523969 0.072 0.463 0
KRT6C 0 2.85531444079676 0.35 0.013 0
DSC3 0 2.85218016240668 0.945 0.019 0
IGFBP4 0 -2.80312423211752 0.046 0.665 0
MFAP4 0 -2.76935450412652 0.01 0.56 0
PKP1 0 2.74104934252457 0.858 0.042 0
PLPP3 0 -2.73553437600266 0.061 0.641 0
TIMP1 0 -2.73037813188323 0.053 0.723 0
MIR205HG 0 2.72952792692262 0.922 0.056 0
PRKG1 0 -2.71990460215887 0.009 0.602 0
SLIT3 0 -2.6624346767262 0.01 0.612 0
CD63 0 -2.63916934665315 0.653 0.89 0
SELENOM 0 -2.63731812930121 0.098 0.735 0
SLPI 0 2.63434102723291 0.646 0.038 0
RGS5 3.69700696920903e-242 -2.61479614794495 0.005 0.182 1.27994078280986e-237
SERPING1 0 -2.5844504688257 0.016 0.67 0
SERPINB5 0 2.56941175916961 0.933 0.014 0
HPSE2 0 -2.56891235063044 0.004 0.432 0
PHLDA2 0 2.56491997711133 0.845 0.147 0
ZBTB20 0 -2.55784259457342 0.199 0.765 0
DSG3 0 2.51721281484544 0.784 0.008 0
RPS17 0 2.50584395156871 0.978 0.744 0
IFITM3 0 -2.5032786012789 0.332 0.788 0
JUP 0 2.49287165218583 0.913 0.121 0
MALAT1 0 -2.49047739443242 0.903 0.976 0
PRRX1 0 -2.47992986952685 0.005 0.611 0
C19orf33 0 2.46813676165465 0.924 0.053 0
SLC2A3 0 -2.46642593877077 0.003 0.465 0
MMP2 0 -2.44634373402594 0.012 0.454 0
RPLP0 0 2.43231482351276 0.981 0.799 0
EBF1 0 -2.41901313019343 0.003 0.61 0
CD81 0 -2.40354704125374 0.582 0.796 0
HSPA1A 0 -2.40229873661916 0.745 0.816 0
PMP22 0 -2.37997574113076 0.028 0.676 0
TRIM29 0 2.37466964291845 0.901 0.045 0
LHFPL6 0 -2.37288497336794 0.112 0.681 0
SPRR1B 0 2.36670237515456 0.383 0.017 0
TIMP2 0 -2.36552703712409 0.017 0.671 0
SPARC 0 -2.36061999735465 0.112 0.684 0
MCTP1 1.18626619914863e-215 -2.35973361916767 0.003 0.161 4.10697220807248e-211
PLAC9 0 -2.35523253018078 0.155 0.662 0
CCL2 3.203467485345e-265 -2.35438232340316 0.028 0.243 1.10907247810129e-260
SERPINF1 0 -2.34744243621661 0.07 0.563 0
COL17A1 0 2.34516278450079 0.422 0.019 0
PAM 0 -2.34195442309476 0.066 0.6 0
C1S 0 -2.32678790377426 0.026 0.535 0
CALD1 0 -2.31596778363874 0.524 0.774 0
C1R 0 -2.31534953062761 0.035 0.532 0
TCF4 0 -2.29505245407993 0.355 0.701 0
SPRR2D 0 2.27334129040872 0.401 0.009 0
COL6A3 0 -2.26237748960557 0.003 0.495 0
AQP1 0 -2.24176549924369 0.008 0.487 0
RPL13A 0 2.20330547786747 0.985 0.903 0
RHOV 0 2.18587763796808 0.805 0.017 0
ZEB1 0 -2.17575795722503 0.019 0.572 0
CXCL12 0 -2.16844881826384 0.007 0.436 0
RPLP1 0 2.16174848111265 0.993 0.976 0
CD74 8.75373686669484e-232 -2.15580518003798 0.023 0.211 3.03063124061842e-227
RBMS3 0 -2.14490533078777 0.014 0.612 0
RPL7 0 2.11970046448889 0.975 0.836 0
CCN2 0 -2.11751630540823 0.02 0.462 0
ZEB2 0 -2.11193410360735 0.005 0.566 0
DAPL1 0 2.11110250141968 0.771 0.026 0
CLDN4 0 2.09728637024757 0.606 0.022 0
AEBP1 0 -2.09054604566692 0.006 0.55 0
ANGPTL7 3.15079084150155e-159 -2.08641537170039 0.002 0.119 1.09083529723625e-154
TNXB 0 -2.07713422097444 0.006 0.497 0
SLURP1 5.62226272798357e-283 2.07507829905084 0.216 0.01 1.94648357905519e-278
PTGDS 7.00868270954465e-208 -2.06898365021458 0.004 0.157 2.42647604087145e-203
FSTL1 0 -2.05921719702611 0.019 0.568 0
PIK3R1 0 -2.05793243191745 0.136 0.566 0
PTN 0 -2.03847177049066 0.053 0.437 0
TXNIP 0 -2.03784306952596 0.449 0.743 0
A2M 0 -2.03144297250842 0.002 0.366 0
CCDC80 0 -2.01928329060297 0.021 0.523 0
DLC1 0 -2.01568640845657 0.148 0.641 0
SPINT2 0 2.00239470752528 0.88 0.041 0
RARRES2 0 -1.99540056288037 0.004 0.476 0
IFITM2 0 -1.97910663397416 0.012 0.621 0
PMAIP1 0 1.97861568887788 0.667 0.06 0
TWIST2 0 -1.96750501973182 0.004 0.458 0
SOCS3 2.52676138575844e-287 -1.96603670997301 0.088 0.341 8.74790059363428e-283
CPE 0 -1.96314299744015 0.022 0.434 0
RPS2 0 1.9624474786998 0.988 0.932 0
VCAN 0 -1.96106675155162 0.002 0.401 0
GNG11 0 -1.93820140064117 0.008 0.499 0
IGFBP5 1.74863112723902e-122 -1.92926617154584 0.162 0.308 6.05393582561422e-118
GSTP1 0 1.92432374890328 0.976 0.766 0
EMP3 0 -1.90766332868209 0.091 0.603 0
FBLN2 0 -1.90324460025498 0.009 0.474 0
RPL4 0 1.90125237208457 0.982 0.778 0
TPM1 0 -1.89783724012939 0.214 0.511 0
PTPRG 0 -1.89444099292699 0.069 0.534 0
EEF1G 0 1.89299354234563 0.981 0.829 0
BICC1 0 -1.88586459996713 0.018 0.416 0
CCN1 0 -1.88420274881211 0.104 0.493 0
FBN1 0 -1.88070426111859 0.004 0.488 0
CELF2 0 -1.86713587971124 0.089 0.549 0
PDGFRB 0 -1.86442146559232 0.003 0.515 0
PRELP 0 -1.86226955589827 0.006 0.432 0
LRP1 0 -1.85791462369503 0.248 0.527 0
LDB2 0 -1.85271363294067 0.005 0.397 0
MUSTN1 4.28829599054315e-271 -1.84824850370011 0.006 0.202 1.48465095488594e-266
KLF2 0 -1.84756113177582 0.139 0.449 0
CTSK 0 -1.84700346626502 0.029 0.445 0
AKT3 0 -1.84296030817838 0.01 0.585 0
IFI27 4.22048785367594e-191 -1.83894401788414 0.04 0.213 1.46117509982115e-186
FHL1 0 -1.83762590690569 0.01 0.5 0
ABI3BP 0 -1.83654780617382 0.011 0.405 0
MYH11 1.28219901042971e-186 -1.83380054042471 0.022 0.179 4.43910119400871e-182
RPS6 0 1.8103612220201 0.992 0.945 0
FXYD1 0 -1.80749223064576 0.007 0.529 0
PDGFRA 0 -1.80626042636165 0.003 0.394 0
COL4A2 0 -1.80225819758291 0.003 0.507 0
ANK2 0 -1.79873781196462 0.006 0.443 0
