p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT14 0 5.65582813248545 0.997 0.09 0
KRT5 0 4.8657711591 0.997 0.076 0
KRT15 0 3.97557726505967 0.87 0.031 0
VIM 0 -3.94139716036727 0.171 0.944 0
IGFBP7 0 -3.70619472464912 0.051 0.649 0
COL17A1 0 3.63762403215615 0.955 0.03 0
PTGDS 0 -3.56938591755942 0.01 0.262 0
CFD 0 -3.54368569566339 0.235 0.507 0
COL1A1 0 -3.43925011701183 0.11 0.512 0
COL1A2 0 -3.43164612591174 0.089 0.552 0
SFN 0 3.4293517240541 0.973 0.092 0
S100A2 0 3.34040393466701 0.866 0.041 0
COL3A1 0 -3.31307192195761 0.07 0.516 0
LGALS1 0 -3.24882186683477 0.091 0.809 0
DCN 7.82790297708308e-112 -3.1303253710405 0.611 0.5 2.71009828969593e-107
MGP 0 -2.98444871390318 0.046 0.512 0
S100A4 0 -2.97342254367012 0.417 0.816 0
TAGLN 1.29589888342726e-215 -2.93178539074602 0.033 0.177 4.48653152431352e-211
SYT8 0 2.89744740872979 0.848 0.013 0
GSN 0 -2.86748002595906 0.331 0.728 0
APOD 0 -2.85650281728103 0.025 0.431 0
PERP 0 2.80637686876792 0.968 0.341 0
HLA-DRA 3.15866815235599e-241 -2.74534469801132 0.036 0.196 1.09356250102717e-236
CD74 0 -2.73109877383208 0.037 0.282 0
MIR205HG 0 2.73037148369252 0.836 0.026 0
CCL27 0 2.70420040068866 0.727 0.03 0
COL6A2 0 -2.65779408377427 0.293 0.584 0
S100A6 0 -2.65524133246627 0.851 0.933 0
LGALS7B 0 2.64047246333943 0.881 0.061 0
SPARCL1 0 -2.61458467443537 0.02 0.347 0
SFRP2 0 -2.575151431862 0.04 0.353 0
TACSTD2 0 2.56435911350826 0.834 0.062 0
DSP 0 2.56046753531538 0.968 0.13 0
ADIRF 0 -2.5559007430349 0.488 0.661 0
CST3 0 -2.54170391258573 0.585 0.739 0
COL6A1 0 -2.51561812002504 0.264 0.553 0
FBLN1 0 -2.49572226129519 0.186 0.428 0
DSC3 0 2.49009952798434 0.902 0.051 0
AQP3 0 2.48015587600244 0.869 0.081 0
CFH 0 -2.45916894713308 0.045 0.484 0
HLA-DRB1 0 -2.43335168202793 0.045 0.244 0
NRARP 0 2.38226936000284 0.767 0.135 0
HES1 0 2.37806177754761 0.872 0.386 0
PLPP3 0 -2.34958895077949 0.074 0.515 0
DSG3 0 2.3473672254687 0.759 0.029 0
SLIT3 0 -2.31557809077469 0.044 0.51 0
CCDC80 0 -2.31037628111671 0.096 0.504 0
CLDN1 0 2.27162444386985 0.7 0.05 0
PLAC9 0 -2.25926953525119 0.113 0.547 0
SOD3 0 -2.21094535881726 0.126 0.486 0
TUBB4B 0 2.20353801316196 0.887 0.474 0
TIMP3 0 -2.19860689791159 0.211 0.593 0
