p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT14 0 4.46781559320724 0.943 0.09 0
KRT5 0 4.31427649427661 0.949 0.076 0
PTGDS 2.04788188721442e-79 -3.5584029341974 0.014 0.262 7.08997188172503e-75
IGFBP7 5.19353696620124e-275 -3.5205892910877 0.079 0.649 1.79805443306853e-270
DMKN 0 3.37657494642815 0.913 0.106 0
CFD 1.96902104604781e-91 -3.33043280573618 0.278 0.507 6.81694776352211e-87
VIM 0 -3.29249210145838 0.257 0.944 0
KRT10 0 3.25213467047609 0.936 0.542 0
SFN 0 3.24964154940314 0.945 0.092 0
DCN 2.44718174550599e-51 -3.21123251464748 0.449 0.5 8.4723879211163e-47
DSP 0 3.19794166647457 0.937 0.13 0
KRT1 0 3.16123788068674 0.832 0.088 0
COL1A2 5.5945300680646e-166 -3.15092044055022 0.135 0.552 1.93688225486465e-161
LGALS7B 0 3.08484746403371 0.869 0.061 0
COL3A1 1.83329031365129e-156 -3.06843909882449 0.105 0.516 6.34703439489212e-152
COL1A1 1.65941455196891e-136 -2.94203771699275 0.138 0.512 5.74505912037155e-132
TAGLN 2.70773832448033e-37 -2.93237305693291 0.037 0.177 9.37446085318335e-33
LY6D 0 2.86676133313461 0.852 0.056 0
APOD 5.35713359828025e-143 -2.85835943894889 0.042 0.431 1.8546932230606e-138
HIST1H4C 2.51247663467394e-133 2.85648254394309 0.73 0.546 8.69844535690465e-129
S100A6 0 -2.82663402911346 0.807 0.933 0
PERP 0 2.80534366838083 0.932 0.341 0
S100A14 0 2.762727598987 0.844 0.048 0
DSC3 0 2.72604030924095 0.861 0.051 0
MGP 9.66721182464979e-169 -2.67879899752674 0.071 0.512 3.346885405812e-164
S100A4 1.93461560296354e-301 -2.64163601679914 0.53 0.816 6.69783267902007e-297
GSN 9.04909305275816e-206 -2.63872820971935 0.458 0.728 3.1328865057954e-201
COL6A2 3.36013644184644e-164 -2.57623477045452 0.211 0.584 1.16331283753166e-159
HLA-DRA 1.78598218945658e-29 -2.55400502237854 0.069 0.196 6.18324893811762e-25
COL6A1 2.33664431821981e-170 -2.51581868248795 0.143 0.553 8.0896962941088e-166
NRARP 0 2.51353518004578 0.852 0.135 0
ADIRF 1.88533430572435e-151 -2.47966980399323 0.476 0.661 6.52721589984826e-147
CST3 5.03300857145454e-180 -2.46306331360808 0.63 0.739 1.74247789752328e-175
S100A2 0 2.45586433253179 0.696 0.041 0
SFRP2 1.36159375943588e-92 -2.45292352613886 0.064 0.353 4.71397375454296e-88
TUBB4B 0 2.37895894325595 0.915 0.474 0
CD74 2.84660954284372e-52 -2.37698701532207 0.083 0.282 9.85524689827924e-48
HMGB2 0 2.36302276896318 0.855 0.337 0
MT1X 0 2.32885787636377 0.888 0.439 0
PTTG1 0 2.31559187696993 0.734 0.084 0
SOD3 1.99977837889114e-155 -2.30857530033023 0.101 0.486 6.92343272555902e-151
SPARCL1 3.79058772880054e-95 -2.29954456451552 0.053 0.347 1.31233937758804e-90
FBLN1 2.57994472088073e-44 -2.29356169976556 0.321 0.428 8.93202661816118e-40
CENPF 0 2.28744695869109 0.67 0.025 0
LGALS1 0 -2.27864263072351 0.175 0.809 0
FTL 0 -2.26871264950251 0.838 0.919 0
ACTA2 4.14575269484508e-35 -2.25378991680886 0.049 0.186 1.43530104048231e-30
SLIT3 7.43140136042053e-175 -2.24055621892731 0.062 0.51 2.57282546499119e-170
DSG1 0 2.23008470968885 0.828 0.053 0
TIMP1 3.38783188202059e-277 -2.22177276615142 0.102 0.661 1.17290127587435e-272
TOP2A 0 2.22084122508254 0.691 0.009 0
SPARC 6.27229243214258e-184 -2.21640629916545 0.163 0.579 2.17153036293208e-179
H2AFZ 0 2.20590666481035 0.886 0.547 0
DSG3 0 2.19661289162543 0.74 0.029 0
CCDC80 8.74217238894134e-148 -2.19441227547066 0.113 0.504 3.02662750277538e-143
TIMP3 2.07849309791453e-186 -2.17876509133917 0.166 0.593 7.19595095428988e-182
CFH 9.56016744208356e-148 -2.17590758527928 0.078 0.484 3.30982557012375e-143
PLPP3 1.93322765164575e-165 -2.16500873311522 0.098 0.515 6.69302745276276e-161
CD63 1.8284881895252e-279 -2.15573673629337 0.663 0.827 6.3304089609552e-275
HLA-DRB1 1.56170343713508e-39 -2.14151430378313 0.084 0.244 5.40677346970538e-35
KRT2 1.01654917054811e-294 2.13193824486488 0.251 0.036 3.51939488335461e-290
LGALS7 0 2.11617345011533 0.571 0.019 0
NUSAP1 0 2.11497807641213 0.72 0.035 0
SELENOM 2.17883454823169e-248 -2.11221877800846 0.09 0.619 7.54334308943294e-244
AQP3 0 2.10099755616066 0.808 0.081 0
CCL27 0 2.09766706432815 0.686 0.03 0
CLU 4.62783873216259e-165 -2.08802056594506 0.079 0.498 1.60220404746201e-160
IFITM3 1.07985959445506e-178 -2.07641133010401 0.392 0.666 3.73858190196285e-174
MMP2 1.36641283379859e-122 -2.07508090213699 0.049 0.404 4.73065787189411e-118
COL17A1 0 2.07235184051309 0.687 0.03 0
