p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT2 0 4.87146978494408 0.725 0.036 0
KRTDAP 0 4.76398069830682 0.914 0.057 0
KRT10 0 4.76072373577892 0.989 0.542 0
DMKN 0 4.75816307187308 0.975 0.106 0
KRT1 0 4.58890816235476 0.959 0.088 0
LGALS7B 0 4.56067369068173 0.936 0.061 0
SFN 0 3.88967354715887 0.966 0.092 0
PERP 0 3.8504660645621 0.976 0.341 0
DSP 0 3.8382425875846 0.979 0.13 0
DSG1 0 3.75617990412204 0.931 0.053 0
LY6D 0 3.68259596674385 0.899 0.056 0
CALML5 0 3.6757865478045 0.667 0.049 0
SBSN 0 3.60203173496658 0.802 0.033 0
VIM 0 -3.4726881815153 0.201 0.944 0
S100A6 0 -3.44817002864243 0.347 0.933 0
PTGDS 0 -3.43453345820628 0.018 0.262 0
IGFBP7 0 -3.41040420459278 0.068 0.649 0
NRARP 0 3.26252597130851 0.902 0.135 0
SLURP1 0 3.24753703959651 0.306 0.013 0
CFD 0 -3.23341267177321 0.409 0.507 0
HOPX 0 3.22912360705009 0.844 0.153 0
LGALS7 0 3.21257555020371 0.607 0.019 0
COL1A1 0 -3.20474249755971 0.098 0.512 0
COL1A2 0 -3.11898313088311 0.121 0.552 0
DCN 0 -3.0988346283327 0.419 0.5 0
S100A14 0 3.04998154700801 0.867 0.048 0
LGALS1 0 -3.01130327829639 0.1 0.809 0
COL3A1 0 -2.96974634329578 0.101 0.516 0
LYPD3 0 2.95387322258657 0.83 0.065 0
FLG 0 2.94600474532616 0.129 0.009 0
PKP1 0 2.9018032807872 0.87 0.045 0
S100A4 0 -2.88450428474178 0.398 0.816 0
TAGLN 0 -2.85922047079189 0.036 0.177 0
DSC3 0 2.85551690252507 0.885 0.051 0
APOD 0 -2.82283669594145 0.028 0.431 0
MGP 0 -2.78329839274271 0.063 0.512 0
SPINK5 0 2.77994347296775 0.537 0.023 0
ADIRF 0 -2.64485491707579 0.394 0.661 0
COL6A2 0 -2.6371247671192 0.127 0.584 0
CCL27 0 2.61414487661478 0.761 0.03 0
TACSTD2 0 2.60761252237642 0.841 0.062 0
CD74 0 -2.58863373801283 0.043 0.282 0
FTH1 0 -2.58428843309955 0.656 0.94 0
HLA-DRA 0 -2.57854433027524 0.04 0.196 0
COL6A1 0 -2.56325290148721 0.109 0.553 0
FTL 0 -2.5005229547617 0.778 0.919 0
SPARCL1 0 -2.49548829739587 0.025 0.347 0
CSTA 0 2.4916989682159 0.762 0.053 0
SFRP2 0 -2.49149026571691 0.048 0.353 0
FBLN1 0 -2.48115356059295 0.112 0.428 0
CLDN1 0 2.47541453703014 0.822 0.05 0
DSC1 0 2.46440701761329 0.719 0.018 0
JUP 0 2.45871246917897 0.854 0.142 0
TIMP3 0 -2.38749466816908 0.08 0.593 0
CD63 0 -2.35004489553754 0.613 0.827 0
GSN 0 -2.34558547773586 0.572 0.728 0
KRT14 0 2.34167114908445 0.419 0.09 0
SPARC 0 -2.30333814490757 0.061 0.579 0
PHLDA2 0 2.27518079695648 0.774 0.16 0
CFH 0 -2.27238260395725 0.061 0.484 0
HLA-DRB1 0 -2.26914650926221 0.089 0.244 0
IFITM3 0 -2.26861320914269 0.187 0.666 0
TRIM29 0 2.26840785974518 0.815 0.046 0
PLPP3 0 -2.26666973985674 0.097 0.515 0
SOD3 0 -2.24584698641227 0.083 0.486 0
AQP3 0 2.2389249385972 0.787 0.081 0
KRT5 0 2.2278453350283 0.424 0.076 0
FXYD3 0 2.22748070244905 0.797 0.067 0
ACTA2 0 -2.22306037205063 0.025 0.186 0
SERPINB5 0 2.21660748201595 0.798 0.032 0
RHOV 0 2.21554118030373 0.785 0.033 0
FABP5 0 2.21190466141676 0.548 0.189 0
CCDC80 0 -2.20396167038378 0.064 0.504 0
TIMP1 0 -2.18949055901004 0.049 0.661 0
HES1 0 2.15509556263609 0.842 0.386 0
SLIT3 0 -2.14539698098793 0.06 0.51 0
CST3 0 -2.0869716587766 0.723 0.739 0
C19orf33 0 2.07335998477602 0.728 0.045 0
PLAC9 0 -2.07329678414257 0.215 0.547 0
SCEL 0 2.06668210325894 0.545 0.019 0
TPM2 0 -2.04084430700381 0.017 0.278 0
SELENOM 0 -2.03086982916887 0.118 0.619 0
MMP2 0 -2.00581016984892 0.049 0.404 0
CXCL12 0 -1.98044588315669 0.023 0.36 0
CALD1 0 -1.9753836715878 0.308 0.609 0
CLU 0 -1.97176108496307 0.079 0.498 0
LAMA2 0 -1.96343493434101 0.037 0.396 0
C1R 0 -1.96155296815371 0.055 0.459 0
ZEB2 0 -1.94875249752164 0.034 0.575 0
IGFBP5 0 -1.94229834958313 0.152 0.432 0
DEGS1 0 1.93876924902779 0.828 0.334 0
TMEM45A 0 1.92953161789042 0.622 0.185 0
POF1B 0 1.92539192754657 0.524 0.023 0
S100A16 0 1.9085942687273 0.811 0.286 0
KLF5 0 1.90567764477151 0.813 0.135 0
SDC1 0 1.90496961513387 0.703 0.037 0
DAPL1 0 1.90481754586741 0.718 0.033 0
SERPING1 0 -1.90350847890259 0.041 0.544 0
HLA-DPB1 0 -1.9018506004963 0.029 0.279 0
TIMP2 0 -1.89147935644254 0.07 0.597 0
KLK11 0 1.88218045276412 0.719 0.018 0
CLDN4 0 1.87802176901384 0.611 0.031 0
TUBB4B 0 1.87337483009237 0.866 0.474 0
IGFBP4 0 -1.86921069384343 0.046 0.504 0
COL6A3 0 -1.86430636243134 0.028 0.432 0
CCN5 0 -1.8632353561385 0.019 0.248 0
CTNNBIP1 0 1.84629242969968 0.747 0.151 0
RBMS3 0 -1.84454836490509 0.051 0.549 0
EBF1 0 -1.84246253955441 0.03 0.464 0
ZBTB20 0 -1.84180571866234 0.384 0.781 0
MYL9 0 -1.84067192784379 0.018 0.36 0
FN1 0 -1.8394934413722 0.038 0.463 0
CASP14 0 1.81624439244282 0.671 0.016 0
SLC2A3 0 -1.81518855031732 0.029 0.457 0
C1S 0 -1.80503248829536 0.076 0.457 0
DLC1 0 -1.80191144829327 0.061 0.545 0
PRKG1 0 -1.79668228652992 0.037 0.443 0
SRGN 0 -1.79484310047589 0.017 0.246 0
HLA-DPA1 0 -1.79327559518705 0.02 0.203 0
DENND2C 0 1.79192044187979 0.716 0.113 0
GLTP 0 1.79094951273972 0.765 0.187 0
NEGR1 0 -1.78140734784439 0.028 0.4 0
ROBO2 0 -1.77725418699918 0.091 0.383 0
LGALSL 0 1.77363435045531 0.674 0.132 0
GJA1 0 1.76845508739569 0.792 0.25 0
CELF2 0 -1.76820633175701 0.073 0.606 0
MAL2 0 1.76370516762264 0.68 0.024 0
