p_val avg_log2FC pct.1 pct.2 p_val_adj
LOR 0 8.64267028105884 0.959 0.012 0
FLG 0 8.26130849341409 0.984 0.009 0
FLG2 0 7.13382549247015 0.982 0.006 0
SBSN 0 6.18405338376892 0.981 0.033 0
CALML5 0 5.71191178010035 0.944 0.049 0
ASPRV1 0 5.60621234485507 0.855 0.009 0
LCE2B 0 5.58238675681489 0.402 0.004 0
KRTDAP 0 5.42836870428868 0.985 0.057 0
HOPX 0 5.41184354632844 0.889 0.153 0
LCE1C 0 5.33702669012233 0.43 0.006 0
C1orf68 0 5.05330185251339 0.749 0.006 0
CST6 0 5.00801753813544 0.859 0.008 0
CRCT1 0 4.86456535952076 0.639 0.003 0
SPINK5 0 4.76604111435293 0.93 0.023 0
SPRR2E 0 4.75925365248424 0.506 0.003 0
LCE1A 0 4.74544035348669 0.243 0.004 0
LCE1B 0 4.72739191462126 0.313 0.003 0
CDSN 0 4.72592149998988 0.82 0.006 0
DMKN 0 4.67891597769308 0.985 0.106 0
LCE2C 0 4.52442815521764 0.246 0.002 0
CNFN 0 4.45318544194622 0.794 0.033 0
LCE2D 0 4.30144359649395 0.337 0.002 0
KRT2 0 4.17475557021929 0.642 0.036 0
SLURP1 0 4.17122601090672 0.663 0.013 0
AZGP1 0 4.1009423573819 0.66 0.014 0
FAM25A 0 4.01178810079135 0.685 0.005 0
KPRP 0 3.96840468807322 0.646 0.002 0
LCE1E 0 3.95274439311697 0.19 0.002 0
LCE2A 0 3.89290769170728 0.188 0.004 0
SPRR2G 0 3.88524279140605 0.156 0.001 0
POF1B 0 3.80220643018073 0.799 0.023 0
KLK5 0 3.79221165413104 0.759 0.006 0
KRT23 0 3.71287340687299 0.774 0.011 0
CTNNBIP1 0 3.69419379521857 0.83 0.151 0
KRT10 0 3.69309689212967 0.86 0.542 0
C5orf46 0 3.65682047635218 0.733 0.01 0
LCE5A 0 3.50539626379698 0.203 0.001 0
PERP 0 3.43526516143347 0.942 0.341 0
SERPINA12 0 3.42490187708895 0.631 0.007 0
CSTA 0 3.41422182976948 0.788 0.053 0
PTGDS 6.18725671072739e-57 -3.399836686148 0.039 0.262 2.14209014582093e-52
DSG1 0 3.37163460002527 0.809 0.053 0
NCCRP1 0 3.33083952225217 0.719 0.007 0
S100A6 0 -3.3217125265173 0.356 0.933 0
TMEM45A 0 3.24044569420234 0.674 0.185 0
IL37 0 3.2232728069163 0.498 0.001 0
PSAPL1 0 3.18480344004536 0.678 0.001 0
CFD 3.14581437430985e-68 -3.18391415964363 0.313 0.507 1.08911239452981e-63
TACSTD2 0 3.15254051832885 0.721 0.062 0
PSORS1C2 0 3.11867564508636 0.561 0.003 0
DSP 0 3.09925865486416 0.85 0.13 0
EPS8L1 0 3.09393893979337 0.679 0.031 0
KLK7 0 3.06740056077416 0.597 0.009 0
CTSV 0 3.0569624676277 0.635 0.011 0
IL18 0 3.03155833041949 0.762 0.078 0
KRT1 0 3.02031225666974 0.688 0.088 0
FTH1 0 -3.01073289806784 0.376 0.94 0
ARG1 0 2.98662229830651 0.638 0.003 0
VIM 0 -2.97012244014559 0.394 0.944 0
S100A4 0 -2.96808073901964 0.288 0.816 0
FTL 0 -2.95808619575666 0.529 0.919 0
LY6G6C 0 2.94027883531346 0.599 0.014 0
KRT80 0 2.93516313580805 0.634 0.012 0
DCN 1.94255981848502e-70 -2.90460258845381 0.305 0.5 6.72533634757697e-66
ELMOD1 0 2.89445387498484 0.646 0.004 0
IGFBP7 2.93110477404342e-180 -2.8921537554934 0.186 0.649 1.01477778382157e-175
BLMH 0 2.88731827798175 0.724 0.11 0
BTC 0 2.83727468197869 0.62 0.01 0
GLTP 0 2.80173575217284 0.786 0.187 0
EREG 0 2.79943677670612 0.601 0.009 0
MGP 4.00346938668587e-134 -2.79826071514957 0.105 0.512 1.38604113636452e-129
ABCA12 0 2.79764301064702 0.7 0.02 0
IDE 0 2.77796916806748 0.708 0.122 0
SCEL 0 2.73984643792431 0.565 0.019 0
LGALS1 0 -2.73642919272801 0.18 0.809 0
SERPINB7 0 2.73527017740395 0.575 0.004 0
LCE6A 0 2.70381610750436 0.26 0.001 0
LGALS7B 0 2.67662876805292 0.731 0.061 0
APOD 8.48268196755436e-102 -2.63948235889229 0.091 0.431 2.93678932398699e-97
ADIRF 6.17347749274821e-199 -2.62436241546177 0.187 0.661 2.13731964276436e-194
FBLN1 1.8027365521275e-102 -2.59279170798109 0.086 0.428 6.2412542171206e-98
SLURP2 0 2.5908664407405 0.564 0.01 0
CLDN4 0 2.58269486379559 0.54 0.031 0
CASP14 0 2.57384308605794 0.555 0.016 0
GSDMA 0 2.5599602200923 0.586 0.006 0
TMSB10 0 -2.53831097719933 0.397 0.922 0
CPA4 0 2.47532746074171 0.362 0.006 0
COL6A2 5.24931563019239e-147 -2.47480299227041 0.168 0.584 1.81736556432891e-142
LGALSL 0 2.47459423543706 0.7 0.132 0
CLTB 2.96966378850081e-280 2.46181412361151 0.761 0.454 1.02812730021686e-275
SFN 0 2.44951997768845 0.737 0.092 0
PKP1 0 2.44826856823995 0.691 0.045 0
SFRP2 4.12955717925895e-75 -2.42505227380754 0.075 0.353 1.42969399103124e-70
HLA-DRA 8.85026649607973e-20 -2.41201460188547 0.086 0.196 3.06405076360777e-15
LCE3D 0 2.38898675281734 0.262 0 0
CD74 1.28754607361416e-39 -2.3876837053319 0.096 0.282 4.45761326145958e-35
COL1A2 4.46683065055857e-112 -2.36702611034124 0.196 0.552 1.54646143952988e-107
RAB11FIP1 0 2.34393181942394 0.72 0.172 0
ATP6V1C2 0 2.33957261435923 0.536 0.008 0
CD63 6.20976000774579e-283 -2.33722635297192 0.396 0.827 2.14988101228167e-278
TAGLN 6.60464669201888e-09 -2.33571209289596 0.117 0.177 0.000228659473124385
CLIC3 0 2.32705634521347 0.551 0.05 0
CST3 1.41114968751845e-160 -2.3153610596548 0.508 0.739 4.88554133315763e-156
NRARP 0 2.31535812273186 0.686 0.135 0
LYPD3 0 2.29179538777995 0.592 0.065 0
JUP 0 2.27443741992801 0.699 0.142 0
CSNK2A2 0 2.26525572859746 0.644 0.192 0
KRT14 0 2.26180433111638 0.443 0.09 0
KRT77 0 2.2519324810543 0.365 0.009 0
IVL 0 2.23144890589757 0.564 0.006 0
DENND2C 0 2.21794917232801 0.738 0.113 0
