p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT2 0 4.46864263130708 0.572 0.036 0
DMKN 0 4.40520995567856 0.938 0.106 0
KRTDAP 0 4.40486927525729 0.747 0.057 0
KRT10 0 4.37086082799861 0.925 0.542 0
LGALS7B 0 4.23265267120966 0.915 0.061 0
KRT1 0 4.1933939136878 0.795 0.088 0
KRT14 0 3.94739019025447 0.563 0.09 0
FLG 0 3.91976154789682 0.127 0.009 0
SFN 0 3.7523624141976 0.96 0.092 0
PERP 0 3.63817175786457 0.972 0.341 0
DSP 0 3.60136405008149 0.971 0.13 0
VIM 0 -3.53497140344302 0.202 0.944 0
SBSN 0 3.4885772868139 0.637 0.033 0
PTGDS 0 -3.46574003262267 0.017 0.262 0
CALML5 0 3.45855098558247 0.537 0.049 0
IGFBP7 0 -3.45339755776032 0.069 0.649 0
DSG1 0 3.45053570147012 0.905 0.053 0
LY6D 0 3.40078251134469 0.866 0.056 0
KRT5 0 3.38640107049886 0.566 0.076 0
CFD 0 -3.29666700809924 0.364 0.507 0
S100A6 0 -3.2098151105277 0.472 0.933 0
HOPX 0 3.18801467389868 0.85 0.153 0
COL1A1 0 -3.17635473596998 0.104 0.512 0
COL1A2 0 -3.15091687074453 0.117 0.552 0
DCN 0 -3.10307895266092 0.458 0.5 0
NRARP 0 3.06594925700651 0.865 0.135 0
LGALS1 0 -3.0151200619424 0.103 0.809 0
COL3A1 0 -3.00377438786223 0.097 0.516 0
LGALS7 0 2.94526900258082 0.598 0.019 0
SLURP1 0 2.93371898130042 0.247 0.013 0
S100A4 0 -2.89612897819778 0.403 0.816 0
TAGLN 0 -2.85779363247656 0.038 0.177 0
S100A14 0 2.82992764534899 0.838 0.048 0
APOD 0 -2.8253030192581 0.03 0.431 0
MGP 0 -2.82076124944635 0.061 0.512 0
DSC3 0 2.75391886297635 0.875 0.051 0
COL6A2 0 -2.63409481854373 0.167 0.584 0
SPINK5 0 2.63129106675253 0.51 0.023 0
PKP1 0 2.62822621517378 0.815 0.045 0
ADIRF 0 -2.61847683973156 0.411 0.661 0
HLA-DRA 0 -2.60644994818347 0.042 0.196 0
CD74 0 -2.6031931917714 0.045 0.282 0
TACSTD2 0 2.60221871191061 0.834 0.062 0
LYPD3 0 2.60111267538116 0.697 0.065 0
CCL27 0 2.59151735115459 0.738 0.03 0
COL6A1 0 -2.53864476765236 0.144 0.553 0
SFRP2 0 -2.50558296732058 0.048 0.353 0
SPARCL1 0 -2.49319710254185 0.027 0.347 0
FBLN1 0 -2.48038628780409 0.134 0.428 0
GSN 0 -2.44216397161075 0.515 0.728 0
CLDN1 0 2.39919320873548 0.783 0.05 0
TIMP3 0 -2.32504628332081 0.113 0.593 0
CFH 0 -2.30492163893222 0.059 0.484 0
CD63 0 -2.30479197732897 0.623 0.827 0
HLA-DRB1 0 -2.28580151702649 0.081 0.244 0
PLPP3 0 -2.27613613281899 0.093 0.515 0
AQP3 0 2.26789580468045 0.794 0.081 0
FTL 0 -2.26038758259789 0.798 0.919 0
CSTA 0 2.25894142860515 0.703 0.053 0
JUP 0 2.24561649911936 0.824 0.142 0
SOD3 0 -2.23948183868173 0.093 0.486 0
CCDC80 0 -2.22014930696661 0.073 0.504 0
ACTA2 0 -2.20934804135484 0.031 0.186 0
KRT15 0 2.20433239053105 0.293 0.031 0
CST3 0 -2.19294339875384 0.683 0.739 0
HES1 0 2.18677424558499 0.841 0.386 0
SLIT3 0 -2.18542980471867 0.057 0.51 0
SPARC 0 -2.17353698878997 0.14 0.579 0
FXYD3 0 2.15589768557235 0.79 0.067 0
TIMP1 0 -2.15308117837645 0.089 0.661 0
DSC1 0 2.14956681601451 0.585 0.018 0
PLAC9 0 -2.11255513174915 0.191 0.547 0
IFITM3 0 -2.0977281255497 0.268 0.666 0
TRIM29 0 2.09290420737273 0.785 0.046 0
PHLDA2 0 2.09235912846561 0.714 0.16 0
COL17A1 0 2.08377087086533 0.386 0.03 0
