p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT14 0 6.64125279201663 0.999 0.055 0
VIM 0 -6.02298757344042 0.003 0.925 0
KRT5 0 5.22826223297981 0.999 0.046 0
CFD 6.33270602697607e-111 -4.89593033787112 0.228 0.446 2.19244615359939e-106
KRT15 0 4.47126192661709 0.953 0.013 0
IGFBP7 0 -4.42650257354039 0.001 0.675 0
DCN 1.24219250437184e-35 -4.00099549077213 0.423 0.428 4.30059466938575e-31
COL1A2 4.32305845472e-258 -3.97290219427401 0 0.476 1.49668606760861e-253
SFN 0 3.88899307878426 0.997 0.079 0
LGALS1 0 -3.82312600486233 0.043 0.764 0
COL17A1 0 3.5592438523132 0.991 0.02 0
S100A2 0 3.548177495875 0.983 0.031 0
COL3A1 6.02673161097334e-243 -3.54417641882207 0.001 0.457 2.08651475103508e-238
COL1A1 2.15843271201055e-207 -3.54088577642222 0.04 0.442 7.47270989225172e-203
PTGDS 3.27779610924624e-115 -3.49837673954532 0.003 0.263 1.13480579098214e-110
MGP 5.78999985118494e-245 -3.43459770238269 0.001 0.46 2.00455584847874e-240
PERP 0 3.42526903932621 0.999 0.243 0
GSN 0 -3.28663119905986 0.309 0.701 0
TAGLN 9.71529223299522e-65 -3.23681787091373 0.021 0.188 3.36353132398528e-60
COL6A2 1.26478106972694e-232 -3.08986025538182 0.104 0.518 4.37879854150162e-228
MIR205HG 0 3.08603951953672 0.979 0.037 0
HLA-DRA 2.96553615534081e-85 -2.979261560854 0.004 0.207 1.02669827234054e-80
S100A4 0 -2.94487871103774 0.403 0.719 0
APOD 6.14295392824106e-196 -2.91888395078434 0.006 0.396 2.12675207949634e-191
LY6D 0 2.87853705858366 0.909 0.032 0
AQP3 0 2.8709465356868 0.991 0.072 0
SPARCL1 1.38364104747585e-183 -2.85642595172702 0.004 0.376 4.79030367046613e-179
NRARP 0 2.80680414580124 0.924 0.134 0
CST3 4.72830939176356e-247 -2.75908244774638 0.614 0.724 1.63698799452246e-242
DSP 0 2.73440128873946 0.991 0.106 0
ADIRF 5.38214778568878e-200 -2.72910503516984 0.448 0.643 1.86335338488331e-195
CD74 1.59584419064204e-112 -2.71646129401335 0.018 0.277 5.52497217242181e-108
CFH 2.03821629269421e-225 -2.70617913341568 0 0.433 7.05650862693661e-221
SFRP2 1.14429036572331e-134 -2.69590520059193 0 0.293 3.96164767517066e-130
COL6A1 3.41860269579974e-190 -2.6881661202035 0.149 0.497 1.18355443931283e-185
HES1 0 2.66747352097067 0.971 0.39 0
SLIT3 2.48953525551861e-244 -2.66187375411442 0.001 0.459 8.619020008131e-240
TUBB4B 0 2.63898329241782 0.996 0.492 0
HOPX 0 2.62097024893057 0.976 0.139 0
FBLN1 3.47251069782129e-78 -2.61977176778247 0.184 0.366 1.20221792869271e-73
SYT8 0 2.58886827716243 0.812 0.004 0
APOE 3.197919934691e-16 -2.58155768032235 0.385 0.379 1.10715186058937e-11
PRKG1 2.84725202776893e-233 -2.50673460423565 0.023 0.463 9.8574712453388e-229
LGALS7B 0 2.47583580039349 0.911 0.033 0
SLC2A3 1.95042380633145e-248 -2.45604139994408 0.001 0.464 6.75256225990012e-244
CCDC80 2.33383472653642e-187 -2.45175256353486 0.053 0.428 8.07996920674173e-183
CCL27 0 2.42297692598334 0.807 0.027 0
CELF2 1.02079379330675e-307 -2.3917446664891 0.023 0.551 3.53409019180731e-303
ACTA2 7.35940579522985e-49 -2.38883150969917 0.032 0.169 2.54789988036653e-44
HLA-DRB1 4.53404126175657e-93 -2.37661110425046 0.026 0.251 1.56973042523274e-88
PLAC9 1.61711159382781e-248 -2.37422537709392 0.043 0.496 5.59860204899128e-244
DSC3 0 2.37265746018223 0.947 0.037 0
ZEB2 0 -2.35747497879312 0.003 0.54 0
IGFBP4 4.12953290795098e-254 -2.34862472603067 0.036 0.498 1.42968558806171e-249
PLPP3 4.00674163174891e-215 -2.34103060137232 0.049 0.46 1.38717402032779e-210
EBF1 2.27898721596734e-238 -2.3274589303247 0 0.45 7.89008164040052e-234
IL18 0 2.32687719768951 0.947 0.052 0
FXYD3 0 2.31517833521907 0.965 0.071 0
TPM2 4.83758639804892e-128 -2.30895934513453 0.031 0.318 1.67482078686852e-123
CD63 0 -2.30692495272075 0.759 0.821 0
RBMS3 1.22725667585239e-279 -2.30683020280016 0.021 0.518 4.24888533746855e-275
MCTP1 4.61427432257433e-64 -2.28003359497908 0 0.156 1.59750791321846e-59
KAZN 1.36097109251995e-62 -2.27446743086432 0.343 0.445 4.71181801941331e-58
CALD1 5.90259623697262e-197 -2.25061229662902 0.376 0.618 2.04353784320229e-192
CXCL12 1.56240671603748e-158 -2.24947410650796 0.003 0.337 5.40920829159337e-154
TACSTD2 0 2.2463717925884 0.892 0.068 0
DLC1 2.60109466085339e-250 -2.20963938131959 0.103 0.54 9.00524982534051e-246
IFITM3 3.06378019510103e-225 -2.19516655474323 0.416 0.659 1.06071134134593e-220
S100A14 0 2.19198860103317 0.882 0.039 0
C11orf96 1.48307782117794e-108 -2.17834453466543 0.002 0.249 5.13456372470013e-104
HLA-DPB1 5.32959515912681e-128 -2.17684559423486 0.003 0.286 1.84515914004129e-123
PMP22 3.33558253641641e-290 -2.15590883917065 0.048 0.547 1.15481202993273e-285
DSG3 0 2.14871938953633 0.808 0.021 0
TIMP3 2.20221911081103e-159 -2.13495352344785 0.333 0.581 7.62430278353888e-155
COL6A3 1.8628017047362e-195 -2.13248740044584 0 0.39 6.44920578196721e-191
RPLP1 0 2.12709571816218 0.998 0.958 0
S100A6 0 -2.12589062055307 0.919 0.906 0
ATF3 0 2.11283855461637 0.982 0.404 0
TWIST2 5.00825786585816e-164 -2.11043477495888 0 0.342 1.73390895573875e-159
POU3F1 0 2.09239778129773 0.847 0.039 0
SELENOM 8.0777722002143e-269 -2.09050092483176 0.132 0.573 2.79660551343619e-264
PMAIP1 0 2.08884171099668 0.887 0.112 0
IFI27 7.44016566915128e-87 -2.08799359779931 0.063 0.284 2.57585975631686e-82
GNG11 3.15528148953402e-223 -2.06668608170896 0.011 0.44 1.09239000449157e-218
WNT4 0 2.05467384957165 0.88 0.025 0
LUM 6.31371960132833e-154 -2.04850685144743 0 0.326 2.18587286317588e-149
TM4SF1 4.42959408112187e-48 -2.04758583774119 0.03 0.165 1.5335697668252e-43
TNXB 2.08376747620982e-165 -2.0440742498412 0.021 0.366 7.214211379386e-161
FGFBP1 0 2.0422057075915 0.624 0.016 0
C19orf33 0 2.03722421441375 0.904 0.045 0
KLF5 0 2.0335745161589 0.947 0.12 0
