p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT14 0 5.86943303112033 0.974 0.055 0
KRT5 0 5.00356493097657 0.987 0.046 0
VIM 2.94217325106512e-164 -4.79949313195402 0.102 0.925 1.01860980125125e-159
CFD 2.3241136365832e-17 -4.69940384269661 0.319 0.446 8.04631382121471e-13
IGFBP7 1.19341417960381e-94 -4.39913381765829 0.013 0.675 4.13171923120634e-90
DCN 2.33728039373104e-17 -4.34920318886474 0.297 0.428 8.09189845113622e-13
SFN 0 4.14902377623546 0.99 0.079 0
COL1A2 8.00004461098593e-53 -3.96227846703124 0.019 0.476 2.76969544476944e-48
KRT15 0 3.7721569731834 0.639 0.013 0
LY6D 0 3.58542985426433 0.946 0.032 0
COL1A1 8.88178244268105e-44 -3.56266689206916 0.048 0.442 3.0749618994806e-39
COL3A1 1.37376140515679e-49 -3.52883213262216 0.019 0.457 4.75609936079333e-45
KRT10 3.11921086304442e-112 3.48222853929423 0.904 0.445 1.07990199289461e-107
PTGDS 1.10602947387774e-23 -3.4060078799057 0.01 0.263 3.82918464151213e-19
DMKN 0 3.37888284574793 0.936 0.074 0
MGP 1.45966520855951e-48 -3.34221551924822 0.029 0.46 5.0535069185539e-44
PERP 1.16470258905438e-291 3.28944488127008 0.984 0.243 4.03231683356517e-287
LGALS1 3.25348571154162e-108 -3.26297769220749 0.096 0.764 1.12638928819282e-103
NRARP 0 3.25933545339318 0.914 0.134 0
COL6A2 9.49880102967387e-56 -3.21973729010492 0.061 0.518 3.28857990448339e-51
KRT1 0 3.1985604615371 0.642 0.041 0
GSN 1.47835161770886e-63 -3.18621965391854 0.463 0.701 5.11820113566984e-59
TAGLN 6.10255435883733e-12 -3.17961477412097 0.042 0.188 2.11276534457307e-07
DSP 0 3.12530337271404 0.987 0.106 0
S100A2 0 3.01645425161331 0.891 0.031 0
S100A14 0 2.99691492320658 0.946 0.039 0
HLA-DRA 3.24523627657348e-18 -2.97853040083871 0.006 0.207 1.1235332513125e-13
APOD 2.06482267313802e-39 -2.87452304277729 0.022 0.396 7.14862257667115e-35
ADIRF 4.02579080812731e-43 -2.85320016080535 0.502 0.643 1.39376903568176e-38
SPARCL1 1.68425894580684e-37 -2.83351851698237 0.016 0.376 5.83107289627787e-33
S100A4 1.86871784746832e-59 -2.81244003514235 0.546 0.719 6.46968805972007e-55
