p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT1 0 5.74401873526287 0.975 0.041 0
VIM 0 -5.72007169452412 0.016 0.925 0
KRT10 0 5.63694905761678 0.992 0.445 0
DMKN 0 5.51418753139686 0.985 0.074 0
KRTDAP 0 5.10214031325978 0.929 0.036 0
SFN 0 4.89541869540393 0.992 0.079 0
DCN 9.37451653638993e-247 -4.37568471010503 0.271 0.428 3.24555137006356e-242
PERP 0 4.32612234516747 0.994 0.243 0
IGFBP7 0 -4.31295425094101 0.007 0.675 0
LY6D 0 4.2486473274529 0.958 0.032 0
LGALS7B 0 4.1820281143105 0.975 0.033 0
NRARP 0 4.03955216042069 0.975 0.134 0
S100A6 0 -4.00924486829576 0.36 0.906 0
CFD 3.34541740168798e-34 -4.00299982284163 0.547 0.446 1.1582169586384e-29
DSP 0 4.00007968917528 0.993 0.106 0
LGALS1 0 -3.78901300447539 0.013 0.764 0
COL1A2 0 -3.67822415552799 0.009 0.476 0
DSG1 0 3.66941804994306 0.979 0.036 0
S100A14 0 3.61765814670373 0.982 0.039 0
SBSN 0 3.57923377542554 0.823 0.026 0
KRT2 0 3.55704873643511 0.436 0.009 0
PTGDS 0 -3.47576391835883 0.002 0.263 0
MGP 0 -3.41145935832782 0.006 0.46 0
COL1A1 0 -3.35998033715724 0.01 0.442 0
COL3A1 0 -3.32331720491547 0.007 0.457 0
HOPX 0 3.27698443545917 0.946 0.139 0
TAGLN 5.19571187563791e-241 -3.23671071531554 0.017 0.188 1.7988074084646e-236
LYPD3 0 3.13366363831308 0.925 0.062 0
COL6A2 0 -3.09377441319819 0.044 0.518 0
LGALS7 0 3.06201322998717 0.922 0.029 0
S100A4 0 -3.05185688062366 0.359 0.719 0
ADIRF 0 -3.02348643786145 0.375 0.643 0
CCL27 0 2.99467157062505 0.935 0.027 0
HLA-DRA 0 -2.96656347150293 0.004 0.207 0
FTH1 0 -2.93478613385911 0.689 0.931 0
CALML5 0 2.92779511516654 0.68 0.032 0
TIMP3 0 -2.90989463253131 0.046 0.581 0
APOD 0 -2.9079676137012 0.007 0.396 0
COL6A1 0 -2.82647841927474 0.045 0.497 0
SPARCL1 0 -2.82284718273467 0.002 0.376 0
FBLN1 0 -2.81524016041383 0.068 0.366 0
DSC3 0 2.79187899720958 0.975 0.037 0
RHOV 0 2.75726530726246 0.952 0.037 0
IFITM3 0 -2.75136117022223 0.118 0.659 0
PHLDA2 0 2.72140490916654 0.884 0.15 0
CD63 0 -2.68594267964891 0.684 0.821 0
CFH 0 -2.6785682809819 0.003 0.433 0
GSN 0 -2.67405378355028 0.554 0.701 0
SFRP2 0 -2.67032248923435 0.003 0.293 0
CD74 0 -2.655422255771 0.01 0.277 0
SLIT3 0 -2.64990629442596 0.002 0.459 0
KRT14 0 2.64730599609991 0.298 0.055 0
AQP3 0 2.62054812751056 0.94 0.072 0
SLURP1 0 2.60749837515296 0.21 0.009 0
TACSTD2 0 2.5853102799827 0.934 0.068 0
ZBTB20 0 -2.57396971809556 0.3 0.742 0
CLDN1 0 2.53525560203931 0.921 0.049 0
IGFBP5 0 -2.51889152729245 0.115 0.387 0
FTL 0 -2.51449065168843 0.915 0.919 0
PRKG1 0 -2.51431870413596 0.005 0.463 0
TCF4 0 -2.51382685042271 0.199 0.607 0
CCDC80 0 -2.49010665707303 0.018 0.428 0
FXYD3 0 2.47483276216466 0.957 0.071 0
PKP1 0 2.44769942863892 0.945 0.038 0
SLC2A3 0 -2.42836995752256 0.003 0.464 0
CSTA 0 2.42689911919931 0.82 0.041 0
ACTA2 1.9834683409371e-208 -2.41832975607688 0.017 0.169 6.86696574315833e-204
TIMP1 0 -2.40847835472894 0.02 0.596 0
CCL2 0 -2.3952434679638 0.012 0.226 0
IGFBP4 0 -2.3598281103261 0.028 0.498 0
DLC1 0 -2.35252786099876 0.015 0.54 0
CELF2 0 -2.34554847048225 0.026 0.551 0
ZEB2 0 -2.34332319119027 0.003 0.54 0
HLA-DRB1 5.54696384229516e-234 -2.34278108665343 0.065 0.251 1.92041435184101e-229
KRT5 0 2.33980652246545 0.335 0.046 0
PLPP3 0 -2.33660696103517 0.076 0.46 0
CALD1 0 -2.33616059648562 0.395 0.618 0
TPM2 0 -2.32898024341051 0.012 0.318 0
MALAT1 0 -2.31571059648197 0.894 0.976 0
EBF1 0 -2.31103300414658 0.001 0.45 0
RBMS3 0 -2.30870462106137 0.006 0.518 0
SPARC 0 -2.30346381843672 0.02 0.547 0
MCTP1 8.73837902392045e-234 -2.27273546615124 0.002 0.156 3.0253142018715e-229
JUP 0 2.27266570077161 0.955 0.11 0
CST3 0 -2.27168867803508 0.793 0.724 0
KAZN 1.13543302071842e-114 -2.26396878621939 0.425 0.445 3.93098266102924e-110
SPINK5 0 2.2495158164776 0.372 0.018 0
PLAC9 0 -2.2491350700125 0.123 0.496 0
CXCL12 0 -2.22814305607993 0.006 0.337 0
LHFPL6 0 -2.21324669178392 0.068 0.542 0
S100A16 0 2.21283276333433 0.968 0.238 0
SELENOM 0 -2.21147018873733 0.053 0.573 0
DSC1 0 2.20061626514194 0.764 0.015 0
HLA-DPB1 0 -2.16276971272804 0.003 0.286 0
SERPINB5 0 2.13996536882418 0.904 0.033 0
C1R 0 -2.11646124814542 0.021 0.392 0
CAV1 0 -2.11590254223578 0.371 0.6 0
TWIST2 0 -2.09649514842555 0.003 0.342 0
COL6A3 0 -2.07634159036499 0.004 0.39 0
HES1 0 2.07180971995658 0.923 0.39 0
GNG11 0 -2.06339114222797 0.012 0.44 0
TNXB 0 -2.05791144731621 0.004 0.366 0
RPLP1 0 2.03530498217797 0.996 0.958 0
SERPINF1 0 -2.03337543354256 0.022 0.436 0
TM4SF1 4.43781033765868e-152 -2.01885599848661 0.035 0.165 1.53641431700081e-147
RAB25 0 2.01170697404917 0.864 0.031 0
LUM 0 -2.00681245221811 0.004 0.326 0
