p_val avg_log2FC pct.1 pct.2 p_val_adj
LOR 0 10.0574469257459 1 0.014 0
FLG 0 8.94090630120822 1 0.004 0
FLG2 0 7.58546794619614 1 0.007 0
HOPX 4.14606615620697e-190 7.16351977265362 0.983 0.139 1.43540956394041e-185
KRTDAP 0 7.00951526096888 1 0.036 0
SBSN 0 6.99625431344947 1 0.026 0
ASPRV1 0 6.40562685649802 0.992 0.01 0
SPRR2E 0 6.15555249218698 0.882 0.009 0
VIM 1.22670959261329e-67 -6.02860316778689 0 0.925 4.24699128058647e-63
CALML5 0 5.9947860469827 1 0.032 0
LCE2B 0 5.86100559384804 0.487 0.008 0
LCE1C 0 5.82185602833157 0.588 0.011 0
CRCT1 0 5.78396811026566 0.723 0.003 0
DMKN 0 5.59577902032902 1 0.074 0
C1orf68 0 5.55705232593165 0.975 0.008 0
SPINK5 0 5.55479980030949 1 0.018 0
CNFN 0 5.54647681792153 0.983 0.042 0
FTH1 6.46818187246776e-68 -5.23972016470347 0.05 0.931 2.23934924606706e-63
S100A6 1.19961204379386e-64 -5.08200960836421 0.025 0.906 4.15317685681871e-60
LCE1B 1.37760391240182e-286 4.97265319587999 0.319 0.005 4.76940250512635e-282
CDSN 0 4.94585186734914 0.992 0.01 0
KRT23 0 4.93686873437902 0.992 0.018 0
LCE1A 2.14690168107446e-226 4.87787461262543 0.252 0.004 7.4327883100479e-222
HSPA1A 4.18454036869344e-41 -4.65972593089443 0.319 0.815 1.44872972104536e-36
SLURP1 0 4.64997830533312 0.95 0.009 0
AZGP1 0 4.61764585074897 0.782 0.015 0
DCN 6.27239671175896e-10 -4.61688969650331 0.227 0.428 2.17156646557807e-05
CFD 0.00548865877889925 -4.58682587851263 0.529 0.446 1
TMSB4X 2.84953171143403e-60 -4.57855673496462 0.429 0.917 9.86536373815577e-56
LCE2C 4.98380626123472e-289 4.5639594042217 0.252 0.003 1.72544356570207e-284
CST6 0 4.55742354833481 1 0.012 0
CTNNBIP1 3.77849943054123e-243 4.55448786069235 1 0.109 1.30815428784768e-238
IL37 0 4.54816591858004 0.857 0.001 0
LCE2D 0 4.50003931868284 0.58 0.002 0
FAM25A 0 4.4502324716709 1 0.007 0
FTL 2.19479291736521e-58 -4.43862837164952 0.672 0.919 7.5985925592101e-54
IGFBP7 3.79911453492356e-38 -4.42679157199988 0 0.675 1.31529144313588e-33
IL18 0 4.36184570293566 1 0.052 0
TMSB10 1.04430380313147e-64 -4.24517586454554 0.218 0.923 3.61548419682145e-60
CSTA 0 4.16108000786638 0.983 0.041 0
S100A10 2.13718603785206e-52 -4.15014882705076 0.126 0.831 7.39915178164762e-48
C5orf46 0 4.0773816465489 0.983 0.017 0
CXCL14 1.19712489959192e-12 -4.06538772895984 0.092 0.393 4.14456611487719e-08
PSAPL1 0 4.00046607200237 0.975 0.003 0
S100A7 0 3.99521655158038 0.555 0.014 0
