p_val avg_log2FC pct.1 pct.2 p_val_adj
VIM 0 -5.72802963124498 0.017 0.925 0
KRT1 0 5.3660665490423 0.791 0.041 0
KRT10 0 5.26532553719085 0.957 0.445 0
DMKN 0 5.17591933418521 0.948 0.074 0
KRTDAP 0 4.80834192463662 0.741 0.036 0
SFN 0 4.70458767606103 0.987 0.079 0
KRT14 0 4.69520934161554 0.452 0.055 0
IGFBP7 0 -4.33859842284038 0.006 0.675 0
DCN 1.65452049234598e-250 -4.29860156565101 0.3 0.428 5.72811539655103e-246
CFD 1.59002272685314e-81 -4.16574412888047 0.478 0.446 5.50481768263825e-77
PERP 0 4.15566592287673 0.994 0.243 0
LY6D 0 4.02493590058889 0.938 0.032 0
LGALS7B 0 3.91553283761696 0.957 0.033 0
NRARP 0 3.82601565228914 0.956 0.134 0
DSP 0 3.78309598471357 0.99 0.106 0
LGALS1 0 -3.77339344578879 0.022 0.764 0
COL1A2 0 -3.7437166502415 0.007 0.476 0
KRT5 0 3.60490230536025 0.481 0.046 0
PTGDS 0 -3.47773892437816 0.003 0.263 0
SBSN 0 3.46619070098602 0.651 0.026 0
HOPX 0 3.42226268702978 0.952 0.139 0
MGP 0 -3.41353584938994 0.006 0.46 0
DSG1 0 3.40832473044882 0.962 0.036 0
COL1A1 0 -3.40258058157544 0.017 0.442 0
S100A14 0 3.39241595338467 0.957 0.039 0
COL3A1 0 -3.37312088631569 0.006 0.457 0
S100A6 0 -3.36081242127688 0.482 0.906 0
TAGLN 9.16420089173795e-301 -3.23464185587804 0.019 0.188 3.17273799072859e-296
KRT2 0 3.19868678971857 0.34 0.009 0
COL6A2 0 -3.09992884602161 0.056 0.518 0
S100A4 0 -3.02895289286406 0.371 0.719 0
HLA-DRA 0 -2.9696741005334 0.004 0.207 0
ADIRF 0 -2.96235884275923 0.39 0.643 0
APOD 0 -2.90261224706607 0.011 0.396 0
CCL27 0 2.8613396718187 0.899 0.027 0
SPARCL1 0 -2.83009047471908 0.003 0.376 0
LGALS7 0 2.80960813221367 0.873 0.029 0
LYPD3 0 2.80901454694824 0.805 0.062 0
COL6A1 0 -2.79929556299467 0.067 0.497 0
GSN 0 -2.77069350987739 0.508 0.701 0
FBLN1 0 -2.76602299684961 0.1 0.366 0
CALML5 0 2.7564568584807 0.536 0.032 0
TIMP3 0 -2.71720625249294 0.105 0.581 0
DSC3 0 2.69439513158054 0.958 0.037 0
CFH 0 -2.68476304554094 0.003 0.433 0
SFRP2 0 -2.67631528695759 0.002 0.293 0
CD74 0 -2.6688556084824 0.013 0.277 0
SLIT3 0 -2.6514600618623 0.003 0.459 0
AQP3 0 2.64701150269924 0.942 0.072 0
