p_val avg_log2FC pct.1 pct.2 p_val_adj
VIM 0 -4.36330777227402 0.099 0.942 0
KRT14 0 4.31243622179555 1 0.268 0
COL1A2 3.13015489393985e-296 -3.76265168051268 0.045 0.488 1.08369092583092e-291
PTGDS 1.23797116412714e-165 -3.73842395715339 0.029 0.323 4.28597996732458e-161
DCN 4.01168004838358e-68 -3.61092801867619 0.431 0.47 1.38888374955088e-63
CFD 5.62762803595314e-80 -3.58810113806253 0.401 0.488 1.94834110232734e-75
COL1A1 2.78427712290565e-247 -3.58269970905157 0.072 0.459 9.63944582721165e-243
KRT15 0 3.56914728136114 0.915 0.107 0
IGFBP7 0 -3.55805082047678 0.067 0.67 0
KRT5 0 3.48877055990917 1 0.236 0
COL17A1 0 3.36853561020261 0.971 0.073 0
COL3A1 1.45092889740362e-260 -3.26724227648823 0.045 0.454 5.02326093570108e-256
LGALS1 0 -3.20709281495819 0.08 0.728 0
GSN 0 -3.19010092702856 0.248 0.663 0
MGP 1.44907059326068e-288 -2.98224996814785 0.056 0.495 5.01682730092778e-284
HLA-DRA 1.33938132484614e-127 -2.92755068488114 0.025 0.265 4.6370720847498e-123
S100A2 0 2.84390714414088 0.956 0.143 0
COL6A2 1.53279805151415e-214 -2.83003659814185 0.169 0.492 5.30670013414715e-210
FBLN1 1.36683769213922e-100 -2.79724519171638 0.166 0.359 4.73212877395518e-96
CD74 2.68780806122557e-177 -2.74980253201142 0.036 0.347 9.30546028876903e-173
CCDC80 8.21265405990363e-223 -2.70751257555851 0.07 0.43 2.84330296207924e-218
APOD 5.23611320225624e-166 -2.67792768048222 0.074 0.372 1.81279475175313e-161
CST3 2.17126026248979e-295 -2.57599549476884 0.529 0.707 7.5171201547659e-291
S100A4 0 -2.56485420524146 0.419 0.714 0
SFRP2 3.39865468647031e-140 -2.5232410280186 0.012 0.265 1.17664823900288e-135
SPARCL1 5.74742399337975e-204 -2.4865494732722 0.039 0.382 1.989815660748e-199
CFH 7.91907836554568e-238 -2.45485372038692 0.028 0.41 2.74166412093557e-233
TAGLN 1.97444071987054e-77 -2.45226856877221 0.051 0.225 6.8357112162638e-73
COL6A1 1.73349304861193e-168 -2.41556152465072 0.174 0.45 6.00152628359937e-164
SYT8 0 2.38055226512759 0.794 0.065 0
HLA-DRB1 1.59134458301543e-135 -2.37830736105582 0.04 0.296 5.50939408085772e-131
MIR205HG 0 2.33252388450892 0.932 0.112 0
ADIRF 4.82287401895988e-218 -2.25175120537758 0.412 0.623 1.6697272141041e-213
CXCL12 2.89868298251451e-191 -2.24819735578646 0.023 0.349 1.00355303537635e-186
PMAIP1 0 2.22539154022687 0.892 0.197 0
DST 0 2.1941118533372 0.963 0.548 0
SLIT3 1.2740805940375e-238 -2.16634687893782 0.014 0.395 4.41099442461724e-234
HES1 0 2.16414309801249 0.96 0.489 0
CD63 0 -2.16248168632439 0.625 0.791 0
HLA-DPB1 2.57390781306718e-146 -2.15750420667132 0.02 0.288 8.91112623961988e-142
SFN 0 2.12588664188336 0.997 0.286 0
PLPP3 7.84880815465005e-213 -2.11565976212847 0.052 0.401 2.71733587122139e-208
PLAC9 1.86104379342409e-242 -2.11413058546476 0.053 0.433 6.44311971721356e-238
FOSL1 0 2.1060897258046 0.782 0.086 0
S100A6 0 -2.06074890245468 0.885 0.915 0
NFKBIA 0 2.0129153096378 0.992 0.737 0
TUBB4B 0 2.00495972057774 0.986 0.596 0
ROBO2 4.69272972604082e-137 -1.98637300360597 0.038 0.293 1.62466995845259e-132
IGFBP4 8.79828189671691e-271 -1.98008850710767 0.031 0.448 3.04605317546236e-266
HLA-DPA1 9.30717663544079e-118 -1.96050185728466 0.017 0.242 3.22223762295596e-113
SLC2A3 4.74823391193259e-257 -1.96045469321091 0.021 0.427 1.64388606265018e-252
RBMS3 8.1163952581438e-270 -1.94680182961358 0.037 0.452 2.80997720232196e-265
TIMP3 8.49172768522015e-188 -1.94454964327306 0.273 0.542 2.93992104190007e-183
EBF1 2.09578050248095e-256 -1.94160276963755 0.013 0.415 7.2558016776393e-252
SOD3 1.28496653200398e-159 -1.93891993251653 0.085 0.365 4.44868263045097e-155
TIMP2 2.80374734539517e-290 -1.91091867409264 0.044 0.478 9.70685368449261e-286
ZEB2 4.33514863871646e-282 -1.90551241909206 0.015 0.448 1.50087181021002e-277
C1S 1.83433837766992e-135 -1.89620520208191 0.102 0.351 6.35066289733103e-131
GNG11 3.15533528434114e-273 -1.89251756286467 0.032 0.457 1.09240862879175e-268
SRGN 4.93093377605708e-129 -1.8876302188255 0.01 0.247 1.70713858260872e-124
AQP3 0 1.86364352369405 0.947 0.2 0
FN1 1.3973063112417e-222 -1.85817467763879 0.014 0.378 4.83761418014987e-218
MCTP1 7.65554787949824e-94 -1.85744560477169 0.017 0.205 2.65042723136108e-89
APOE 1.03042602400968e-39 -1.85619705941672 0.453 0.479 3.56743793772393e-35
