p_val avg_log2FC pct.1 pct.2 p_val_adj
CFD 3.84464474647211e-12 -3.22378008685813 0.402 0.488 1.33105445767611e-07
KRT14 6.08242190194267e-208 3.20624503462329 0.975 0.268 2.10579528667157e-203
DCN 7.40177286279174e-13 -3.07283341647786 0.37 0.47 2.56256778282713e-08
KRT5 1.50838446320367e-221 2.96365464751372 0.96 0.236 5.22217785005741e-217
HIST1H4C 4.36638445976367e-53 2.96058846584511 0.736 0.442 1.51168596381478e-48
PTGDS 1.14608126260291e-12 -2.94866020089327 0.138 0.323 3.96784793925753e-08
COL1A2 1.05981381581759e-25 -2.86839962192216 0.203 0.488 3.6691814117421e-21
APOD 3.90749932852038e-25 -2.65062688594229 0.072 0.372 1.35281534252704e-20
COL1A1 1.0862562446919e-20 -2.61798537760736 0.199 0.459 3.76072774474782e-16
GSN 1.74571192407901e-38 -2.52355215250079 0.406 0.663 6.04382925235395e-34
VIM 1.41922279704238e-106 -2.45000188864711 0.417 0.942 4.91349124564041e-102
COL3A1 1.73290714227003e-21 -2.41960275349676 0.192 0.454 5.99949781725307e-17
MGP 1.29652771487572e-27 -2.35875730758606 0.174 0.495 4.48870860167122e-23
COL6A2 2.68631289670122e-26 -2.29573387299454 0.199 0.492 9.30028387966929e-22
HIST1H3D 3.17209956851632e-131 2.29560768249556 0.424 0.06 1.09821259161603e-126
FBLN1 2.40870754918445e-07 -2.2888000226449 0.279 0.359 0.00833918640603148
IGFBP7 2.02649681830731e-40 -2.28834465721419 0.304 0.67 7.01593463466173e-36
SFRP2 5.59498837764509e-16 -2.18527337460295 0.051 0.265 1.93704092622451e-11
CXCL12 1.19087290619996e-25 -2.15761491704216 0.043 0.349 4.12292108855489e-21
LY6D 9.39801989416022e-176 2.14851358708703 0.877 0.205 3.25368846755721e-171
HIST1H1B 0 2.13590768537741 0.37 0.012 0
S100A6 2.28617853398324e-73 -2.12534925994924 0.808 0.915 7.91497870250337e-69
CCDC80 1.86782038520696e-21 -2.09082106147508 0.156 0.43 6.46658095562503e-17
HLA-DRB1 1.06441037659905e-15 -2.0802319981969 0.08 0.296 3.68509516482358e-11
SFN 1.50723011392197e-156 2.07909581702652 0.967 0.286 5.21818137740925e-152
PTTG1 1.77092035650321e-213 2.05788786053736 0.681 0.103 6.13110336624975e-209
HLA-DRA 1.41596836138551e-10 -2.05614892496035 0.098 0.265 4.90222406395276e-06
CST3 2.58022064762603e-32 -2.02141337624912 0.609 0.707 8.93298190414608e-28
COL6A1 2.59878434536433e-22 -2.00563996066411 0.185 0.45 8.99725128208585e-18
HMGB2 1.2314587769357e-99 1.99374649141466 0.75 0.309 4.26343343162909e-95
CFH 7.25018088422508e-25 -1.9805747432725 0.105 0.41 2.51008512392756e-20
S100A14 3.81772376543121e-166 1.95628453453611 0.88 0.216 1.32173414482994e-161
ADIRF 6.48852689854364e-27 -1.95420795452689 0.471 0.623 2.24639289754479e-22
S100A4 7.38737910989991e-36 -1.88011125311407 0.551 0.714 2.55758452163845e-31
S100A2 4.1290843908009e-197 1.8702944353488 0.797 0.143 1.42953030693918e-192
LGALS1 6.14993199021889e-52 -1.86960198073933 0.29 0.728 2.12916795433368e-47
PLAC9 4.40218739162818e-27 -1.85286544559528 0.134 0.433 1.52408129685559e-22
NUSAP1 0 1.85140102503792 0.634 0.045 0
TIMP3 1.39589922269076e-32 -1.84674219516739 0.196 0.542 4.83274269887769e-28
CENPF 0 1.83702681674187 0.558 0.024 0
COL17A1 1.7179709750328e-209 1.8368182591493 0.598 0.073 5.94778731266105e-205
CD63 8.88597796083015e-51 -1.81906314022748 0.623 0.791 3.07641442981901e-46
SOD3 9.47226574055467e-25 -1.81760295085591 0.072 0.365 3.27939312203743e-20
DSP 1.09958405142589e-127 1.81562168942044 0.938 0.309 3.80686994444156e-123
TUBA1B 2.36744942752594e-77 1.8045098222172 0.895 0.681 8.19634666303755e-73
DMKN 4.90263757439738e-123 1.80314896312244 0.946 0.294 1.69734215463212e-118
IGFBP4 1.86003530257342e-34 -1.79263347249056 0.069 0.448 6.43962822103943e-30
DSC3 3.05428047346491e-173 1.77850755590571 0.859 0.181 1.05742244271829e-168
SLIT3 2.28342900718124e-27 -1.77220586671228 0.065 0.395 7.90545956576218e-23
TUBB4B 4.30482111014473e-99 1.75654066233368 0.935 0.596 1.49037211654321e-94
NRARP 3.02775548340759e-117 1.74363984522984 0.924 0.321 1.04823922591054e-112
CD74 2.80138935526351e-14 -1.74299788265536 0.13 0.347 9.69869008685778e-10
SPARCL1 2.6886149000431e-16 -1.74272953329501 0.152 0.382 9.3082536454392e-12
PLPP3 2.51674673628735e-23 -1.73763794613299 0.112 0.401 8.71322887570043e-19
SPARC 6.65460578235402e-27 -1.73586341685626 0.181 0.488 2.30389106790878e-22
ZBTB20 1.0442473441275e-42 -1.73447708295966 0.301 0.662 3.61528873010383e-38
TOP2A 0 1.72723685477095 0.522 0.01 0
HIST1H3B 0 1.71977356231045 0.377 0.006 0
ROBO2 1.72518360655428e-16 -1.71912667661777 0.069 0.293 5.97275816425158e-12
FTL 5.98211266010738e-59 -1.71420790464086 0.909 0.924 2.07106722405578e-54
C1R 1.36776092556469e-17 -1.70958538504162 0.13 0.356 4.73532510039752e-13
MCTP1 1.18503205666604e-09 -1.70889225654778 0.062 0.205 4.1026994833835e-05
H2AFZ 1.66948843475894e-87 1.69720137582566 0.902 0.598 5.77993590997893e-83
IGFBP5 6.03453872737062e-11 -1.67234214650347 0.228 0.375 2.08921765280298e-06
TCF4 3.95239635606114e-27 -1.65519671521569 0.29 0.546 1.36835914243193e-22
PERP 3.21545691963573e-98 1.65259165700637 0.957 0.472 1.11322334014709e-93
CD69 3.61463282274038e-09 -1.61953574837023 0.007 0.125 0.000125142202956095
KRT16 1.66691953462136e-198 1.61598715323234 0.482 0.049 5.7710421208126e-194
SERPING1 4.10076449697372e-31 -1.61233198737023 0.062 0.418 1.41972567649727e-26
CLU 1.40459386942851e-22 -1.61099618561634 0.145 0.423 4.86284443534846e-18
UBE2C 0 1.60775645579064 0.511 0.007 0
CELF2 2.30681196656971e-39 -1.60518102774505 0.065 0.479 7.98641370946101e-35
IFI27 2.18555763172574e-13 -1.6017429202319 0.134 0.328 7.56661907679769e-09
