p_val avg_log2FC pct.1 pct.2 p_val_adj
DMKN 0 2.91624797065608 0.98 0.294 0
DCN 2.38328034546383e-215 -2.90828254074187 0.341 0.47 8.25115488403034e-211
KRTDAP 0 2.9067126297002 0.924 0.235 0
CFD 8.99483921953061e-79 -2.77139362053311 0.499 0.488 3.11410328619369e-74
VIM 0 -2.75897679485832 0.405 0.942 0
KRT1 0 2.75735443586368 0.968 0.268 0
PTGDS 1.18065380172913e-215 -2.71585593946826 0.135 0.323 4.08754152696644e-211
COL1A2 0 -2.70641476980448 0.196 0.488 0
KRT10 0 2.68954696723359 0.99 0.641 0
S100A6 0 -2.6442956024033 0.539 0.915 0
SFN 0 2.64421591584628 0.989 0.286 0
HOPX 0 2.55889640659361 0.84 0.225 0
IGFBP7 0 -2.54059408728738 0.248 0.67 0
LY6D 0 2.52409184783531 0.915 0.205 0
COL1A1 0 -2.47894294639923 0.184 0.459 0
LGALS7B 0 2.47661372621919 0.928 0.211 0
SBSN 0 2.4466629733448 0.745 0.139 0
COL3A1 0 -2.44420834707145 0.163 0.454 0
FBLN1 0 -2.42598975412943 0.125 0.359 0
KRT2 0 2.3951970520506 0.543 0.124 0
COL6A2 0 -2.35337344434492 0.165 0.492 0
CALML5 0 2.34439361972139 0.619 0.151 0
NRARP 0 2.33111629130735 0.966 0.321 0
LGALS1 0 -2.32442279174128 0.202 0.728 0
PERP 0 2.30178785118936 0.991 0.472 0
GSN 0 -2.27538080244576 0.437 0.663 0
MGP 0 -2.26270583326734 0.167 0.495 0
CD74 0 -2.25587458140444 0.1 0.347 0
SFRP2 0 -2.2397014536386 0.049 0.265 0
HLA-DRA 1.76155405348888e-161 -2.23490845285531 0.109 0.265 6.09867628858384e-157
CCDC80 0 -2.22833411774339 0.104 0.43 0
DSP 0 2.21462528136868 0.98 0.309 0
S100A4 0 -2.21430760635673 0.409 0.714 0
LYPD3 0 2.17172463997632 0.811 0.17 0
S100A14 0 2.16929199260029 0.937 0.216 0
APOD 0 -2.15821166683563 0.106 0.372 0
DSG1 0 2.1566425121095 0.932 0.204 0
COL6A1 0 -2.13262788065015 0.117 0.45 0
FLG 2.60946623461176e-172 2.09307503147671 0.129 0.025 9.03423305084938e-168
CFH 0 -2.08184598009477 0.087 0.41 0
SLURP1 0 2.02836103225319 0.253 0.037 0
ADIRF 0 -1.9867729180776 0.377 0.623 0
ZBTB20 0 -1.95625094595787 0.251 0.662 0
CXCL12 0 -1.94742883676779 0.063 0.349 0
PHLDA2 0 1.92549644959111 0.821 0.26 0
LGALS7 0 1.9210933504964 0.628 0.083 0
CCL27 0 1.90013837263681 0.76 0.113 0
CD63 0 -1.88821836940236 0.556 0.791 0
SPARCL1 0 -1.86804193738682 0.131 0.382 0
PLPP3 0 -1.85185713056826 0.084 0.401 0
TIMP3 0 -1.8502910154198 0.154 0.542 0
SLIT3 0 -1.83793346275956 0.064 0.395 0
MALAT1 0 -1.8320264832685 0.929 0.975 0
IGFBP5 0 -1.82996838216905 0.134 0.375 0
SPARC 0 -1.82993314648921 0.106 0.488 0
IFITM3 0 -1.82409144314764 0.213 0.614 0
C1R 0 -1.78750314032169 0.067 0.356 0
DSC3 0 1.76468739372889 0.859 0.181 0
CST3 0 -1.75060060293766 0.625 0.707 0
C1S 0 -1.74495195564159 0.068 0.351 0
SOD3 0 -1.73796093458797 0.073 0.365 0
TIMP1 0 -1.73543246046262 0.104 0.559 0
CLU 0 -1.73498596250209 0.086 0.423 0
HLA-DPB1 4.73016439281821e-262 -1.73333711419746 0.074 0.288 1.63763021443759e-257
RBMS3 0 -1.72909485943277 0.056 0.452 0
HLA-DRB1 2.12382874686462e-170 -1.7259153919922 0.129 0.296 7.35290750452001e-166
SLC2A3 0 -1.69753668058328 0.058 0.427 0
TCF4 0 -1.68867633024175 0.242 0.546 0
C3 4.08732953565245e-305 -1.68518349544533 0.033 0.238 1.41507435853823e-300
TAGLN 2.52810017437453e-35 -1.68483644122997 0.158 0.225 8.75253561370206e-31
IGFBP4 0 -1.68393424204451 0.073 0.448 0
PLAC9 0 -1.68266670494573 0.152 0.433 0
FXYD3 0 1.67537769229778 0.815 0.175 0
SRGN 9.93919281942341e-294 -1.67320344283095 0.043 0.247 3.44104794601258e-289
ROBO2 0 -1.67223644274834 0.07 0.293 0
CLDN1 0 1.66709937530979 0.806 0.173 0
TACSTD2 0 1.66672994240058 0.807 0.171 0
RHOV 0 1.66598877702817 0.748 0.124 0
AQP3 0 1.65414299710385 0.824 0.2 0
EBF1 0 -1.65191695115687 0.057 0.415 0
CSTA 0 1.65069360397445 0.633 0.097 0
SERPING1 0 -1.6483583369087 0.054 0.418 0
HLA-DPA1 1.16278475421736e-223 -1.6447851173036 0.061 0.242 4.02567709757591e-219
ZEB2 0 -1.63111299822417 0.056 0.448 0
PRKG1 0 -1.62240829258047 0.063 0.381 0
DLC1 0 -1.61975923729096 0.071 0.443 0
MYC 0 1.61878446979367 0.812 0.319 0
IL32 0 -1.60968012996307 0.017 0.255 0
PKP1 0 1.596608084378 0.727 0.111 0
CD69 2.62091724487345e-169 -1.59455306520157 0.011 0.125 9.07387759347638e-165
FTL 0 -1.59271557155708 0.914 0.924 0
PMAIP1 0 1.58054568893929 0.729 0.197 0
FN1 0 -1.5794998978446 0.052 0.378 0
