p_val avg_log2FC pct.1 pct.2 p_val_adj
LOR 0 7.42178897604082 0.973 0.017 0
FLG 0 7.05078928065128 0.978 0.025 0
FLG2 0 5.79651032574229 0.963 0.011 0
HOPX 0 5.08585161557178 0.96 0.225 0
SBSN 0 4.77195195915126 0.98 0.139 0
CALML5 0 4.52452504381699 0.975 0.151 0
ASPRV1 0 4.45375618676024 0.77 0.011 0
CST6 0 4.3103599719127 0.926 0.02 0
LCE2B 0 3.96238023969122 0.257 0.007 0
CNFN 0 3.90964492582104 0.832 0.035 0
KRTDAP 0 3.74666125861302 0.98 0.235 0
LCE1C 8.99267623361868e-132 3.6732612320956 0.176 0.012 3.11335443884112e-127
SPINK5 0 3.58036228432043 0.861 0.075 0
SLURP1 0 3.38549727489775 0.745 0.037 0
CRCT1 0 3.35692926387722 0.252 0.006 0
C1orf68 0 3.23311860518648 0.532 0.016 0
CDSN 0 3.18815207906651 0.649 0.009 0
SPRR2E 0 3.18651351691544 0.344 0.003 0
KRT23 0 3.11491649170963 0.7 0.024 0
LCE2D 2.18456776794188e-178 2.90634989338572 0.149 0.005 7.5631920693916e-174
DMKN 1.35411942285262e-299 2.79304390857539 0.985 0.294 4.68809685385806e-295
POF1B 0 2.77282012312728 0.688 0.039 0
CTNNBIP1 1.90160623872342e-200 2.63075475405089 0.696 0.18 6.58355095908436e-196
TMEM45A 6.50555596718941e-201 2.62374511621241 0.663 0.158 2.25228853140064e-196
AZGP1 1.05286808647112e-278 2.56984731430447 0.3 0.016 3.64513460217168e-274
CSTA 1.57309367504923e-303 2.45515955291044 0.663 0.097 5.44620761238795e-299
FAM25A 0 2.43417083793228 0.344 0.011 0
KLK5 0 2.34706874090081 0.455 0.009 0
IL18 9.18571317834834e-248 2.31286070137114 0.668 0.122 3.18018575947598e-243
LY6G6C 0 2.29062562076916 0.458 0.032 0
C5orf46 0 2.28937943138388 0.406 0.015 0
PSAPL1 0 2.27497722873606 0.495 0.003 0
SERPINA12 0 2.25115136469939 0.493 0.018 0
SCEL 0 2.23557908557826 0.515 0.048 0
IL37 0 2.22736176083205 0.295 0.004 0
CLDN4 1.37945806047985e-200 2.16960438858748 0.557 0.096 4.77582175118728e-196
PTGDS 0.0489653726614962 -2.14602862625869 0.327 0.323 1
PERP 6.1464478206669e-194 2.14013975895674 0.988 0.472 2.12796169999309e-189
KRT2 1.33644253561118e-208 2.13109424291142 0.658 0.124 4.62689770253946e-204
BTC 0 2.11779305160155 0.436 0.012 0
TACSTD2 4.74603305272285e-196 2.10427007789553 0.728 0.171 1.64312410318318e-191
IGFBP7 5.99442736651642e-42 -2.04911742943406 0.421 0.67 2.07533069856165e-37
CLIC3 2.61558143614875e-198 2.04204281998467 0.401 0.049 9.05540449009057e-194
KPRP 2.77048026090946e-255 1.99233903878061 0.196 0.006 9.59167971129464e-251
CTSV 0 1.98449274361626 0.416 0.016 0
DCN 0.0813498038318855 -1.98434329982982 0.592 0.47 1
KRT10 1.37570908014401e-143 1.95356136661302 0.965 0.641 4.76284240636656e-139
LGALSL 1.47162876812051e-161 1.95325960358861 0.589 0.142 5.09492595811e-157
VIM 2.21697944152968e-125 -1.94387695531725 0.757 0.942 7.67540452451992e-121
DSG1 1.11705934251435e-226 1.93818910137437 0.856 0.204 3.86737114971892e-222
CFD 0.519776050473877 -1.93158006943417 0.671 0.488 1
KLK7 0 1.91136536016852 0.371 0.017 0
CXCL12 4.43172034715806e-30 -1.90709006846772 0.074 0.349 1.53430590138959e-25
KRT80 0 1.90190586033153 0.45 0.028 0
NCCRP1 0 1.89755605419122 0.391 0.007 0
IDE 2.07609300064598e-131 1.8788960998814 0.47 0.108 7.18764157753644e-127
KLK8 1.40699463071674e-262 1.86241012150847 0.473 0.05 4.87115611100443e-258
S100A6 3.41658862352801e-84 -1.82625413375765 0.703 0.915 1.18285714735163e-79
SFN 6.85655169963245e-177 1.78264499922164 0.921 0.286 2.37380676392975e-172
ARG1 0 1.78013353092418 0.342 0.003 0
CCDC80 1.31614543245822e-21 -1.76560881411385 0.203 0.43 4.55662710171359e-17
ELMOD1 0 1.76135626187831 0.351 0.006 0
CD74 1.37347754146724e-10 -1.74764443490701 0.203 0.347 4.75511659631374e-06
GLTP 6.78433581817765e-86 1.73027426036474 0.54 0.207 2.34880490361128e-81
CSNK2A2 1.6512322038696e-80 1.72862748050204 0.473 0.167 5.71673101301695e-76
