p_val avg_log2FC pct.1 pct.2 p_val_adj
FLG 5.03375271999621e-205 3.11570667351647 0.135 0.025 1.74273552918989e-200
DCN 3.66652125258654e-231 -2.97805077257648 0.371 0.47 1.26938632285798e-226
VIM 0 -2.91585233385447 0.355 0.942 0
CFD 7.4452340938599e-113 -2.8697248340439 0.483 0.488 2.57761449563524e-108
PTGDS 0 -2.85323747428951 0.121 0.323 0
COL1A2 0 -2.81045356563924 0.179 0.488 0
KRT14 0 2.66917613343457 0.718 0.268 0
HOPX 0 2.66841409319671 0.863 0.225 0
IGFBP7 0 -2.66746677699208 0.219 0.67 0
KRTDAP 0 2.60215654134966 0.753 0.235 0
DMKN 0 2.58635904543409 0.95 0.294 0
COL1A1 0 -2.58387965784714 0.174 0.459 0
SFN 0 2.50710230403615 0.987 0.286 0
COL3A1 0 -2.50223944464726 0.152 0.454 0
FBLN1 0 -2.44763708357409 0.144 0.359 0
S100A6 0 -2.4455180722669 0.626 0.915 0
LGALS1 0 -2.41359190847292 0.187 0.728 0
COL6A2 0 -2.39244898518992 0.174 0.492 0
GSN 0 -2.38295408838682 0.402 0.663 0
SBSN 0 2.37927127826144 0.599 0.139 0
KRT1 0 2.37345281545474 0.792 0.268 0
MGP 0 -2.3479027908943 0.152 0.495 0
LY6D 0 2.33603524891538 0.904 0.205 0
KRT10 0 2.31586837108467 0.955 0.641 0
CD74 0 -2.30225302344118 0.092 0.347 0
CCDC80 0 -2.28876701408251 0.102 0.43 0
HLA-DRA 2.06746836765226e-231 -2.28505051936741 0.099 0.265 7.1577822356489e-227
SFRP2 0 -2.25880881943912 0.047 0.265 0
S100A4 0 -2.24155750470783 0.417 0.714 0
CALML5 0 2.23746445013917 0.504 0.151 0
LGALS7B 0 2.21651863955864 0.892 0.211 0
APOD 0 -2.19908609989899 0.104 0.372 0
NRARP 0 2.17844925379372 0.959 0.321 0
PERP 0 2.1601820720212 0.991 0.472 0
COL6A1 0 -2.14565130534234 0.138 0.45 0
KRT5 0 2.1123113702346 0.718 0.236 0
CFH 0 -2.10229144662586 0.082 0.41 0
KRT2 0 2.04041357660873 0.433 0.124 0
DSP 0 2.01951873876241 0.978 0.309 0
CXCL12 0 -2.00944095101902 0.055 0.349 0
ADIRF 0 -1.99996389300889 0.388 0.623 0
S100A14 0 1.9881427755436 0.919 0.216 0
SPARCL1 0 -1.96511936468592 0.115 0.382 0
DSG1 0 1.92281641187366 0.912 0.204 0
CD63 0 -1.91701551040334 0.57 0.791 0
KRT15 0 1.9057613718069 0.39 0.107 0
PLPP3 0 -1.87682697595938 0.08 0.401 0
ZBTB20 0 -1.87620364124447 0.3 0.662 0
SLIT3 0 -1.87328838884291 0.057 0.395 0
TIMP3 0 -1.85541635580455 0.182 0.542 0
CST3 0 -1.85225336418945 0.605 0.707 0
LYPD3 0 1.84345333382398 0.702 0.17 0
SLURP1 0 1.83335245047205 0.215 0.037 0
SPARC 0 -1.81768529459345 0.153 0.488 0
CCL27 0 1.80627311067207 0.736 0.113 0
HLA-DRB1 2.52284461352934e-249 -1.80452975618971 0.116 0.296 8.73434033649994e-245
TAGLN 2.05991917120902e-67 -1.79387680672063 0.14 0.225 7.13164616264274e-63
C1R 0 -1.77776145699262 0.091 0.356 0
IFITM3 0 -1.76763000264698 0.264 0.614 0
COL17A1 0 1.76439970962015 0.407 0.073 0
HLA-DPB1 0 -1.75988394978264 0.068 0.288 0
PLAC9 0 -1.75365371114109 0.131 0.433 0
SOD3 0 -1.7528447803832 0.079 0.365 0
RBMS3 0 -1.75028517761278 0.055 0.452 0
C1S 0 -1.74059554369485 0.081 0.351 0
IGFBP5 2.77184446303161e-274 -1.73288567515608 0.189 0.375 9.59640271546174e-270
LGALS7 0 1.72870850670596 0.611 0.083 0
IGFBP4 0 -1.72790985666139 0.066 0.448 0
CLU 0 -1.72477408603272 0.101 0.423 0
PMAIP1 0 1.72096127918159 0.75 0.197 0
SLC2A3 0 -1.71848146196982 0.055 0.427 0
TIMP1 0 -1.71348726066641 0.139 0.559 0
EBF1 0 -1.70086022221373 0.049 0.415 0
C3 0 -1.69750458368731 0.031 0.238 0
PHLDA2 0 1.69581349454397 0.749 0.26 0
SRGN 0 -1.69387458148697 0.038 0.247 0
DSC3 0 1.69305034077006 0.862 0.181 0
ROBO2 0 -1.68585759897245 0.066 0.293 0
AQP3 0 1.67299052130535 0.837 0.2 0
HLA-DPA1 1.18745334796495e-306 -1.67210282653497 0.056 0.242 4.11108223598946e-302
SERPING1 0 -1.66452621592558 0.056 0.418 0
ZEB2 0 -1.6603600203807 0.05 0.448 0
TCF4 0 -1.64449238608018 0.284 0.546 0
TUBB4B 0 1.64438295655227 0.956 0.596 0
TACSTD2 0 1.63819205142581 0.81 0.171 0
FXYD3 0 1.6381636292584 0.825 0.175 0
PRKG1 0 -1.63520250377632 0.061 0.381 0
GNG11 0 -1.62987668328395 0.069 0.457 0
FN1 0 -1.62245064232857 0.047 0.378 0
IL32 0 -1.61778391044185 0.017 0.255 0
DLC1 0 -1.61590674629564 0.083 0.443 0
MCTP1 8.26444662882447e-233 -1.61354494583215 0.055 0.205 2.86123406736532e-228
CD69 7.87665137891319e-237 -1.60765123053119 0.009 0.125 2.72697547389354e-232
LDB2 0 -1.60565179239825 0.038 0.367 0
MALAT1 0 -1.59816630263635 0.941 0.975 0
TIMP2 0 -1.5910091809717 0.076 0.478 0
COL6A3 0 -1.57172443082812 0.048 0.337 0
CELF2 0 -1.57106075020986 0.055 0.479 0
SELENOM 0 -1.55625007812886 0.137 0.524 0
A2M 0 -1.54114035076176 0.051 0.262 0
HES1 0 1.53884393647629 0.872 0.489 0
CALD1 0 -1.5385676498505 0.31 0.549 0
S100A2 0 1.53511250520966 0.532 0.143 0
MMP2 0 -1.53501027153811 0.055 0.305 0
LAMA2 0 -1.5339062172851 0.037 0.309 0
CTSK 0 -1.51718357837411 0.063 0.324 0
SERPINF1 0 -1.51555173626016 0.075 0.363 0
SPINK5 0 1.51525436679598 0.347 0.075 0
FTL 0 -1.51166573012578 0.922 0.924 0
NAV3 0 -1.51076719408423 0.061 0.332 0
CLDN1 0 1.50787645092719 0.773 0.173 0
MYC 0 1.49444448298488 0.807 0.319 0
PTPRC 0 -1.49261844010408 0.014 0.172 0
AQP1 0 -1.48964822707331 0.035 0.279 0
FBN1 0 -1.48451145799144 0.034 0.34 0
PRRX1 0 -1.48049642346938 0.039 0.345 0
MFAP4 0 -1.47717148115267 0.035 0.301 0
FABP4 3.71020177519254e-122 -1.47694998632139 0.035 0.123 1.28450895658941e-117
RHOV 0 1.47643157802018 0.695 0.124 0
AREG 0 1.46844878721349 0.48 0.102 0
RPLP1 0 1.46527304549947 0.997 0.972 0
CSTA 0 1.46446932641656 0.573 0.097 0
KLF5 0 1.46156582258371 0.76 0.198 0
MIR205HG 0 1.45736558109835 0.649 0.112 0
FYN 0 -1.45544883061862 0.055 0.442 0
ZEB1 0 -1.45299994254411 0.063 0.444 0
LRMDA 0 -1.45098768674321 0.036 0.373 0
PAM 0 -1.45083236466301 0.065 0.436 0
ACTA2 4.10215215126317e-69 -1.4369631028308 0.098 0.179 1.42020609628882e-64
AKT3 0 -1.43412200581878 0.04 0.479 0
KAZN 1.41461677546576e-166 -1.43260090163998 0.255 0.375 4.89754473834002e-162
EMP3 0 -1.43241347454881 0.105 0.503 0
NEGR1 0 -1.42604315816928 0.032 0.277 0
BICC1 0 -1.42363365808309 0.038 0.306 0
LHFPL6 0 -1.42246043811305 0.139 0.455 0
PTPRG 0 -1.41525099783681 0.058 0.379 0
FBLN2 0 -1.41341183297135 0.031 0.314 0
DCLK1 0 -1.411469498271 0.032 0.305 0
PMP22 0 -1.41092550280074 0.135 0.473 0
PKP1 0 1.41062843706101 0.684 0.111 0
FSTL1 0 -1.39888148584903 0.039 0.365 0
FOSL1 0 1.39520324747903 0.535 0.086 0
PTPRM 0 -1.3902351598821 0.049 0.356 0
CYBA 0 -1.38819946603797 0.074 0.476 0
TNXB 0 -1.37892879865394 0.051 0.333 0
ADH1B 0 -1.37648722738997 0.022 0.216 0
CCN5 1.3140021561054e-261 -1.3742656508428 0.029 0.174 4.54920686465249e-257
IFITM2 0 -1.37296341043861 0.079 0.517 0
SERTAD1 0 1.37090588193147 0.836 0.353 0
TWIST2 0 -1.36198905213161 0.034 0.285 0
SERPINB5 0 1.35761371826276 0.642 0.09 0
TPM2 4.15236263361539e-219 -1.35282563609979 0.098 0.27 1.43758946738398e-214
INPP4B 0 -1.33327211459777 0.046 0.299 0
ARHGAP15 0 -1.33184745523283 0.011 0.211 0
SPTBN1 0 -1.33183543811412 0.298 0.54 0
JUP 0 1.32999050973085 0.716 0.197 0
SAMSN1 4.99994904495421e-260 -1.32777514644768 0.011 0.137 1.7310323588536e-255
IL18 0 1.3230077534375 0.67 0.122 0
CLDN5 2.04659518089068e-232 -1.32141234356713 0.031 0.164 7.08551717576164e-228
DSG3 0 1.31719142374909 0.568 0.097 0
REV3L 0 -1.31540841074405 0.222 0.473 0
VCAN 0 -1.31064004802015 0.035 0.3 0
KLK8 0 1.30764861818874 0.543 0.05 0
CNFN 1.58895092211044e-176 1.29298405841528 0.14 0.035 5.50110698743857e-172
LSAMP 0 -1.29163170267028 0.044 0.25 0
C11orf96 2.80310060290959e-184 -1.29096663260977 0.091 0.243 9.70461459733331e-180
MT1X 0 1.29014871023414 0.79 0.466 0
LEPR 0 -1.28973392167251 0.043 0.264 0
FAM83B 0 1.28770210784904 0.57 0.07 0
LUM 0 -1.28362786947875 0.027 0.218 0
C19orf33 0 1.28148335958159 0.649 0.113 0
ARL15 2.78951553112085e-281 -1.28083779292716 0.186 0.387 9.65758172029349e-277
LAMA4 0 -1.28035444393323 0.051 0.362 0
TACC1 0 -1.27612712311941 0.066 0.468 0
SYT8 0 1.272095599855 0.432 0.065 0
TGFBR2 0 -1.26697036956452 0.136 0.431 0
HPGD 1.67517883928131e-13 -1.25447754070896 0.113 0.143 5.79963665947581e-09
MYL9 0 -1.25422726386614 0.064 0.302 0
FGFBP1 0 1.2516210601295 0.412 0.052 0
HLA-DQB1 8.26236170807896e-197 -1.25045793651909 0.056 0.19 2.86051224695402e-192
