p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT14 0 5.92808822931216 0.982 0.094 0
VIM 0 -5.11189353993598 0.14 0.915 0
CFD 1.95233540392491e-234 -5.00558523740007 0.143 0.446 6.75918040192844e-230
KRT5 0 4.81284047883362 0.981 0.082 0
DCN 6.26553598929372e-87 -4.48840917468189 0.355 0.431 2.16919121485338e-82
COL1A2 0 -4.48822849067587 0.021 0.485 0
PTGDS 3.4795373607823e-193 -4.2461355857371 0.037 0.322 1.20465062967644e-188
SFN 0 4.18039353296176 0.965 0.091 0
COL1A1 0 -4.1650283155821 0.059 0.447 0
COL17A1 0 4.15607080595146 0.954 0.027 0
IGFBP7 0 -3.88508768803465 0.053 0.613 0
COL3A1 0 -3.83640285929754 0.001 0.456 0
MGP 0 -3.67330105108069 0.02 0.462 0
S100A4 0 -3.65193121325762 0.343 0.804 0
KRT15 0 3.49631105101243 0.917 0.048 0
LGALS1 0 -3.46148073735527 0.073 0.784 0
S100A2 0 3.41535802640887 0.923 0.067 0
GSN 0 -3.30041366655591 0.325 0.683 0
CCDC80 2.95868782971805e-303 -3.26989031888911 0.092 0.469 1.02432731352669e-298
APOD 2.40116921366975e-248 -3.24540423872069 0.034 0.374 8.31308793464603e-244
DSP 0 3.1721362913335 0.965 0.114 0
COL6A2 2.40521551653762e-296 -3.16756276676035 0.195 0.521 8.3270966398049e-292
CST3 0 -3.13222980004277 0.561 0.686 0
HLA-DRA 3.08909640996849e-64 -3.13106460872657 0.062 0.192 1.06947606809519e-59
CFH 0 -2.90601332680061 0.011 0.424 0
FBLN1 1.2681950245677e-102 -2.88794215428869 0.228 0.376 4.39061799455584e-98
CD74 1.60356435600787e-140 -2.85509583863963 0.088 0.319 5.55170015693484e-136
SFRP2 1.05741662539773e-176 -2.84228246519656 0.009 0.273 3.66088209878948e-172
PERP 0 2.82478100886445 0.967 0.257 0
HES1 0 2.81810591999463 0.93 0.375 0
SPARCL1 1.64585005576395e-250 -2.79803389744052 0.037 0.378 5.69809747806038e-246
S100A6 0 -2.78859505336426 0.812 0.927 0
TAGLN 1.90613813784147e-82 -2.77130266845846 0.03 0.179 6.59924084702097e-78
DSC3 0 2.73391109181049 0.952 0.061 0
COL6A1 1.70731471192155e-273 -2.70979304780746 0.193 0.506 5.9108942641436e-269
FOSL1 0 2.64423784509335 0.839 0.092 0
SLIT3 0 -2.64083091634419 0.006 0.455 0
NEDD4L 0 2.6159453540809 0.864 0.106 0
CXCL12 2.0217125919623e-291 -2.53577886569284 0.015 0.397 6.99937116463268e-287
PRKG1 0 -2.51689718552732 0.017 0.456 0
LY6D 0 2.49154718421533 0.759 0.045 0
LAMA2 5.18999504123811e-263 -2.49084904167439 0.02 0.374 1.79682818322705e-258
PLPP3 0 -2.45358866524323 0.067 0.486 0
MIR205HG 0 2.43356493779161 0.869 0.059 0
ZEB2 0 -2.42094050436852 0.006 0.598 0
ADIRF 6.81406352531134e-189 -2.3844771460771 0.43 0.571 2.35909693309804e-184
SRGN 1.64425642710088e-214 -2.3801070802684 0.005 0.311 5.69258017626595e-210
HLA-DRB1 2.94019540526523e-73 -2.34340610016021 0.095 0.24 1.01792505125688e-68
HLA-DPB1 9.79218400972221e-164 -2.34093053318763 0.022 0.275 3.39015202600593e-159
SLC2A3 0 -2.31771757899296 0.024 0.505 0
NRARP 0 2.30414218103988 0.805 0.148 0
EBF1 0 -2.2971944108596 0.002 0.469 0
CD63 0 -2.29689562860862 0.638 0.81 0
PTPRC 3.4169356242992e-177 -2.27290485550429 0.002 0.265 1.18297728248863e-172
DPT 2.00573621394515e-242 -2.27067205609963 0.011 0.346 6.94405934629949e-238
NFKBIA 0 2.26174509964233 0.972 0.693 0
TIMP3 0 -2.25675897588957 0.175 0.539 0
SOD3 2.65291876373294e-300 -2.25658666815931 0.056 0.438 9.18467005191981e-296
AQP3 0 2.2490531417741 0.862 0.109 0
RBMS3 0 -2.24885330383007 0.04 0.539 0
SPARC 3.11310036777979e-164 -2.24354285613371 0.44 0.548 1.07778647832904e-159
ACTA2 7.42829883057693e-63 -2.21524217551996 0.05 0.177 2.57175133813404e-58
NEGR1 1.4306023385074e-296 -2.21165954658221 0.02 0.405 4.95288835614647e-292
DLC1 0 -2.20948254436673 0.121 0.532 0
CELF2 0 -2.191851276064 0.04 0.613 0
MMP2 1.11227208318238e-253 -2.18440192474733 0.007 0.353 3.85079717918573e-249
COL6A3 0 -2.18115150393117 0.002 0.4 0
CCL27 0 2.17617203761961 0.734 0.034 0
C1R 1.32159175186858e-154 -2.16877737247529 0.218 0.423 4.57548280414421e-150
PRRX1 0 -2.16857924613677 0.005 0.456 0
DSG3 0 2.1681020843826 0.807 0.047 0
PLAC9 0 -2.16621849160082 0.068 0.475 0
HLA-DPA1 6.96786478881419e-107 -2.14729377276637 0.017 0.197 2.41234446853536e-102
AC083837.1 0 2.1450073904269 0.672 0.136 0
SERPING1 0 -2.11507331376734 0.059 0.492 0
C1S 5.35903526154914e-209 -2.11432018560513 0.151 0.43 1.85535159790093e-204
ITPKC 0 2.0958327599421 0.794 0.115 0
FN1 3.7742207101998e-303 -2.09335365281969 0.017 0.411 1.30667295207827e-298
PMAIP1 0 2.09165413192943 0.896 0.144 0
IL32 6.80525363070281e-204 -2.07783683763387 0.012 0.307 2.35604685948562e-199
NRG1 0 2.07687905040264 0.681 0.036 0
TIMP2 0 -2.0616234867209 0.069 0.552 0
PHLDB2 0 2.05969238535454 0.824 0.228 0
CCL19 5.72390098098583e-45 -2.05734087376014 0.017 0.105 1.9816717586271e-40
CLU 3.99709967887326e-275 -2.05002332257669 0.079 0.442 1.38383587982271e-270
KLF5 0 2.03542324730526 0.906 0.155 0
ETS2 0 2.02599994824958 0.922 0.281 0
HOPX 0 2.01301902949841 0.835 0.144 0
PI16 3.90526752079129e-165 -2.00578178031793 0.005 0.254 1.35204266837315e-160
PMP22 0 -1.99986295971678 0.045 0.511 0
RND3 0 1.99940647531478 0.919 0.353 0
LGALS7B 0 1.99928308954273 0.856 0.078 0
SELENOM 0 -1.99639278642909 0.134 0.594 0
MFAP4 1.84860434961504e-265 -1.98769748312451 0.008 0.365 6.40005311880221e-261
LUM 8.50536512604201e-228 -1.98448597582643 0.002 0.321 2.944642460287e-223
TPM2 7.57813408605774e-135 -1.97930787823759 0.07 0.293 2.62362580193405e-130
FYN 0 -1.97226519650876 0.102 0.587 0
ARHGAP15 8.53138289276316e-249 -1.96652070776893 0.004 0.346 2.95365007130353e-244
C11orf96 3.49970193998786e-192 -1.964021432097 0.017 0.3 1.2116318086432e-187
ANK2 0 -1.95707700139839 0.006 0.427 0
SNED1 1.59271422949114e-293 -1.95686623523402 0.034 0.415 5.51413593392126e-289
CD69 8.17447482765811e-117 -1.95016485715816 0.002 0.189 2.83008493008351e-112
IGFBP5 2.81358406402972e-30 -1.94699982002774 0.375 0.389 9.74090938807729e-26
TMSB10 0 -1.93571577849018 0.873 0.947 0
TIMP1 0 -1.92825151323691 0.269 0.621 0
TACSTD2 0 1.92704269497405 0.831 0.081 0
MYL9 5.95755743990601e-226 -1.92479685031566 0.028 0.348 2.06256596126986e-221
TUBB4B 0 1.91468884808843 0.93 0.487 0
SAMSN1 3.68061842202942e-137 -1.91063403896485 0.005 0.219 1.27426690389081e-132
FXYD3 0 1.88652946243979 0.822 0.08 0
DENND2C 0 1.88113597467095 0.801 0.118 0
SERPINB5 0 1.86393136248683 0.757 0.047 0
DENND4A 0 1.8620350636632 0.878 0.474 0
AKT3 0 -1.85855305857268 0.044 0.625 0
SYT8 0 1.85689297096048 0.59 0.003 0
C19orf33 0 1.84692499862736 0.818 0.066 0
ROBO2 2.51696213377766e-97 -1.83859662304909 0.143 0.326 8.71397460335165e-93
C3 1.01675092754698e-153 -1.82539838084853 0.014 0.252 3.5200933862604e-149
SERPINB2 0 1.82015744547532 0.612 0.013 0
APOE 5.94981637149545e-18 -1.81828908083657 0.626 0.386 2.05988592597544e-13
