p_val avg_log2FC pct.1 pct.2 p_val_adj
DCN 5.42169947406038e-48 -4.8644958361629 0.112 0.431 1.87704657491444e-43
CFD 1.11510921507535e-39 -4.82037907795302 0.188 0.446 3.86061961351237e-35
KRT14 0 4.62167189117901 0.854 0.094 0
COL1A2 3.7524186982904e-75 -4.46715429549687 0.023 0.485 1.29912487753512e-70
PTGDS 2.2600812671502e-41 -4.20655134127745 0.016 0.322 7.82462735500071e-37
COL1A1 5.50650765753436e-61 -4.19404342557499 0.055 0.447 1.90640801611497e-56
KRT5 0 4.00007635004363 0.867 0.082 0
COL3A1 1.67092629637881e-71 -3.84279143437681 0.005 0.456 5.78491393069307e-67
KRT1 0 3.43597484652156 0.485 0.041 0
IGFBP7 2.28135631350039e-89 -3.36329259511953 0.14 0.613 7.8982836929697e-85
MGP 3.64917374942659e-64 -3.33466289565152 0.041 0.462 1.26338044378898e-59
SFN 0 3.31410888385468 0.865 0.091 0
APOD 3.79460063713489e-52 -3.29988124919315 0.014 0.374 1.31372868658247e-47
CCDC80 3.23588451596683e-59 -3.16126571952654 0.087 0.469 1.12029557827288e-54
COL6A2 2.18342388663459e-61 -3.15800057924488 0.169 0.521 7.55923183791761e-57
GSN 1.12679464071888e-72 -3.11918122218367 0.513 0.683 3.90107572563284e-68
KRT10 1.3906854228969e-95 3.03870914678885 0.872 0.555 4.81469200261136e-91
LY6D 0 3.02765903291356 0.609 0.045 0
DSP 0 3.00968644147729 0.819 0.114 0
HLA-DRA 2.73563595323301e-07 -2.97874246132626 0.11 0.192 0.00947104523368802
CST3 3.44862799898362e-57 -2.95979024724499 0.627 0.686 1.19394949952812e-52
S100A2 0 2.94637216449138 0.826 0.067 0
CFH 3.77250270363898e-65 -2.93052614608328 0 0.424 1.30607816102685e-60
SFRP2 4.93228345075415e-35 -2.85304255942469 0.007 0.273 1.70760585348559e-30
VIM 1.25290157753438e-187 -2.79980603061268 0.142 0.915 4.33767055158177e-183
COL6A1 7.54763036846464e-57 -2.76425767345035 0.172 0.506 2.61306510986614e-52
HIST1H4C 6.44952397737618e-65 2.69814898488969 0.78 0.497 2.23288969620741e-60
DMKN 0 2.67985110765292 0.721 0.087 0
TAGLN 4.95095800871985e-13 -2.65897421780955 0.053 0.179 1.7140711721989e-08
ADIRF 2.96475123797545e-44 -2.64505851059582 0.405 0.571 1.02642652609948e-39
FBLN1 0.00747885776690875 -2.61920462917137 0.471 0.376 1
LGALS7B 0 2.59572165745773 0.819 0.078 0
SPARCL1 4.24360631779986e-44 -2.59169910141155 0.059 0.378 1.46917894328549e-39
SLIT3 2.85966713117815e-64 -2.57419409417886 0.043 0.455 9.90045357485187e-60
PRKG1 3.83091748124332e-68 -2.53503986775555 0.025 0.456 1.32630194118125e-63
CXCL12 2.91775456894211e-57 -2.51043817871669 0.009 0.397 1.01015580931345e-52
S100A14 0 2.50425495725058 0.844 0.071 0
CD74 6.7223906120421e-16 -2.50010193912592 0.167 0.319 2.3273588537951e-11
DSC3 0 2.48878725799896 0.801 0.061 0
LAMA2 7.51561826227445e-49 -2.46743852081018 0.032 0.374 2.60198219858204e-44
PERP 1.49219300187411e-276 2.46067679050877 0.879 0.257 5.16612139178837e-272
S100A6 3.91778619618466e-128 -2.4364045408041 0.886 0.927 1.35637675898109e-123
SPARC 1.23100406356926e-67 -2.41915529709079 0.165 0.548 4.26185916848312e-63
S100A4 6.93570665347326e-111 -2.41877082883508 0.481 0.804 2.40121100049898e-106
PLPP3 7.25407791061654e-55 -2.36064615352647 0.149 0.486 2.51143431343455e-50
CENPF 0 2.35421153131516 0.76 0.029 0
IGFBP5 5.14309791197419e-25 -2.33237912601589 0.204 0.389 1.78059192810458e-20
SOD3 1.28808258600357e-63 -2.30414466035077 0.025 0.438 4.45947072100295e-59
TOP2A 0 2.29194450816341 0.773 0.014 0
DPT 3.58030129294238e-47 -2.28894802781777 0.011 0.346 1.23953611062958e-42
ROBO2 4.39998930567838e-26 -2.27419969130333 0.112 0.326 1.52332029751891e-21
EBF1 3.25161856545872e-72 -2.26000070383732 0.014 0.469 1.12574286354746e-67
HLA-DPB1 2.43126297086241e-20 -2.23543515824107 0.089 0.275 8.41727553142274e-16
C1R 1.01383933740744e-28 -2.22216732875237 0.24 0.423 3.51001317003828e-24
TIMP3 9.16020434133857e-61 -2.21864693023291 0.174 0.539 3.17135434501483e-56
NEGR1 1.17840411390937e-56 -2.21627750483523 0.025 0.405 4.07975288276562e-52
DLC1 1.5124460001554e-69 -2.21547926212752 0.126 0.532 5.23623929713802e-65
HLA-DRB1 1.12448952416652e-05 -2.21354867734385 0.185 0.24 0.389309518161691
ACTA2 1.61625064381017e-09 -2.20896251994645 0.078 0.177 5.59562135393517e-05
MMP2 2.27709131220687e-49 -2.19488596074923 0.007 0.353 7.88351783199141e-45
SELENOM 5.06696603651014e-90 -2.18138965119262 0.13 0.594 1.75423431150018e-85
RBMS3 1.56545458661548e-74 -2.17691693864268 0.11 0.539 5.41976032432147e-70
HMGB2 3.10589694384939e-236 2.16346313873785 0.899 0.356 1.0752925809301e-231
C1S 9.22326099084914e-35 -2.15795366581937 0.204 0.43 3.19318518764188e-30
PTTG1 0 2.15321952128656 0.835 0.117 0
ZBTB20 5.58950789538327e-100 -2.14903228017814 0.526 0.791 1.93514352846064e-95
PRRX1 3.21369677451392e-69 -2.14679220702868 0.016 0.456 1.11261396030446e-64
PLAC9 7.1764543355401e-57 -2.14082033266129 0.124 0.475 2.48456025550734e-52
CD63 6.93675081127439e-93 -2.13265952165631 0.767 0.81 2.40157249837131e-88
FTL 6.60156254255626e-125 -2.12630923391058 0.879 0.912 2.2855269678584e-120
COL6A3 5.18433102590379e-55 -2.1232697179446 0.025 0.4 1.79486724447815e-50
ZEB2 1.38975574430527e-94 -2.08419053183627 0.057 0.598 4.81147336235928e-90
SLC2A3 1.31204651675634e-66 -2.08257132052017 0.076 0.505 4.54243624566211e-62
COL17A1 0 2.07245443655955 0.611 0.027 0
FN1 2.76636393839558e-53 -2.06749741427493 0.048 0.411 9.57742859111933e-49
STMN1 6.40327449117925e-274 2.06613330637923 0.858 0.234 2.21687766159117e-269
TCF4 2.40469788715897e-44 -2.05527481086317 0.462 0.6 8.32530455513307e-40
TIMP2 2.35861036959917e-80 -2.04045440339699 0.092 0.552 8.16574496058929e-76
SERPING1 8.40087479744997e-67 -2.02307685147668 0.078 0.492 2.90846686362515e-62
PI16 5.15873906322399e-32 -2.00824386766845 0.007 0.254 1.78600705107878e-27
NRARP 2.47196544742107e-285 1.99487591932614 0.735 0.148 8.55819157551647e-281
LUM 1.58913654479054e-42 -1.98171297718013 0.011 0.321 5.50174963171932e-38
MFAP4 2.70518710435085e-50 -1.97126532236659 0.014 0.365 9.36562827397308e-46
MKI67 0 1.96830690811637 0.796 0.009 0
TUBA1B 1.08159355051069e-159 1.96398359275367 0.945 0.695 3.74458503122305e-155
DSG3 0 1.96223974685212 0.723 0.047 0
ANK2 6.30778607101515e-64 -1.93940068430744 0.009 0.427 2.18381861564616e-59
C11orf96 1.34286516695596e-37 -1.93879812997915 0.016 0.3 4.64913349451823e-33
PMP22 4.20098757743817e-75 -1.93703338492069 0.057 0.511 1.45442390918487e-70
HLA-DPA1 1.10758136672731e-09 -1.93077055370662 0.092 0.197 3.83455744974663e-05
TPM2 5.1062878959517e-17 -1.92947785527218 0.14 0.293 1.76784793245744e-12
SNED1 8.8873029955201e-53 -1.92743486209776 0.057 0.415 3.07687317007901e-48
NUSAP1 0 1.92546068085055 0.789 0.052 0
FAM160A1 0 1.92248223144145 0.7 0.094 0
CCL19 0.0393001466014522 -1.91632299411952 0.08 0.105 1
H2AFZ 3.82800143492791e-180 1.90987391422208 0.922 0.574 1.32529237678639e-175
CLU 7.05163938805445e-48 -1.88129711895686 0.101 0.442 2.44134807253833e-43
FOSL1 4.11226800696219e-270 1.8659080757558 0.568 0.092 1.42370830669038e-265
CELF2 1.54780254832186e-83 -1.84302633621673 0.146 0.613 5.35864720254512e-79
TIMP1 3.84490699573413e-82 -1.82377273631294 0.183 0.621 1.33114525099311e-77
TUBB4B 5.1590431911196e-158 1.80369963187286 0.897 0.487 1.78611234319752e-153
C3 2.49445547628866e-29 -1.79726688404335 0.018 0.252 8.63605430445896e-25
CTSK 7.77052521619088e-36 -1.79379001109997 0.126 0.384 2.69023353509744e-31
NAV3 2.2641094500647e-43 -1.77703673785612 0.048 0.363 7.83857332706901e-39
RGS5 1.47320410772707e-08 -1.77583673255988 0.023 0.103 0.000510037994136188
MYL9 7.24333305917473e-38 -1.77410609985378 0.053 0.348 2.50771433841688e-33
BICC1 9.08129304529512e-35 -1.76359633058652 0.124 0.383 3.14403446521162e-30
FBN1 9.31908217059625e-55 -1.76224268957284 0.034 0.405 3.22635943828213e-50
SYNE1 1.24482913241136e-66 -1.7553616219595 0.195 0.563 4.30972293932138e-62
LDB2 4.65609854049202e-53 -1.74739623853068 0.009 0.377 1.61198787570374e-48
RUNX1T1 1.61036353992742e-67 -1.73294675021681 0.007 0.44 5.57523961158273e-63
FTH1 1.85183251032882e-83 -1.72245130581299 0.918 0.936 6.4112293340094e-79
IFITM3 4.69590301352112e-36 -1.71311007683608 0.597 0.643 1.62576858231115e-31
DSG1 0 1.70683689913235 0.7 0.046 0
ASPM 0 1.69087756297353 0.705 0.008 0
DCLK1 2.16658564028241e-51 -1.68390135171072 0.03 0.386 7.50093614522174e-47
RPLP0 3.04105169457043e-177 1.68016366841275 0.961 0.848 1.05284250717723e-172
UBE2C 0 1.6791564414649 0.625 0.005 0
SERPINF1 5.56850034411912e-52 -1.65222047351443 0.076 0.432 1.92787050413748e-47
FBLN2 4.35353599967657e-48 -1.64674301119881 0.023 0.363 1.50723769844803e-43
HMGN2 3.7853342226314e-157 1.64417819630132 0.924 0.607 1.31052056121722e-152
PTPRG 1.29040627255626e-53 -1.63510475949803 0.105 0.461 4.46751555621703e-49
AQP3 0 1.63438746949274 0.682 0.109 0
IFITM2 9.16074221932231e-95 -1.63364257217561 0.117 0.618 3.17154056375158e-90
CALD1 1.84010912526173e-25 -1.61892550510993 0.57 0.59 6.37064180256865e-21
ZEB1 3.06070389006107e-72 -1.6157143679389 0.146 0.581 1.05964629377804e-67
ABCA10 4.27272728867739e-26 -1.61295067696102 0.085 0.299 1.479260914613e-21
KAZN 8.66009966633265e-08 -1.60437441294021 0.414 0.408 0.00299821310548103
NEDD4L 2.13861037963206e-307 1.597576913431 0.657 0.106 7.40408299532415e-303
HPSE2 1.55685145168278e-26 -1.59685330367005 0.002 0.213 5.38997541087096e-22
CKS2 1.67958819653552e-293 1.59663483308196 0.828 0.18 5.81490229522561e-289
ABCA8 3.29937899574939e-39 -1.59420890337228 0.016 0.309 1.14227800211839e-34
FBXL7 1.60554418664383e-54 -1.58746573584774 0.03 0.403 5.55855452857962e-50
PAM 5.46422105269491e-59 -1.58181177135094 0.238 0.572 1.89176797065351e-54
LRP1 6.56835793955324e-32 -1.58017172118921 0.22 0.426 2.27403120225273e-27
TK1 0 1.57989571336574 0.719 0.011 0
MIR205HG 0 1.57753244843659 0.771 0.059 0
MCTP1 1.06129408365141e-14 -1.57335023998136 0.016 0.146 3.67430624700954e-10
AEBP1 1.46404676433606e-55 -1.57020484885501 0.039 0.411 5.06867630280786e-51
PTMA 1.38985072662983e-199 1.56693093374302 0.998 0.961 4.81180220066514e-195
