p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT1 0 5.85397052468922 0.809 0.041 0
KRT10 0 5.32135437631287 0.944 0.555 0
KRTDAP 0 4.96751790176594 0.794 0.052 0
DMKN 0 4.73499185165135 0.889 0.087 0
VIM 0 -4.62375667558074 0.082 0.915 0
DCN 0 -4.62313416215644 0.137 0.431 0
SFN 0 4.44931068337864 0.942 0.091 0
COL1A2 0 -4.33426481778624 0.013 0.485 0
CFD 2.02284084456393e-241 -4.31267374287447 0.381 0.446 7.00327728796477e-237
KRT2 0 4.25833805704479 0.408 0.007 0
LGALS7B 0 4.21820317153278 0.93 0.078 0
PTGDS 0 -4.10419086698938 0.013 0.322 0
COL1A1 0 -4.05820158962447 0.013 0.447 0
LY6D 0 3.98852075408092 0.821 0.045 0
DSP 0 3.79456125806317 0.921 0.114 0
PERP 0 3.78991503943967 0.953 0.257 0
COL3A1 0 -3.68667571694938 0.007 0.456 0
IGFBP7 0 -3.66093330964444 0.034 0.613 0
DSG1 0 3.56426797915315 0.821 0.046 0
MGP 0 -3.50083037374766 0.021 0.462 0
SBSN 0 3.37389309377806 0.715 0.04 0
CALML5 0 3.33971168520028 0.61 0.069 0
S100A6 0 -3.32718237159145 0.448 0.927 0
S100A4 0 -3.26502981511564 0.377 0.804 0
COL6A2 0 -3.22003325906938 0.076 0.521 0
LGALS1 0 -3.21431305939134 0.068 0.784 0
NRARP 0 3.21183185443606 0.853 0.148 0
LYPD3 0 3.19201352384693 0.782 0.083 0
CCDC80 0 -3.19136447494917 0.032 0.469 0
APOD 0 -3.15615745357218 0.018 0.374 0
HLA-DRA 1.92361126631924e-207 -3.01233085463443 0.062 0.192 6.65973456512384e-203
FBLN1 0 -2.98087509970842 0.074 0.376 0
LGALS7 0 2.95911672247118 0.614 0.041 0
S100A14 0 2.92670227150966 0.917 0.071 0
CFH 0 -2.85500593442445 0.007 0.424 0
COL6A1 0 -2.8196727599143 0.076 0.506 0
DSC3 0 2.80563331961246 0.881 0.061 0
SFRP2 0 -2.77887934472234 0.007 0.273 0
CD74 0 -2.72186297392052 0.089 0.319 0
TAGLN 2.24905452735853e-256 -2.70864587966152 0.036 0.179 7.78645167916795e-252
SPARCL1 0 -2.68145035726823 0.036 0.378 0
HOPX 0 2.67055606269396 0.762 0.144 0
CST3 0 -2.63648690220653 0.71 0.686 0
GSN 0 -2.63495178225248 0.579 0.683 0
S100A7 0 2.60800827568385 0.411 0.035 0
KRT14 0 2.602847960529 0.399 0.094 0
SLURP1 0 2.59787822633025 0.198 0.007 0
SLIT3 0 -2.57400729779041 0.009 0.455 0
TIMP3 0 -2.51001074755871 0.081 0.539 0
PRKG1 0 -2.49776235562586 0.008 0.456 0
LAMA2 0 -2.47260960940905 0.005 0.374 0
SPARC 0 -2.44998976880476 0.057 0.548 0
CXCL12 0 -2.44593256444878 0.014 0.397 0
TACSTD2 0 2.42869333982551 0.848 0.081 0
FTH1 0 -2.42694466140294 0.637 0.936 0
ADIRF 0 -2.42257680401409 0.375 0.571 0
IGFBP5 0 -2.41139049409722 0.081 0.389 0
CCL27 0 2.40083573755392 0.765 0.034 0
PKP1 0 2.39645270534103 0.816 0.053 0
PLPP3 0 -2.38491882223422 0.115 0.486 0
DLC1 0 -2.37170116464942 0.034 0.532 0
SRGN 0 -2.36935983343165 0.009 0.311 0
PHLDA2 0 2.35684997940376 0.735 0.162 0
CSTA 0 2.35172795216821 0.757 0.07 0
