p_val avg_log2FC pct.1 pct.2 p_val_adj
LOR 0 8.49201445892699 0.787 0.014 0
FLG 0 8.34122766100962 0.869 0.005 0
FLG2 0 6.70665206722432 0.838 0.003 0
SBSN 0 6.22719705743742 0.944 0.04 0
CALML5 0 5.86974369953114 0.95 0.069 0
KRTDAP 0 5.82670527166964 0.931 0.052 0
HOPX 6.93763643992834e-204 5.77845611547668 0.894 0.144 2.40187911186759e-199
SPRR2E 0 5.71051163462329 0.65 0.006 0
LCE2B 0 5.64746152921985 0.262 0.002 0
LCE1C 0 5.63031500696207 0.406 0.012 0
ASPRV1 0 5.61146784713305 0.731 0.01 0
DMKN 0 5.2958483595066 0.956 0.087 0
CDSN 0 5.21158067030113 0.85 0.005 0
LCE1B 0 5.21034243397567 0.269 0.003 0
CRCT1 0 5.08137236275286 0.425 0.003 0
SPINK5 0 5.07317842334502 0.944 0.04 0
DCN 7.47434130152336e-20 -5.02900001947444 0.094 0.431 2.5876917020004e-15
CST6 0 4.97132315960074 0.887 0.019 0
C1orf68 0 4.96299082235659 0.65 0.005 0
LCE1A 0 4.961030747206 0.194 0.001 0
CNFN 0 4.93843825336861 0.831 0.043 0
LCE2C 0 4.85598708941518 0.206 0.001 0
KRT25 3.93769761514428e-215 4.83503395969198 0.112 0.002 1.3632702913391e-210
VIM 7.86386206823531e-86 -4.78186922066927 0.044 0.915 2.72254768664375e-81
CFD 5.28950941999972e-08 -4.66247736072045 0.356 0.446 0.0018312810562981
SLURP1 0 4.64714988756061 0.731 0.007 0
SPRR2G 0 4.4753573185592 0.306 0.001 0
COL1A2 4.80239246873337e-28 -4.41049447180324 0.031 0.485 1.66263629660018e-23
S100A7 1.88488519645857e-266 4.40923016472241 0.544 0.035 6.5256610386592e-262
LCE2D 0 4.40595231934279 0.256 0.001 0
TCHH 1.52197949541597e-25 4.40309934413105 0.112 0.014 5.26924521107964e-21
AZGP1 0 4.35570303729186 0.506 0.012 0
FAM25A 0 4.35029640650303 0.8 0.004 0
LCE2A 0 4.31007704308938 0.175 0.002 0
PTGDS 1.73221660182541e-16 -4.25446226817332 0.013 0.322 5.99710709717974e-12
COL1A1 6.91861759951594e-27 -4.23262888345669 0 0.447 2.39529459912841e-22
KLK5 0 4.22156036909938 0.806 0.008 0
KRT27 1.42202960737346e-89 4.21295139989658 0.1 0.003 4.92320870368767e-85
KPRP 0 4.17935496858014 0.644 0.001 0
FTH1 2.1085559745573e-85 -4.14080845164046 0.194 0.936 7.30003163951482e-81
CXCL14 1.16070750791219e-15 -4.12094008479627 0.119 0.401 4.01848546314281e-11
S100A6 5.20095486261099e-80 -4.05085828242149 0.212 0.927 1.80062258298455e-75
POF1B 0 3.98602968924904 0.881 0.028 0
LCE1E 0 3.93798608079066 0.15 0.001 0
PRR9 0 3.88233188208282 0.1 0 0
COL3A1 7.58321876037939e-27 -3.83638595126147 0.013 0.456 2.62538616703095e-22
KRT2 0 3.77530777741847 0.45 0.007 0
LGALS1 1.41464701384462e-65 -3.7623564861617 0.025 0.784 4.89764942663145e-61
KLK7 0 3.75644026067264 0.838 0.014 0
IGFBP7 2.98095500777128e-39 -3.74489725984645 0.062 0.613 1.03203643324049e-34
CSTA 0 3.73218874675233 0.8 0.07 0
NCCRP1 0 3.70108522510211 0.844 0.013 0
MGP 2.44269567178574e-27 -3.68775625253382 0.013 0.462 8.45685668528942e-23
TACSTD2 2.02261280746609e-266 3.68537084958442 0.8 0.081 7.00248780072836e-262
KRT23 0 3.67825492091564 0.844 0.02 0
CASP14 0 3.62993250975571 0.738 0.019 0
SERPINA12 0 3.6295808970337 0.762 0.004 0
TMEM45A 5.94135576272829e-136 3.62007945009197 0.831 0.19 2.05695677861416e-131
FTL 4.61248746267782e-74 -3.61104779495232 0.419 0.912 1.59688928445369e-69
KRT80 0 3.60448643280763 0.925 0.031 0
CTNNBIP1 3.45717874372258e-187 3.57762074035139 0.912 0.17 1.19690985286419e-182
