p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT1 0 5.43840405481315 0.644 0.041 0
KRT10 0 4.91199809081386 0.896 0.555 0
DCN 0 -4.60732211356199 0.181 0.431 0
KRTDAP 0 4.58690604615686 0.638 0.052 0
VIM 0 -4.57132136678109 0.096 0.915 0
CFD 0 -4.45566132119538 0.324 0.446 0
DMKN 0 4.37380630995039 0.837 0.087 0
COL1A2 0 -4.37126624896956 0.015 0.485 0
SFN 0 4.34797309055122 0.939 0.091 0
KRT14 0 4.18445643197877 0.535 0.094 0
PTGDS 0 -4.13874363992563 0.018 0.322 0
COL1A1 0 -4.08739932537435 0.024 0.447 0
LGALS7B 0 3.8955422426042 0.908 0.078 0
KRT2 0 3.86397646721482 0.314 0.007 0
LY6D 0 3.72615441348075 0.793 0.045 0
COL3A1 0 -3.72468537740074 0.006 0.456 0
IGFBP7 0 -3.69305879053 0.043 0.613 0
DSP 0 3.64617287841829 0.924 0.114 0
PERP 0 3.59074689109289 0.951 0.257 0
MGP 0 -3.53080805096596 0.021 0.462 0
S100A4 0 -3.2940791471277 0.372 0.804 0
DSG1 0 3.26900410666897 0.815 0.046 0
COL6A2 0 -3.20917024367072 0.103 0.521 0
CCDC80 0 -3.20887223149222 0.047 0.469 0
KRT5 0 3.20332078536246 0.517 0.082 0
APOD 0 -3.17688174193596 0.022 0.374 0
S100A6 0 -3.16083919509631 0.538 0.927 0
SBSN 0 3.15599269859812 0.571 0.04 0
LGALS1 0 -3.08964122626758 0.079 0.784 0
CALML5 0 3.073761005021 0.491 0.069 0
HLA-DRA 1.05052781457748e-270 -3.037682122844 0.063 0.192 3.63703234684868e-266
NRARP 0 3.01360764327792 0.835 0.148 0
FBLN1 0 -2.94751686365112 0.121 0.376 0
CFH 0 -2.86935919835568 0.008 0.424 0
LYPD3 0 2.83894498698644 0.694 0.083 0
SFRP2 0 -2.7953422565175 0.007 0.273 0
COL6A1 0 -2.79525010938659 0.104 0.506 0
DSC3 0 2.76209838381975 0.885 0.061 0
CST3 0 -2.7453027357983 0.675 0.686 0
GSN 0 -2.74323224099958 0.525 0.683 0
CD74 0 -2.7413704219355 0.091 0.319 0
TAGLN 0 -2.71926345884944 0.036 0.179 0
