p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT14 0 4.29027173455814 0.997 0.249 0
KRT5 0 3.95032991925927 0.947 0.176 0
KRT15 0 3.44214831334183 0.778 0.085 0
S100A2 0 3.02083550799141 0.845 0.119 0
COL17A1 0 3.01074874783429 0.725 0.047 0
SYT8 0 2.66635102004985 0.764 0.059 0
SFN 0 2.51042842348319 0.857 0.178 0
COL1A1 4.03986582954075e-260 -2.42330762344231 0.2 0.493 1.3986419488453e-255
MIR205HG 0 2.41562400701011 0.717 0.081 0
COL3A1 0 -2.41092848122386 0.169 0.499 0
CCL27 0 2.39777701730111 0.769 0.114 0
COL1A2 0 -2.38659263795116 0.228 0.546 0
VIM 0 -2.32667286492297 0.39 0.946 0
PERP 0 2.28253926935973 0.892 0.373 0
AQP3 0 2.1208073555202 0.684 0.105 0
SPARCL1 2.05568759064359e-258 -2.0963736933124 0.092 0.386 7.11699600756719e-254
HES1 0 2.0649656402192 0.853 0.454 0
IGFBP7 0 -2.02866989441571 0.27 0.678 0
HSPA1A 1.05707304122035e-176 -1.96668023259469 0.796 0.789 3.65969257600896e-172
COL6A2 2.90864145799762e-273 -1.92130997649267 0.309 0.561 1.00700075917336e-268
FXYD3 0 1.92119258728431 0.72 0.1 0
ATF3 0 1.90180057500999 0.709 0.408 0
SFRP2 1.35155532541361e-176 -1.87621377203992 0.104 0.336 4.67921969211447e-172
CCDC80 4.88563280127391e-304 -1.85616494896113 0.117 0.452 1.69145493212904e-299
HOPX 0 1.84112981635181 0.785 0.2 0
IL18 0 1.82958079376156 0.642 0.073 0
COL6A1 1.29429388155536e-264 -1.82074057560441 0.265 0.529 4.48097484733281e-260
TUBB4B 0 1.8161603703857 0.738 0.429 0
GSN 0 -1.81400493749383 0.378 0.688 0
MT1X 0 1.77359877550557 0.817 0.412 0
DSP 0 1.77143683816141 0.8 0.191 0
LY6D 0 1.74684766749937 0.786 0.136 0
LGALS7 0 1.74571626407024 0.344 0.007 0
ACTA2 3.87016598813764e-56 -1.74028177240187 0.092 0.198 1.33989016675313e-51
LGALS7B 0 1.73761266176532 0.923 0.189 0
S100A14 0 1.71291777918911 0.709 0.113 0
HSPH1 1.77909346413106e-137 -1.71081594396642 0.245 0.424 6.15939948216813e-133
PLPP3 0 -1.70177015080427 0.153 0.489 0
DSC3 0 1.69229858810336 0.651 0.073 0
HSPA1B 2.93458721253789e-109 -1.66998918120827 0.543 0.604 1.01598343885274e-104
C19orf33 0 1.66301894614209 0.657 0.097 0
LGALS1 0 -1.65951847576366 0.279 0.757 0
EBF1 0 -1.65824367346723 0.053 0.445 0
NRARP 0 1.65185679198486 0.626 0.167 0
WNT4 0 1.64667214269631 0.538 0.042 0
TAGLN 7.03741240951367e-11 -1.64387342118244 0.207 0.242 2.43642255029773e-06
RBMS3 0 -1.63550671159208 0.068 0.499 0
DST 0 1.63154140193064 0.722 0.53 0
SLIT3 0 -1.60527906651154 0.087 0.44 0
PRKG1 0 -1.60310327892142 0.038 0.367 0
CXCL12 4.70101851932235e-233 -1.60280427069804 0.07 0.349 1.62753962157459e-228
CCL19 1.3361741096242e-18 -1.58601361804584 0.059 0.104 4.62596838492996e-14
FN1 0 -1.57880710279118 0.058 0.393 0
TIMP3 1.20845786129499e-288 -1.5755825504372 0.268 0.556 4.18380196158937e-284
SLC2A3 0 -1.57398314578264 0.044 0.396 0
TACSTD2 0 1.56112885305858 0.547 0.068 0
CFH 9.28318078203714e-280 -1.5534119957245 0.103 0.428 3.21393001854908e-275
A2M 5.08286421798075e-164 -1.52661040296276 0.064 0.278 1.75973842090711e-159
DAPL1 0 1.526428869273 0.594 0.062 0
IMPA2 0 1.51369245315579 0.57 0.081 0
MGP 2.59474789656914e-224 -1.51268020738213 0.215 0.515 8.98327669271203e-220
TPM2 3.44690746857086e-133 -1.51129647945672 0.102 0.303 1.19335383469392e-128
ZEB2 0 -1.50801193656252 0.058 0.479 0
WFDC5 0 1.50677100475954 0.517 0.022 0
RPLP1 0 1.5045193173232 0.998 0.965 0
FOSB 0 1.50405498954663 0.771 0.449 0
