p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT5 0 3.99175923600336 0.938 0.176 0
KRT14 0 3.45969391296422 0.949 0.249 0
SFN 0 3.43977022027017 0.902 0.178 0
COL1A2 5.34538915156871e-65 -3.02139776405111 0.156 0.546 1.8506271781646e-60
COL3A1 1.15847353524795e-61 -2.98000638689742 0.115 0.499 4.01075122638192e-57
PMAIP1 0 2.92743432485254 0.658 0.087 0
IGFBP7 1.85223976103693e-96 -2.78961383834748 0.169 0.678 6.41263927668597e-92
KRT15 1.55563675704399e-235 2.76641139902604 0.521 0.085 5.385770016562e-231
COL1A1 3.00653823370898e-45 -2.76353646313991 0.19 0.493 1.04089360189239e-40
VIM 8.81693347660385e-201 -2.76186108762102 0.256 0.946 3.05251053893502e-196
HES1 2.37257825561196e-207 2.72085779016319 0.938 0.454 8.21410317875416e-203
TUBB4B 6.53190104415815e-214 2.59258871169473 0.895 0.429 2.26140946049799e-209
TACSTD2 0 2.56877829646695 0.722 0.068 0
CFD 1.33199527487147e-42 -2.52768448783557 0.306 0.565 4.61150084113251e-38
PERP 1.65582707647235e-268 2.52549012889934 0.94 0.373 5.73263892145491e-264
COL6A2 3.12263780046889e-59 -2.46204902411959 0.229 0.561 1.08108843290033e-54
S100A2 0 2.45259375961496 0.855 0.119 0
SPARCL1 3.22937109110049e-44 -2.40360506105629 0.068 0.386 1.1180405654499e-39
DCN 3.93772536497738e-21 -2.32951190499842 0.511 0.548 1.36327989860882e-16
SERPINB2 0 2.31164578995112 0.568 0.011 0
COL6A1 6.34718722548944e-57 -2.30178275118833 0.184 0.529 2.1974596893367e-52
MT1X 1.08059556198597e-185 2.23007253444206 0.921 0.412 3.74112989515161e-181
TAGLN 6.39481267559898e-08 -2.21867237214173 0.15 0.242 0.00221394809641912
CCDC80 4.51207879860432e-52 -2.20754379608418 0.1 0.452 1.5621268008648e-47
COL17A1 0 2.1985275794989 0.718 0.047 0
MGP 3.88227261850239e-56 -2.18257829260199 0.126 0.515 1.34408160325171e-51
H2AFZ 5.33952727445958e-185 2.17324166310384 0.868 0.458 1.84859773769065e-180
LY6D 0 2.16657484819906 0.814 0.136 0
S100A14 0 2.16267510887459 0.833 0.113 0
DCD 0.79443097187726 -2.16007202285946 0.1 0.104 1
SFRP2 5.26951507198377e-31 -2.15152394450345 0.085 0.336 1.8243588130715e-26
DSP 0 2.13099976688199 0.897 0.191 0
HIST1H4C 1.25516067000675e-22 2.12339618696749 0.701 0.533 4.34549175563036e-18
LGALS7 0 2.12069504681448 0.526 0.007 0
GSN 1.60873131609385e-62 -2.08987545537069 0.451 0.688 5.56958868944851e-58
