p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT1 0 3.74639097377296 0.943 0.204 0
KRT10 0 3.61920112069052 0.986 0.597 0
DMKN 0 3.52406305027544 0.97 0.217 0
KRTDAP 0 3.3366977683045 0.92 0.16 0
KRT2 0 3.24974538772567 0.494 0.065 0
SFN 0 3.20633466845595 0.876 0.178 0
PERP 0 3.08805287008275 0.904 0.373 0
DSP 0 3.03150132654924 0.835 0.191 0
LY6D 0 3.00235995509776 0.853 0.136 0
SBSN 0 2.84750498917691 0.665 0.069 0
DSG1 0 2.79881862787472 0.771 0.096 0
NRARP 0 2.79717159576259 0.741 0.167 0
CALML5 0 2.63256599097892 0.559 0.092 0
LGALS7 0 2.56771697677263 0.323 0.007 0
COL1A1 0 -2.5245981856969 0.161 0.493 0
LGALS7B 0 2.49020711564308 0.958 0.189 0
HOPX 0 2.46012498266366 0.787 0.2 0
COL3A1 0 -2.43208415127828 0.15 0.499 0
COL1A2 0 -2.42038508511757 0.207 0.546 0
S100A14 0 2.41823805903751 0.756 0.113 0
VIM 0 -2.40242944237123 0.368 0.946 0
LYPD3 0 2.37653949912031 0.655 0.078 0
IGFBP7 0 -2.18028151653297 0.227 0.678 0
PKP1 0 2.16409055307653 0.662 0.058 0
HSPA1A 0 -2.12537247614948 0.75 0.789 0
DSC3 0 2.12385388842359 0.685 0.073 0
MT1X 0 2.09701043051531 0.799 0.412 0
HES1 0 2.07689437479146 0.851 0.454 0
SPARCL1 0 -2.06735840467987 0.081 0.386 0
FLG 1.36642922773979e-204 2.06613134447212 0.117 0.035 4.73071462935792e-200
COL6A2 0 -2.04552308168928 0.196 0.561 0
SLURP1 0 2.04443940149014 0.189 0.02 0
CCL27 0 2.03439758760891 0.769 0.114 0
RHOV 0 1.99548719197995 0.608 0.042 0
CCDC80 0 -1.98946265398796 0.088 0.452 0
COL6A1 0 -1.98034920948198 0.17 0.529 0
AQP3 0 1.96565316942552 0.665 0.105 0
FXYD3 0 1.93399137488419 0.706 0.1 0
SFRP2 0 -1.92242494929184 0.096 0.336 0
TIMP3 0 -1.88787445606325 0.121 0.556 0
TACSTD2 0 1.88546947153471 0.614 0.068 0
CSTA 0 1.85079534390721 0.613 0.065 0
JUP 0 1.84430407914177 0.651 0.125 0
PLPP3 0 -1.84288114897798 0.141 0.489 0
PHLDA2 0 1.81541777728178 0.526 0.129 0
SPINK5 0 1.77746697540173 0.315 0.028 0
ZBTB20 0 -1.7760680895577 0.29 0.686 0
ACTA2 4.71802315139818e-220 -1.7651715577153 0.075 0.198 1.63342679524556e-215
KRT5 0 1.76142958781284 0.523 0.176 0
HSPH1 0 -1.76018426052161 0.245 0.424 0
LGALS1 0 -1.75927900058383 0.24 0.757 0
TAGLN 1.89554642809323e-95 -1.74715392810288 0.157 0.242 6.56257128870157e-91
RBMS3 0 -1.74584360605763 0.05 0.499 0
C19orf33 0 1.74204840340972 0.663 0.097 0
SERPINB5 0 1.72976810763829 0.572 0.035 0
CALD1 0 -1.72855183218104 0.269 0.543 0
DLC1 0 -1.72057466294951 0.044 0.471 0
GSN 0 -1.71591743237686 0.512 0.688 0
DEFB1 0 1.71222240573387 0.64 0.06 0
IGFBP5 0 -1.70186852025583 0.11 0.4 0
EBF1 0 -1.70068396633553 0.047 0.445 0
CLDN1 0 1.69971666713394 0.586 0.048 0
DSC1 0 1.6926200297712 0.494 0.023 0
CFH 0 -1.67464392553003 0.082 0.428 0
