p_val avg_log2FC pct.1 pct.2 p_val_adj
LOR 0 7.8694675831939 0.933 0.045 0
FLG 0 7.72111499843483 0.941 0.035 0
FLG2 0 6.20849859079711 0.874 0.014 0
CST6 0 5.97439380572196 0.837 0.015 0
SBSN 0 5.39888870921728 0.879 0.069 0
CALML5 0 5.36018037519736 0.935 0.092 0
HOPX 0 5.16351391056767 0.902 0.2 0
LCE2B 2.66088082587117e-209 4.81159342234718 0.157 0.006 9.21223550724858e-205
ASPRV1 0 4.61014016342782 0.66 0.009 0
LCE1C 1.20758953809868e-139 4.42273686122337 0.112 0.005 4.18079573985143e-135
CNFN 0 4.22586951723069 0.699 0.039 0
C1orf68 0 4.18511195110291 0.421 0.012 0
KRTDAP 0 4.16704171701485 0.955 0.16 0
CRCT1 0 3.97326529643533 0.242 0.004 0
SPRR2E 0 3.95725450200577 0.239 0.002 0
SPINK5 0 3.85433635446386 0.598 0.028 0
KRT23 0 3.72282486074255 0.61 0.01 0
CDSN 0 3.6963435124828 0.506 0.009 0
C5orf46 0 3.61764707558529 0.548 0.011 0
DMKN 0 3.35072754406464 0.958 0.217 0
SLURP1 0 3.32818770469679 0.441 0.02 0
CTNNBIP1 6.21353612907165e-233 3.26752575241802 0.652 0.126 2.15118834324589e-228
TMEM45A 1.74152890606803e-162 3.24872102761808 0.629 0.165 6.02934722569812e-158
KLK5 0 3.01559099914025 0.463 0.007 0
FAM25A 0 3.00292735293249 0.346 0.011 0
IL37 0 2.98199767596837 0.374 0.002 0
TACSTD2 3.02857811107683e-279 2.97287712662707 0.548 0.068 1.04852402783591e-274
SERPINA12 0 2.95070823973516 0.472 0.016 0
POF1B 0 2.89543860893559 0.483 0.022 0
KPRP 0 2.86778407344564 0.244 0.002 0
AZGP1 2.16191671721779e-224 2.8397748745053 0.213 0.011 7.4847718666797e-220
CSTA 7.08514101478449e-226 2.76093793407458 0.486 0.065 2.45294667072854e-221
PERP 4.3923541354233e-155 2.73500157758211 0.86 0.373 1.5206769252249e-150
CLDN4 0 2.6554679044949 0.407 0.027 0
IL18 3.50368778800983e-248 2.63145034095388 0.537 0.073 1.21301174908688e-243
KRT2 2.72854251536543e-83 2.61232774917095 0.32 0.065 9.44648704244664e-79
NCCRP1 0 2.61161192048437 0.424 0.008 0
FABP5 2.83461587955946e-64 2.6019275831924 0.503 0.199 9.81372363662281e-60
LY6G6C 0 2.50206592719755 0.388 0.013 0
CLTB 1.0772559413215e-65 2.47238059204684 0.626 0.369 3.72956779444918e-61
ARG1 0 2.44545285834417 0.371 0.003 0
CLIC3 4.75669446280513e-247 2.43233472935382 0.433 0.046 1.64681518996776e-242
KRT10 1.30307088620159e-105 2.38275996313917 0.899 0.597 4.51136171511853e-101
IDE 4.52039687530337e-119 2.3741170893016 0.421 0.089 1.56500660219878e-114
KLK7 0 2.35617860704068 0.346 0.006 0
SAPCD1 0 2.34977924991587 0.385 0.007 0
PSAPL1 0 2.33812049995969 0.351 0.002 0
PSORS1C2 0 2.27747794181635 0.236 0.002 0
SERPINB7 0 2.2618261330091 0.357 0.007 0
EPS8L1 0 2.20932954676016 0.354 0.021 0
SCEL 4.34664182331008e-274 2.20348225244794 0.326 0.022 1.50485086564818e-269
DSG1 5.72840904801038e-174 2.19848171396107 0.539 0.096 1.98323249651167e-169
KRT80 0 2.18665355878704 0.357 0.009 0
CTSV 0 2.16633885480238 0.323 0.008 0
TAGLN 1.31206403114866e-05 -2.14680765272563 0.157 0.242 0.454249688223976
DCD 0.0288492055787526 -2.13882708547557 0.143 0.104 1
COL1A1 5.68924849928921e-25 -2.13695480186327 0.23 0.493 1.96967472293892e-20
ACTA2 8.21840385287472e-12 -2.08820871515306 0.056 0.198 2.84529359790376e-07
BTC 0 2.08228980730402 0.284 0.009 0
ELMOD1 0 2.07821032015038 0.329 0.005 0
DSP 9.7404194182333e-116 2.04707129724055 0.638 0.191 3.37223060678655e-111
MSMB 0 2.03244048957798 0.197 0.001 0
ELOVL1 2.9772361726195e-65 1.98206777476703 0.371 0.112 1.0307489353226e-60
SLURP2 0 1.97078964400229 0.309 0.012 0
GLTP 1.39658440604208e-64 1.91625766677362 0.404 0.135 4.83511487215829e-60
BLMH 1.66599209616211e-96 1.91116338762096 0.362 0.077 5.76783123612285e-92
KRT1 7.38227420633401e-123 1.88517468855384 0.699 0.204 2.5558171529749e-118
IGFBP7 2.71250955838465e-39 -1.87415063675232 0.351 0.678 9.39097934208349e-35
C15orf48 4.92682035846128e-236 1.8715916151272 0.309 0.023 1.70571447630288e-231
KRT77 1.3810537244731e-251 1.85248217415782 0.228 0.011 4.78134609949831e-247
HEBP2 3.91648045226526e-30 1.84264389823725 0.497 0.326 1.35592469737876e-25
EREG 0 1.80810117833762 0.306 0.003 0
TINCR 1.93079098747184e-190 1.80412772005606 0.388 0.046 6.68459147772627e-186
TPM2 7.58880756418482e-22 -1.79377948947873 0.062 0.303 2.62732106679643e-17
ARL5A 7.41082675210771e-30 1.78747038069161 0.413 0.226 2.56570232984721e-25
LGALSL 2.15655696409956e-61 1.77923732620063 0.348 0.102 7.46621586540908e-57
DGAT2 0 1.77264919838683 0.315 0.009 0
GJB3 0 1.76178803358446 0.323 0.008 0
CYSRT1 0 1.72439556956823 0.32 0.005 0
PKP1 4.94445146123309e-177 1.71677202020467 0.424 0.058 1.71181854039351e-172
MGP 9.70489078257955e-28 -1.71358423643147 0.219 0.515 3.35993023783686e-23
ABCA12 0 1.70095095898399 0.301 0.012 0
COL3A1 1.94096518574813e-20 -1.69569798026023 0.272 0.499 6.7198155695786e-16
S100A4 2.4456537615266e-60 -1.69097788067519 0.393 0.782 8.46709788778125e-56
CSNK2A2 7.2074666777633e-36 1.69089150577751 0.343 0.143 2.49529703850843e-31
WFDC5 0 1.69065593028627 0.36 0.022 0
GAN 4.6346901684604e-80 1.68098652369723 0.295 0.059 1.60457608322267e-75
GGCT 3.02744073580942e-31 1.67907452416101 0.331 0.14 1.04813025714458e-26
COL1A2 1.85487316597989e-18 -1.67673750191555 0.348 0.546 6.42175638793898e-14
SPARCL1 3.02060708514753e-20 -1.6745219155508 0.149 0.386 1.04576437894893e-15
CASP14 0 1.67278762877519 0.25 0.01 0
MAP1LC3A 3.77928966285121e-25 1.66394768039478 0.396 0.226 1.30842787417572e-20
CERS3 0 1.66193070964514 0.301 0.01 0
CCDC80 4.03796097821338e-31 -1.64940057470812 0.129 0.452 1.39798247026725e-26
RAB11FIP1 2.03235824426456e-52 1.64262052012556 0.365 0.12 7.03622747746833e-48
LYPD3 4.61752096596827e-81 1.63860382945637 0.348 0.078 1.59863193362787e-76
GSDMA 0 1.62826445447762 0.222 0.005 0
DNASE1L2 0 1.61555825068503 0.281 0.001 0
EGLN3 1.33849786135832e-82 1.61235195971246 0.385 0.094 4.63401344580865e-78
SFN 5.06528222040619e-96 1.60968276743421 0.596 0.178 1.75365135752683e-91
VIM 7.26943144337434e-93 -1.60908581504356 0.593 0.946 2.51674986001063e-88
DYNLL1 4.99985555639923e-47 1.60686266609763 0.736 0.664 1.73099999218098e-42
JUP 2.4555477697563e-66 1.60631175491897 0.41 0.125 8.5013519336733e-62
SULT2B1 3.22435899537738e-285 1.58718593995653 0.334 0.022 1.1163053277896e-280
KLK8 2.64660051388826e-288 1.58484085401552 0.329 0.021 9.16279563913254e-284
MARCH3 4.6385420382984e-72 1.58020169713794 0.357 0.091 1.60590963907929e-67
ABHD12B 0 1.57864954713234 0.256 0.004 0
COL6A2 3.40924235739581e-31 -1.57720586592407 0.261 0.561 1.180313796554e-26
LYPLA1 2.41743344876866e-38 1.5402623921401 0.354 0.144 8.36939634298197e-34
CLDN1 6.24232523239476e-109 1.5392159949703 0.309 0.048 2.16115541870739e-104
IVL 0 1.53562698341077 0.281 0.006 0
CAV1 2.52865879908207e-43 -1.52766917687516 0.163 0.558 8.75446962830203e-39
FAM110A 1.04639269072423e-196 1.51535387349896 0.301 0.027 3.62271613455635e-192
LYPD5 0 1.50283672341071 0.272 0.007 0
TIMP3 1.84111050698401e-42 -1.50263695082602 0.169 0.556 6.37410868622935e-38
HSPA1A 5.71401493635875e-17 -1.49978038493956 0.649 0.789 1.97824911111676e-12
ANXA9 0 1.48687340986793 0.239 0.002 0
ANK3 2.10763422939962e-50 1.48335371781105 0.365 0.117 7.29684046560441e-46
S100A6 2.89171964266693e-73 -1.47217079488429 0.531 0.929 1.00114225748772e-68
SELENOM 2.75922439151108e-47 -1.46836407692592 0.157 0.567 9.55271076585053e-43
AADACL2 0 1.46123364888829 0.272 0.012 0
SPARC 2.16428031585041e-43 -1.45738372726263 0.135 0.542 7.49295488150572e-39
SERPINB8 5.72824753376823e-89 1.43583901687963 0.292 0.054 1.9831765786659e-84
SPINT2 7.22445153844843e-99 1.43448966725927 0.365 0.072 2.50117736712623e-94
ADIRF 5.59866648579818e-41 -1.4253384646125 0.371 0.711 1.93831432404819e-36
LGALS1 4.72673791711217e-55 -1.42451557977368 0.326 0.757 1.63644393428341e-50
SDR9C7 0 1.42415657409381 0.27 0.002 0
PRSS8 0 1.42365156465123 0.267 0.004 0
CCL19 0.00789545494509575 -1.4220836182017 0.062 0.104 1
SLC46A2 0 1.42089411912453 0.225 0.002 0
NRARP 5.69410021841222e-47 1.41209854643769 0.43 0.167 1.9713544366165e-42
S100A14 1.96380366005776e-88 1.41082379319785 0.455 0.113 6.79888465148597e-84
CALD1 6.88258192645375e-34 -1.4076048591995 0.205 0.543 2.38281868875755e-29
HBA1 2.72271156934112e-29 1.40650966522631 0.211 0.063 9.42629972421589e-25
AL365226.2 0 1.40335429792221 0.14 0.002 0
HSPH1 6.40306101825233e-19 -1.40118294021021 0.197 0.424 2.21680375512914e-14
ETV7 2.94046992875627e-202 1.40090848985996 0.281 0.023 1.01802009403471e-197
TM7SF2 2.08254852714643e-235 1.39130485537519 0.267 0.017 7.20999125583367e-231
IFITM3 1.05000113516589e-50 -1.38705782418112 0.213 0.648 3.63520893005783e-46
H2AFJ 6.42639581616463e-18 1.38698710206992 0.508 0.426 2.22488249551436e-13
MYL9 1.1453037716316e-19 -1.38321505705917 0.098 0.333 3.96515618776577e-15
ALOXE3 0 1.37797820417695 0.256 0.003 0
LYPD2 0 1.37468001682748 0.225 0.001 0
IP6K2 1.69434984519188e-30 1.36967639864584 0.368 0.169 5.86600859903882e-26
TPRG1 4.02141317690699e-42 1.36917851245399 0.331 0.118 1.39225345597697e-37
SRGN 1.32528917051979e-14 -1.36756280657326 0.034 0.196 4.58828363725658e-10
TIMP1 3.96175098899453e-51 -1.36559228359191 0.146 0.596 1.3715978098998e-46
TPSB2 0.8495310639832 -1.35933984021006 0.104 0.096 1
DLC1 3.78574381437394e-40 -1.35897168687644 0.087 0.471 1.3106623659744e-35
ELOVL4 2.66947974510084e-104 1.35616381967667 0.239 0.032 9.24200582551362e-100
ITPRID2 1.71722315737293e-28 1.35340532146887 0.343 0.157 5.94519829314081e-24
IGFBP5 6.487638456289e-24 -1.35339079021354 0.121 0.4 2.24608530995181e-19
TUBA4A 2.17254245400403e-58 1.35086363862226 0.41 0.132 7.52155923000734e-54
SERPINB13 0 1.33763033219293 0.225 0.001 0
C11orf96 3.2332637696278e-11 -1.33549228056627 0.079 0.223 1.11938824968284e-06
IL36RN 0 1.32894222775208 0.228 0.001 0
CD55 1.51838597798288e-07 1.32833717548037 0.36 0.287 0.00525680409437454
VAMP8 5.25676982346625e-43 1.32245118872054 0.404 0.157 1.81994628058225e-38
PRKG1 1.35531278783631e-28 -1.32109827927811 0.07 0.367 4.6922284027681e-24
APOD 1.86374072472489e-13 -1.3165667024971 0.208 0.398 6.45245676307004e-09
RPS4Y1 3.35482279595438e-34 -1.31530770110519 0.081 0.389 1.16147320018736e-29
TMSB10 3.17429610079322e-66 -1.31052202477676 0.528 0.909 1.09897305305562e-61
HAL 0 1.30853946535421 0.219 0.002 0
HSPD1 1.0126238200568e-29 -1.30592988617745 0.166 0.491 3.50580492741863e-25
NDFIP2 1.82086421306575e-49 1.30363793219218 0.362 0.118 6.30401399205495e-45
CDA 6.27699059654756e-203 1.30208969930636 0.194 0.01 2.17315691443073e-198
ALOX12B 0 1.30097501253918 0.25 0.002 0
C19orf33 1.14449484173223e-86 1.29990004252221 0.413 0.097 3.96235559156115e-82
DENND2C 4.87538095906916e-50 1.29622483060652 0.292 0.08 1.68790564183933e-45
MCTP1 2.95276288574615e-12 -1.29462520603315 0.031 0.172 1.02227603867417e-07
A2M 1.29155749928011e-12 -1.28861021060931 0.112 0.278 4.47150121825765e-08
DSC1 1.56521861497275e-182 1.28745712741449 0.27 0.023 5.41894336689715e-178
BNIPL 7.57915994535297e-294 1.28529733827629 0.267 0.013 2.62398096468065e-289
SPTSSB 8.30290340702104e-171 1.28433147460103 0.236 0.019 2.87454818854476e-166
LGALS7B 6.37309509851102e-117 1.28322739646606 0.713 0.189 2.2064292540555e-112
CXCL12 1.63009678562207e-18 -1.27643807434492 0.121 0.349 5.64355808150218e-14
EBF1 1.7274195318657e-33 -1.27085226917173 0.101 0.445 5.98049916127225e-29
KRT78 0 1.26727316935408 0.222 0.002 0
HSPA1B 3.80583183565719e-15 -1.26540209704013 0.441 0.604 1.31761703982288e-10
HSBP1L1 6.19905779561681e-39 1.25790819890448 0.315 0.112 2.14617579942049e-34
ZEB2 1.52483579505344e-37 -1.25189682401147 0.104 0.479 5.27913400605451e-33
KRT5 1.48681603019627e-43 1.24939396241935 0.452 0.176 5.14750577814251e-39
HSPE1 3.05012943671691e-31 -1.24227880533954 0.278 0.607 1.05598531228576e-26
CD24 2.8831023414527e-129 1.24163231597046 0.267 0.031 9.9815886163434e-125
RNF227 5.49830660707819e-180 1.24137709899772 0.233 0.017 1.90356873043654e-175
TMEM40 0 1.24024641142739 0.281 0.012 0
SLC2A3 2.90347268707323e-30 -1.23699348931022 0.079 0.396 1.00521127899162e-25
LAD1 0 1.23163185782621 0.301 0.015 0
GABARAPL2 9.88134040438738e-07 1.23082077338642 0.438 0.427 0.0342101886140296
C1R 1.33677773508367e-23 -1.22651828378615 0.146 0.415 4.62805819663319e-19
DBI 6.18087283608472e-19 1.22643822821997 0.612 0.573 2.13987998458089e-14
CALML3 1.28113720672283e-178 1.22259902430022 0.278 0.024 4.43542512339511e-174
IL32 2.56766195026968e-16 -1.21956405577874 0.051 0.239 8.88950243802865e-12
AC073210.3 0 1.21891603795854 0.233 0.007 0
COL6A1 4.45733684296005e-24 -1.21603254580084 0.253 0.529 1.5431745884012e-19
MAP1LC3B 5.80277083391938e-08 1.21387341662482 0.421 0.394 0.00200897729041123
LUM 2.77346200632989e-18 -1.20984470533225 0.076 0.288 9.60200281211472e-14
CFH 8.78274839902153e-24 -1.20918198665272 0.152 0.428 3.04067532322524e-19
ZBTB20 5.81643798454412e-49 -1.20672087222861 0.233 0.686 2.01370899462902e-44
PDZK1IP1 3.10135304874587e-232 1.20519963433815 0.236 0.013 1.07371943900631e-227
YBX3 3.06182965721489e-24 1.20134824491985 0.626 0.557 1.06003604562437e-19
PPIF 5.83928963171581e-62 1.20029978735034 0.27 0.061 2.02162046339633e-57
CSNK2B 1.30320331364712e-11 1.19900362179643 0.388 0.29 4.51182019217768e-07
IGFBP4 1.20115341360567e-34 -1.19686781467361 0.115 0.469 4.15851323324419e-30
LY6D 6.69593853657925e-63 1.19398917349684 0.452 0.136 2.3182008807491e-58
PHLDA2 3.12770935213406e-23 1.18214424400228 0.292 0.129 1.08284425480233e-18
RGS16 5.5185515414881e-15 -1.18182958953916 0.039 0.211 1.9105777291786e-10
REV3L 1.14011155309863e-32 -1.17969272027415 0.166 0.494 3.94718020798276e-28
FN1 7.52223432754162e-26 -1.17574852755381 0.107 0.393 2.60427274653818e-21
LGALS7 4.36529624714675e-85 1.17420267860597 0.104 0.007 1.51130921372468e-80
ATP6V1C2 0 1.16881874971133 0.242 0.008 0
HLA-DRA 0.0191541622623845 -1.16579157041791 0.247 0.289 1
FGF22 0 1.16407489283029 0.216 0.001 0
LDB2 1.98473882230137e-26 -1.15874328104053 0.056 0.336 6.87136427668957e-22
IFITM2 2.12322974256931e-48 -1.15788097316079 0.104 0.539 7.35083369174921e-44
SERPINB5 1.42571808027945e-72 1.15401656246093 0.216 0.035 4.93597856573549e-68
FAM89A 3.54426237698803e-48 1.15332457810062 0.264 0.07 1.22705907753703e-43
RNF39 0 1.15060022051436 0.256 0.003 0
CD99 6.48820828735864e-52 -1.144259913252 0.275 0.713 2.24628259116644e-47
MMP2 1.06291078441705e-16 -1.14423411423527 0.138 0.347 3.67990342673028e-12
SERPING1 2.33034265410884e-36 -1.13950633158885 0.129 0.498 8.0678793027902e-32
PARD3 1.68468329784438e-09 1.13805046062369 0.41 0.311 5.83254204546704e-05
AC044810.2 0 1.13771031945516 0.205 0.003 0
DEGS2 2.34214431732853e-277 1.1366685705098 0.23 0.01 8.1087378410231e-273
MSMO1 3.59602097457737e-37 1.13526191222919 0.267 0.084 1.24497842160843e-32
HES5 1.01658909054709e-207 1.13487446889597 0.16 0.006 3.51953309038308e-203
GTF2F2 5.77114058614634e-22 1.13112557873532 0.315 0.153 1.99802658232972e-17
C1S 1.45817241219089e-20 -1.12943608242911 0.166 0.405 5.04833870824607e-16
TEX264 8.46300357964309e-09 1.12890153933114 0.298 0.206 0.000292997646930824
AVPI1 3.63369628744217e-37 1.12790599485343 0.275 0.089 1.25802199167535e-32
IFFO2 4.34377419570781e-35 1.1264242287061 0.284 0.098 1.503858064296e-30
DNAJB1 8.54755102677226e-09 -1.12602633896216 0.43 0.548 0.000295924764097882
RGCC 1.81523654110614e-14 -1.12333623752305 0.132 0.312 6.28453042896355e-10
HIST1H2AC 5.57084100355037e-18 1.11823063804532 0.287 0.14 1.92868086383917e-13
SRPK1 4.51655008894946e-28 1.11378825246943 0.284 0.11 1.56367480629519e-23
CFD 0.00135405292168873 -1.11375735697613 0.576 0.565 1
CREG1 2.99709535874362e-15 1.11255107178125 0.329 0.202 1.03762438415063e-10
PLAC9 2.79521903185496e-27 -1.11134579058732 0.23 0.531 9.67732781018507e-23
PRRX1 3.04815541537245e-29 -1.11095458242696 0.07 0.377 1.0553018863561e-24
CAT 4.15290646037435e-09 1.1080520390805 0.337 0.247 0.00014377777456462
CST3 3.26422718200492e-26 -1.10688896959928 0.539 0.736 1.13010809268192e-21
PDZD2 1.01824201419683e-33 1.10627898490175 0.301 0.107 3.52525567735084e-29
