p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT1 0 3.40078707459414 0.818 0.204 0
KRT10 0 3.28178732184428 0.951 0.597 0
DMKN 0 3.22597197935032 0.934 0.217 0
SFN 0 3.07328495516248 0.867 0.178 0
KRTDAP 0 3.06682127320032 0.792 0.16 0
FLG 1.28260899480719e-259 2.96082270092528 0.125 0.035 4.44052060092196e-255
PERP 0 2.93344951804508 0.902 0.373 0
KRT2 0 2.91034524814116 0.402 0.065 0
DSP 0 2.80865035778842 0.826 0.191 0
LY6D 0 2.77343265557019 0.83 0.136 0
LOR 1.13263313234464e-146 2.72549684583412 0.112 0.045 3.92128916749037e-142
KRT14 0 2.71913242395172 0.671 0.249 0
SBSN 0 2.70568671268923 0.545 0.069 0
KRT5 0 2.63273102420048 0.621 0.176 0
NRARP 0 2.58448653093695 0.712 0.167 0
DSG1 0 2.55214902246804 0.74 0.096 0
CALML5 0 2.52108206831061 0.479 0.092 0
COL1A1 0 -2.49993063841168 0.171 0.493 0
HOPX 0 2.49597048429773 0.79 0.2 0
COL3A1 0 -2.42026540419026 0.155 0.499 0
COL1A2 0 -2.40664053257 0.213 0.546 0
LGALS7 0 2.40001867972194 0.328 0.007 0
VIM 0 -2.37345360234055 0.374 0.946 0
LGALS7B 0 2.32060249969263 0.944 0.189 0
S100A14 0 2.27477287380458 0.742 0.113 0
IGFBP7 0 -2.15395212188376 0.237 0.678 0
CCL27 0 2.09496838165793 0.761 0.114 0
LYPD3 0 2.08643017913042 0.55 0.078 0
HES1 0 2.08168557375866 0.849 0.454 0
HSPA1A 0 -2.07419627947657 0.76 0.789 0
SPARCL1 0 -2.07211796227213 0.084 0.386 0
DSC3 0 2.02370799108124 0.673 0.073 0
MT1X 0 2.01922106237532 0.797 0.412 0
COL6A2 0 -2.01740172485546 0.221 0.561 0
AQP3 0 1.98015215028875 0.664 0.105 0
CCDC80 0 -1.95852693247573 0.095 0.452 0
PKP1 0 1.94965575388263 0.612 0.058 0
COL6A1 0 -1.93327583298161 0.192 0.529 0
FXYD3 0 1.90767757370398 0.702 0.1 0
SFRP2 0 -1.88445559623295 0.1 0.336 0
TACSTD2 0 1.88270815623641 0.602 0.068 0
SLURP1 0 1.82634217572293 0.159 0.02 0
TIMP3 0 -1.8080960717861 0.155 0.556 0
KRT15 0 1.80223600161554 0.288 0.085 0
PLPP3 0 -1.7969252036241 0.145 0.489 0
RHOV 0 1.77441702431797 0.518 0.042 0
ACTA2 2.52982140330123e-258 -1.77243730559278 0.079 0.198 8.75849468036918e-254
S100A2 0 1.76253327700626 0.446 0.119 0
TAGLN 9.13528785072289e-95 -1.74317110529182 0.167 0.242 3.16272800679877e-90
HSPH1 0 -1.73539827407398 0.249 0.424 0
