p_val avg_log2FC pct.1 pct.2 p_val_adj
VIM 0 -5.67273340293517 0.041 0.85 0
KRT14 0 4.86863156831578 0.999 0.127 0
CFD 2.5882104095971e-48 -4.50315871611448 0.18 0.357 8.96064325906612e-44
KRT15 0 4.37038630462847 0.988 0.034 0
IGFBP7 5.74357626333245e-236 -4.19455751141915 0.017 0.583 1.98848353812833e-231
PTGDS 4.97638485282263e-77 -4.18045600524285 0.005 0.262 1.72287419989572e-72
COL1A2 1.9195413852488e-140 -4.06183976683115 0.007 0.411 6.64564422986987e-136
KRT5 0 3.82068821712171 0.999 0.132 0
COL1A1 2.26724815213817e-115 -3.81737521832647 0.027 0.376 7.84943982751755e-111
COL17A1 0 3.71769935418827 0.992 0.031 0
MGP 4.00267132569015e-149 -3.69861085516695 0.006 0.428 1.38576483966719e-144
DCN 6.02334701570831e-08 -3.67701956678935 0.387 0.352 0.00208534297030837
LGALS1 0 -3.51396046302973 0.026 0.698 0
APOD 6.72811811049098e-89 -3.49945748499916 0.011 0.3 2.32934177103308e-84
COL6A2 7.29169421471487e-138 -3.39342552319141 0.062 0.451 2.52445745407643e-133
COL3A1 2.32502847830909e-133 -3.32252813441267 0 0.39 8.04948109475392e-129
TAGLN 1.60576963884233e-27 -3.30479409666136 0.072 0.199 5.55933506663604e-23
S100A4 9.43225328795078e-203 -3.15106520040149 0.37 0.697 3.26554041082144e-198
APOE 1.96156604361425e-20 -3.04520577812823 0.361 0.402 6.79113779959689e-16
MIR205HG 0 3.02192178636079 0.997 0.118 0
GSN 6.59810535984419e-170 -2.97351120347132 0.366 0.661 2.28433005663166e-165
S100A2 0 2.90915679611419 0.989 0.128 0
CD74 3.19129622105495e-85 -2.90853697421993 0.025 0.307 1.10485866469143e-80
SFN 0 2.89985188525586 0.989 0.136 0
SPARCL1 1.1175344248554e-123 -2.85005544719365 0.009 0.378 3.86901593229187e-119
LY6D 0 2.77297878516919 0.956 0.074 0
HLA-DRA 7.47650461090233e-48 -2.76785438709438 0.01 0.186 2.5884406613405e-43
CFH 2.83362772125422e-119 -2.74815350089831 0.002 0.362 9.81030253375423e-115
CST3 4.38730969571991e-113 -2.71226328135916 0.57 0.668 1.51893048975519e-108
CCL19 1.22456436327801e-29 -2.70614160954495 0.008 0.122 4.23956428210479e-25
CLU 1.29715473927045e-121 -2.68243031876644 0.061 0.422 4.49087942282821e-117
COL6A1 5.0640074362136e-112 -2.65116407245441 0.099 0.43 1.75321001449151e-107
CXCL12 5.56725697791025e-116 -2.59364740694946 0.006 0.359 1.92744003832231e-111
HOPX 0 2.57447059319685 0.958 0.174 0
CCDC80 1.48777367362061e-110 -2.57251549970926 0.024 0.364 5.15082123544192e-106
PERP 0 2.51133498513274 0.995 0.267 0
SFRP2 5.88977259948295e-52 -2.49667988429266 0 0.183 2.03909817166699e-47
AQP3 0 2.49517926974519 0.978 0.161 0
ACTA2 7.2879496966469e-41 -2.39924655326419 0.022 0.18 2.52316106447612e-36
SLC2A3 2.80691210647263e-172 -2.39428809642935 0.003 0.469 9.71781040381891e-168
LGALS7B 0 2.39149770040843 0.96 0.121 0
ATF3 0 2.36395459976404 0.888 0.346 0
IL18 0 2.34030910756836 0.944 0.07 0
SRGN 2.10337731700129e-79 -2.31006200375667 0.002 0.265 7.28210260919016e-75
ADIRF 3.06401756216716e-55 -2.29476139988877 0.465 0.548 1.06079352019789e-50
PLPP3 1.1333038129438e-131 -2.28447833221576 0.029 0.414 3.92361113079272e-127
SOD3 2.63670539762299e-115 -2.26959878585337 0.033 0.383 9.12853775711054e-111
HLA-DRB1 3.60632001894315e-46 -2.26868456931663 0.041 0.22 1.24854405375831e-41
C11orf96 3.47179716132152e-81 -2.25418538608968 0.006 0.274 1.20197089522112e-76
PRKG1 2.46420735548529e-125 -2.2388356010842 0.008 0.381 8.53133228542563e-121
SLIT3 1.7496712506625e-124 -2.21253752087789 0.003 0.374 6.05753683691863e-120
EBF1 3.69436453877398e-152 -2.20454067314422 0.001 0.43 1.27902594696894e-147
FBLN1 5.22125050612341e-25 -2.20389045798479 0.194 0.297 1.80764913772498e-20
WNT4 0 2.1997376244066 0.883 0.043 0
TPM2 4.73713726302815e-64 -2.19860996343694 0.081 0.315 1.64004429183297e-59
IGFBP4 1.94072026891843e-159 -2.19231506211773 0.015 0.456 6.71896764302251e-155
TIMP3 1.1293740094532e-102 -2.17964300350785 0.251 0.523 3.91000575812794e-98
CCL27 0 2.15461715966583 0.664 0.025 0
PLAC9 8.58451671123954e-142 -2.13883271146564 0.018 0.424 2.97204553059824e-137
LAMA2 1.31819967563886e-89 -2.12973398467905 0.006 0.296 4.5637390970293e-85
SELENOM 5.08444157883532e-183 -2.10591080776889 0.074 0.54 1.76028451900858e-178
MYL9 5.06926617507692e-85 -2.10457377595406 0.046 0.33 1.75503064247338e-80
CALD1 6.59299139310266e-105 -2.10267353649333 0.318 0.559 2.28255955020607e-100
NEGR1 6.11940481091321e-102 -2.10174688983221 0.01 0.331 2.11859913958626e-97
IGFBP3 0 2.09928849613669 0.699 0.1 0
FXYD3 0 2.09214782508763 0.967 0.122 0
ZEB2 3.33680969945295e-178 -2.09194994358882 0.005 0.482 1.1552368860476e-173
RBMS3 2.61922383314574e-167 -2.07967151871519 0.02 0.477 9.06801483273387e-163
C1R 8.20514128670068e-53 -2.06122747673718 0.176 0.361 2.84070196486864e-48
TMSB10 0 -2.04614311982523 0.929 0.934 0
PRRX1 2.78238567830529e-132 -2.04163610710535 0.002 0.39 9.63289745686075e-128
FABP5 5.83514014763917e-34 -2.03315394101084 0.132 0.283 2.02018387051416e-29
A2M 3.96290306726612e-82 -2.03264203667643 0 0.269 1.3719966709182e-77
PRXL2A 0 2.00993894717817 0.924 0.225 0
CD63 3.96134932509158e-149 -2.00305607523516 0.78 0.788 1.37145874983996e-144
PMP22 1.16870659744955e-159 -1.99287745714027 0.008 0.45 4.04617911103008e-155
DLC1 1.07598198439089e-137 -1.98324715944667 0.065 0.457 3.72515722815972e-133
LUM 2.4160965304482e-83 -1.97766705932113 0 0.273 8.36476779806471e-79
C1S 2.62236087423909e-72 -1.97483072377654 0.097 0.344 9.07887558270317e-68
COL6A3 2.84443237481358e-102 -1.9559701974519 0.002 0.322 9.8477093248421e-98
HES1 5.74316212997444e-290 1.9408227468731 0.86 0.421 1.98834016101845e-285
IMPA2 0 1.93977800749212 0.929 0.133 0
SERPING1 1.86804502137034e-138 -1.93521165250519 0.034 0.431 6.46735866848627e-134
LDB2 2.61000394765901e-110 -1.9341255473811 0.002 0.341 9.03609466719026e-106
HPGD 1.60808902605833e-13 -1.91937738079162 0.052 0.125 5.56736501711655e-09
IFITM3 1.61310563848592e-69 -1.91933662613925 0.56 0.603 5.58473303100211e-65
MCTP1 4.1989711731015e-40 -1.90617714082241 0 0.145 1.45372580983947e-35
HLA-DPB1 5.14515585758557e-64 -1.90411807419106 0.009 0.233 1.7813044094547e-59
RARRES2 1.47244014973501e-97 -1.89584939046265 0.027 0.339 5.09773504239759e-93
PMAIP1 0 1.88769119583972 0.761 0.127 0
DSC3 0 1.88370585594585 0.951 0.112 0
PTPRC 9.91215238072435e-58 -1.8657111211834 0.001 0.202 3.43168627573058e-53
DSG3 0 1.85969109412061 0.824 0.09 0
MFAP4 3.64128482057181e-91 -1.85389627890415 0.001 0.294 1.26064921773016e-86
HLA-DPA1 8.70294172811145e-53 -1.85225035270579 0.003 0.19 3.01304545568946e-48
GNG11 6.84627895498803e-128 -1.84905477623656 0.014 0.393 2.37025023700641e-123
