p_val avg_log2FC pct.1 pct.2 p_val_adj
CFD 1.12650018015823e-10 -4.49709946553137 0.232 0.357 3.90005627372582e-06
DCN 9.99303310168416e-16 -4.20608972157731 0.165 0.352 3.45968799013407e-11
PTGDS 4.60260579111875e-21 -4.14709107613706 0.007 0.262 1.59346815094322e-16
VIM 3.02132149620169e-115 -4.12435605819651 0.092 0.85 1.04601171519999e-110
COL1A2 5.47071226693319e-38 -4.05021858887971 0.011 0.411 1.89401529393494e-33
COL1A1 1.37472016307822e-30 -3.78324103465187 0.037 0.376 4.75941867659311e-26
IGFBP7 5.35212977580885e-59 -3.5414759675285 0.044 0.583 1.85296084968278e-54
APOD 1.01170930383791e-24 -3.50839953200554 0.011 0.3 3.50263878081723e-20
KRT14 2.70361235337851e-304 3.46523315579261 0.882 0.127 9.36017632863173e-300
TAGLN 7.67258032953624e-12 -3.38319075568898 0.037 0.199 2.65632403588874e-07
COL6A2 2.03940968391263e-37 -3.34234293447686 0.066 0.451 7.06064026667391e-33
MGP 1.44789632619262e-36 -3.26385622445552 0.033 0.428 5.01276187091145e-32
COL3A1 6.90181812141193e-36 -3.25704741126981 0.004 0.39 2.38947845181403e-31
LY6D 0 3.17816077890838 0.717 0.074 0
KRT5 0 3.04118608859505 0.919 0.132 0
KRT1 0 2.99482234404593 0.629 0.055 0
GSN 1.39950491712513e-39 -2.91953486139914 0.5 0.661 4.84522597357891e-35
SPARCL1 1.27749284551506e-33 -2.83253514334066 0.011 0.378 4.42280798045767e-29
CLU 1.60386978031472e-38 -2.76836958589413 0.018 0.422 5.55275756642758e-34
CFH 5.67788367932793e-33 -2.74946321328795 0 0.362 1.96574010862012e-28
SFN 0 2.70167986328451 0.93 0.136 0
COL6A1 1.05201260616112e-35 -2.66058522293111 0.051 0.43 3.64217284379041e-31
CCL19 8.07771896676146e-05 -2.65154896277697 0.048 0.122 1
CXCL12 6.54700838649132e-31 -2.60766661906595 0.015 0.359 2.26663977348716e-26
DMKN 1.77589425171385e-217 2.56911199903199 0.779 0.128 6.14832348885853e-213
KRT10 2.57755344014615e-77 2.56767827293454 0.868 0.495 8.92374776512997e-73
CCDC80 2.28177059281386e-29 -2.52694288501687 0.033 0.364 7.89971796938085e-25
ADIRF 3.32530839041246e-26 -2.51143668414844 0.338 0.548 1.1512550178447e-21
SFRP2 2.79290538966026e-14 -2.48469724840925 0.004 0.183 9.66931774954278e-10
HIST1H4C 7.16434428850352e-50 2.48009474931818 0.824 0.528 2.4803676361228e-45
CST3 1.57801801203211e-32 -2.46580617713042 0.559 0.668 5.46325615945637e-28
IFITM3 1.33209398242786e-35 -2.44614580116309 0.375 0.603 4.61184257656348e-31
HMGB2 2.30162837568641e-174 2.43349711213906 0.945 0.33 7.96846759946391e-170
PTTG1 0 2.43168368563702 0.831 0.107 0
LGALS7B 1.00367735280214e-292 2.36107191198242 0.875 0.121 3.47483136313629e-288
SLC2A3 3.73141496850641e-45 -2.33023144215322 0.015 0.469 1.2918531762466e-40
SPARC 2.06274470232231e-37 -2.31204564374196 0.11 0.486 7.14142843391006e-33
ACTA2 1.5422070520414e-12 -2.31179309914309 0.015 0.18 5.33927503487254e-08
SOD3 9.35969937820649e-33 -2.30569360098522 0.026 0.383 3.24042152172887e-28
CCL2 3.70492542943178e-12 -2.29920185679819 0.048 0.217 1.28268223292358e-07
S100A4 3.03456381830878e-53 -2.29126732318604 0.342 0.697 1.05059633953668e-48
S100A6 3.25820423660261e-65 -2.28801104569346 0.801 0.889 1.12802288875419e-60
TIMP3 3.79267044294125e-37 -2.26757597481586 0.158 0.523 1.31306043405069e-32
HLA-DRA 1.99254786844741e-08 -2.25797434506894 0.059 0.186 0.000689839997535177
IGFBP5 2.97492777200593e-19 -2.2387477477391 0.059 0.3 1.02994974394617e-14
PLPP3 5.74619556908785e-33 -2.23346357891605 0.059 0.414 1.9893903679739e-28
PRKG1 2.42216830256382e-34 -2.22600006080854 0.007 0.381 8.38578888030621e-30
C11orf96 3.28946483683785e-22 -2.21882838259232 0.007 0.274 1.13884562116163e-17
S100A9 1.6012157711427e-163 2.21433419134587 0.489 0.062 5.54356912127314e-159
DSP 9.43740520939255e-217 2.21225765360059 0.886 0.165 3.26732405754379e-212
S100A2 7.60808014217874e-285 2.20147909353626 0.875 0.128 2.6339934260237e-280
CD63 5.9695646882728e-52 -2.19430304361659 0.695 0.788 2.06672299072693e-47
SLIT3 9.0167724595341e-33 -2.19309386646696 0.015 0.374 3.1216967932153e-28
EBF1 9.87930165864075e-41 -2.18189960990355 0.007 0.43 3.42031302723801e-36
TOP2A 0 2.17780572897009 0.728 0.007 0
C1R 1.73124006905678e-19 -2.17511422573913 0.129 0.361 5.99372624308147e-15
TIMP1 4.05919227130874e-47 -2.17442230618916 0.132 0.566 1.4053329562498e-42
SELENOM 1.28856877233884e-50 -2.17313629330181 0.081 0.54 4.46115394671429e-46
STMN1 2.08416714881101e-176 2.16783480744617 0.89 0.246 7.21559508589861e-172
S100A14 2.27672096840474e-299 2.15215711655647 0.923 0.127 7.88223566471403e-295
FTH1 5.75485491409812e-56 -2.14398114978753 0.904 0.929 1.99238831980991e-51
FABP5 2.57065620526329e-105 2.14382052758193 0.827 0.283 8.89986884824205e-101
LAMA2 4.48565962028045e-25 -2.13948723236465 0.004 0.296 1.55298021713729e-20
ZBTB20 5.97933736962192e-56 -2.13198870833017 0.312 0.692 2.07010639073681e-51
TUBA1B 1.97211920246085e-117 2.12840874032121 0.971 0.689 6.82767389083972e-113
CD74 2.51104321596125e-20 -2.11835282402838 0.048 0.307 8.69348271797943e-16
H2AFZ 3.56277145128955e-129 2.11007509399977 0.949 0.578 1.23346710415095e-124
NEGR1 4.15656369124854e-28 -2.10937105128202 0.011 0.331 1.43904391554716e-23
CENPF 0 2.10892968652715 0.658 0.017 0
DSC3 3.19197533842109e-297 2.0804043553829 0.86 0.112 1.10509378191476e-292
TK1 0 2.07014259523443 0.732 0.013 0
MYL9 1.13253507089134e-23 -2.06463855739073 0.044 0.33 3.92094966893289e-19
SRGN 5.17105200800528e-20 -2.0579007963986 0.015 0.265 1.79026991569151e-15
MIR205HG 2.65177640435631e-290 2.05564477797534 0.879 0.118 9.18071508952197e-286
PERP 4.99107867126872e-152 2.05081808716596 0.908 0.267 1.72796134677994e-147
ZEB2 3.56838562859762e-47 -2.048733985539 0.015 0.482 1.23541078847678e-42
PRRX1 4.59872006153514e-36 -2.03839383401525 0.004 0.39 1.59212287250408e-31
PLAC9 3.86182606415662e-30 -2.03567508434899 0.103 0.424 1.33700280167166e-25
SERPINF1 5.62353979942189e-30 -2.03495186900697 0.048 0.382 1.94692571395785e-25
C1S 5.95780661294635e-18 -2.02588116995399 0.129 0.344 2.06265222746815e-13
RBMS3 1.33151102461113e-40 -2.0253679672414 0.07 0.477 4.6098243183062e-36
DLC1 1.05474845135025e-40 -2.0078431375113 0.04 0.457 3.6516446134197e-36
SERPING1 1.04739473628625e-40 -1.98193209275669 0.011 0.431 3.62618531649661e-36
LUM 1.09860332729493e-22 -1.97455960404948 0.004 0.273 3.80347457942779e-18
A2M 2.7789179900776e-21 -1.96952191626117 0.011 0.269 9.62089197344765e-17
HIST1H1B 0 1.96570904186342 0.46 0.015 0
TCF4 8.10473866648967e-29 -1.95434563401648 0.287 0.543 2.80594157372539e-24
LDB2 3.73329246463947e-30 -1.93219839734034 0.004 0.341 1.29250318418283e-25
MT1X 3.10521175931664e-97 1.92470066036961 0.886 0.407 1.07505536319302e-92
