p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT1 0 5.49546006482899 0.875 0.055 0
VIM 0 -4.8658652168343 0.033 0.85 0
KRT10 0 4.67725313119875 0.958 0.495 0
DMKN 0 4.17804037138697 0.919 0.128 0
LY6D 0 4.03010590189302 0.883 0.074 0
CFD 5.96207515111624e-60 -4.02087347057947 0.32 0.357 2.06413003806795e-55
KRTDAP 0 3.98142039774557 0.833 0.069 0
COL1A2 0 -3.95632485993011 0.006 0.411 0
IGFBP7 0 -3.9448087974128 0.016 0.583 0
SFN 0 3.92586662220442 0.975 0.136 0
DCN 9.16793980535485e-228 -3.91756103010529 0.157 0.352 3.1740324400119e-223
COL1A1 0 -3.75668429848673 0.02 0.376 0
LGALS7B 0 3.72773854977667 0.951 0.121 0
PTGDS 0 -3.6898361318219 0.009 0.262 0
COL6A2 0 -3.34587173230464 0.022 0.451 0
MGP 0 -3.33696494451938 0.01 0.428 0
TAGLN 4.58411488220335e-222 -3.27506410282151 0.016 0.199 1.58706641336762e-217
COL3A1 0 -3.24479552013934 0.002 0.39 0
APOD 0 -3.23744771797432 0.006 0.3 0
PERP 0 3.17350916661527 0.978 0.267 0
DSG1 0 3.13664450630389 0.919 0.099 0
S100A4 0 -3.07632279858559 0.299 0.697 0
S100A6 0 -3.05839516926022 0.518 0.889 0
NRARP 0 3.04304150171896 0.895 0.183 0
LGALS1 0 -2.93467702426278 0.052 0.698 0
S100A7 0 2.9126204694804 0.555 0.05 0
DSP 0 2.87980617771767 0.968 0.165 0
SPARCL1 0 -2.80295896781466 0.007 0.378 0
CD74 0 -2.79953165708432 0.027 0.307 0
SBSN 0 2.76218129768212 0.791 0.069 0
COL6A1 0 -2.7374445953181 0.03 0.43 0
S100A8 0 2.7061573582162 0.653 0.058 0
ADIRF 0 -2.70580338038923 0.291 0.548 0
HLA-DRA 3.20307022122596e-203 -2.69134046953052 0.016 0.186 1.10893494129064e-198
CFH 0 -2.68103957716438 0.002 0.362 0
CLU 0 -2.67085726230889 0.026 0.422 0
LYPD3 0 2.65673420576436 0.854 0.127 0
S100A14 0 2.65538146756987 0.962 0.127 0
LGALS7 0 2.62583213960836 0.872 0.089 0
KRT2 0 2.59333616309685 0.212 0.003 0
CCL19 1.48023151139037e-117 -2.59007935751903 0.014 0.122 5.1247095155846e-113
CXCL12 0 -2.58124587469069 0.003 0.359 0
TIMP3 0 -2.57193702591514 0.087 0.523 0
FTH1 0 -2.54175510101807 0.798 0.929 0
IFITM3 0 -2.53276620954374 0.205 0.603 0
AQP3 0 2.52187492950492 0.907 0.161 0
CCL27 0 2.51329844703909 0.789 0.025 0
CCDC80 0 -2.48421318498042 0.014 0.364 0
MALAT1 0 -2.48074201600457 0.92 0.958 0
S100A9 0 2.46197725924829 0.641 0.062 0
DSC3 0 2.44832972047091 0.948 0.112 0
GSN 0 -2.42945854539442 0.613 0.661 0
FBLN1 4.82349134689146e-292 -2.41978297038356 0.059 0.297 1.66994093920729e-287
SFRP2 3.81184656702952e-236 -2.3970084995767 0.001 0.183 1.31969939997129e-231
ACTA2 2.93706587449114e-211 -2.38734120520847 0.009 0.18 1.01684157640758e-206
SLC2A3 0 -2.36328372016553 0.004 0.469 0
RHOV 0 2.34893575505413 0.866 0.093 0
CST3 2.49412722010744e-265 -2.31061260153049 0.72 0.668 8.63491784873398e-261
CD63 0 -2.31031997686786 0.689 0.788 0
SPARC 0 -2.30958638215797 0.047 0.486 0
SRGN 0 -2.29705476901076 0.002 0.265 0
TIMP1 0 -2.28521156558482 0.065 0.566 0
IGFBP5 0 -2.27123274832638 0.024 0.3 0
PKP1 0 2.2684265551906 0.887 0.099 0
C1R 0 -2.24959345465416 0.061 0.361 0
PRKG1 0 -2.24213022579906 0.006 0.381 0
HLA-DRB1 4.52356166481232e-185 -2.23776989607855 0.049 0.22 1.56610228397467e-180
SOD3 0 -2.2322759854444 0.015 0.383 0
PLPP3 0 -2.22129795424062 0.06 0.414 0
ZBTB20 0 -2.21165595899187 0.276 0.692 0
TPM2 0 -2.20526533923192 0.038 0.315 0
EBF1 0 -2.18944437338934 0.002 0.43 0
SLIT3 0 -2.16560500567842 0.005 0.374 0
TCF4 0 -2.13703857092096 0.231 0.543 0
FABP5 0 2.12881059360277 0.785 0.283 0
LAMA2 0 -2.11978065285252 0.007 0.296 0
ZEB2 0 -2.07716371548443 0.002 0.482 0
DLC1 0 -2.07191197787277 0.017 0.457 0
NEGR1 0 -2.07069760074697 0.01 0.331 0
MYL9 0 -2.04952491617963 0.023 0.33 0
SELENOM 0 -2.03449619720293 0.09 0.54 0
C1S 0 -2.0334626371466 0.052 0.344 0
RBMS3 0 -2.02873878009726 0.033 0.477 0
IGFBP4 0 -2.02274204749374 0.06 0.456 0
C11orf96 3.24181314592537e-261 -2.02140556619969 0.049 0.274 1.12234812925082e-256
A2M 0 -2.0204587518118 0.002 0.269 0
CCL2 1.98465760735332e-188 -2.01898276644451 0.041 0.217 6.87108310241791e-184
PRRX1 0 -2.0066804684203 0.002 0.39 0
CALML5 0 2.00473247478083 0.536 0.086 0
MIR205HG 0 1.98367794264294 0.931 0.118 0
CALD1 0 -1.97986570786592 0.407 0.559 0
SERPINF1 0 -1.97745112028648 0.039 0.382 0
PLAC9 0 -1.97654906708423 0.054 0.424 0
CSTA 0 1.96900982886004 0.782 0.095 0
PMP22 0 -1.95510275088078 0.016 0.45 0
SERPING1 0 -1.9438562159573 0.022 0.431 0
COL6A3 0 -1.93517109610957 0.002 0.322 0
LDB2 0 -1.93245319334285 0.002 0.341 0
LUM 0 -1.92583553837955 0.005 0.273 0
MCTP1 4.21420878621751e-183 -1.90149428729201 0.001 0.145 1.45900122387637e-178
JUP 0 1.88665393564826 0.907 0.185 0
IFITM2 0 -1.87124035449195 0.018 0.555 0
LHFPL6 0 -1.86900290533498 0.038 0.437 0
PTPRC 2.06214445106993e-264 -1.86465550230115 0.002 0.202 7.13935030404922e-260
HLA-DPB1 1.64364454928064e-273 -1.86281791149503 0.017 0.233 5.69046179406449e-269
GNG11 0 -1.84831463495958 0.012 0.393 0
TMSB10 0 -1.84771588319043 0.941 0.934 0
SAT1 1.36700953505246e-305 -1.84459575719091 0.303 0.544 4.73272371130513e-301
DSC1 0 1.82233724204703 0.648 0.034 0
GLTP 0 1.8196687846138 0.8 0.199 0
HLA-DPA1 3.3234283813158e-232 -1.80796537782623 0.007 0.19 1.15060413989534e-227
ITGB1 0 -1.79479505630656 0.257 0.688 0
MFAP4 0 -1.78996440641194 0.003 0.294 0
C3 2.25894949211877e-242 -1.78831120419944 0.004 0.191 7.8207090366644e-238
FXYD3 0 1.78594152725905 0.926 0.122 0
TACSTD2 0 1.78396073425917 0.872 0.129 0
HPGD 0.00033040250933112 -1.78202529748899 0.159 0.125 1
PHLDA2 0 1.77879219450947 0.728 0.204 0
HES1 0 1.77862853632588 0.867 0.421 0
RARRES2 0 -1.76852533520316 0.065 0.339 0
IL32 0 -1.75475922722477 0.01 0.279 0
