p_val avg_log2FC pct.1 pct.2 p_val_adj
FLG 0 7.20913688771608 0.521 0.005 0
LOR 0 7.20794603235846 0.562 0.007 0
FLG2 0 6.3312986053692 0.542 0.001 0
KRT31 1.29139314059956e-82 6.24625445521567 0.25 0.007 4.47093219206975e-78
SPRR2E 5.15701040382828e-278 6.15831659141172 0.521 0.008 1.78540857190939e-273
KRTAP11-1 9.91561825234296e-105 5.93914859180963 0.188 0.003 3.43288619514365e-100
KRT85 8.89227333131642e-158 5.6717169077195 0.312 0.005 3.07859395003506e-153
VIM 3.49218861978685e-24 -5.58404309450022 0.021 0.85 1.2090306220564e-19
HOPX 1.37065408790203e-45 5.43743878505036 0.854 0.174 4.74534151772561e-41
SBSN 5.73331666503572e-82 5.28514793594982 0.75 0.069 1.98493156260202e-77
CALML5 5.12126517577079e-62 5.27545085961596 0.729 0.086 1.7730332165036e-57
PRR9 4.26582796883856e-143 4.89330645406404 0.271 0.004 1.4768723010916e-138
CDSN 0 4.72981769853352 0.542 0.004 0
SPRR2G 0 4.69060332475238 0.333 0.002 0
KRT35 3.3592537425404e-98 4.66124708496798 0.208 0.004 1.16300723820491e-93
S100A3 0.00056155258306857 4.6354677145328 0.167 0.059 1
LY6G6D 3.91106603339925e-99 4.60207778373013 0.271 0.007 1.35405017142315e-94
KRT83 3.82747210436964e-113 4.49910243417552 0.146 0.001 1.32510911725381e-108
DCN 1.26093188597879e-05 -4.39977140420478 0.062 0.352 0.436547228244717
CNFN 1.24230716682979e-51 4.39589554060322 0.562 0.061 4.30099164228142e-47
KRT25 1.41394979140919e-28 4.33148045961575 0.125 0.005 4.89523557283777e-24
S100A7 5.20797943219746e-61 4.24210648819333 0.562 0.05 1.80305455922108e-56
KRTDAP 1.77610092486227e-51 4.23394516571903 0.604 0.069 6.14903901196567e-47
CFD 0.201326530752574 -4.2184091696676 0.375 0.357 1
PTGDS 0.000362046232743766 -4.13811908111038 0.042 0.262 1
DMKN 8.05935295461112e-60 4.10024394922565 0.875 0.128 2.79022858641592e-55
COL1A2 8.40998692832157e-08 -4.06341263144997 0.021 0.411 0.00291162157445421
SPRR2D 0 3.99768252158806 0.542 0.002 0
SPINK5 2.43833872117352e-81 3.97096598463625 0.688 0.057 8.44177248657484e-77
IGFBP7 1.57640875772842e-12 -3.94523264774807 0.021 0.583 5.45768476013157e-08
COL1A1 2.16768418985603e-07 -3.84931268836965 0 0.376 0.00750473943370054
SLURP1 0 3.79729367900376 0.5 0.003 0
CXCL14 0.00104856815153052 -3.77184367154382 0.146 0.336 1
DAPL1 8.11644299739036e-47 3.75097366509931 0.708 0.095 2.80999373012652e-42
MGP 1.29037762633135e-08 -3.70295021996091 0 0.428 0.000446741638012178
POF1B 7.16654300377473e-122 3.68736879925345 0.625 0.031 2.48112885333685e-117
PSORS1C2 0 3.62038536716624 0.5 0.005 0
COL6A2 3.33088508959019e-09 -3.50632261415442 0 0.451 0.000115318572686702
FTL 2.79843404188564e-21 -3.49223455244383 0.521 0.897 9.68845849641229e-17
TAGLN 0.00174187589958687 -3.46903818100339 0.021 0.199 1
ASPRV1 3.23317835277628e-272 3.4540105096978 0.5 0.008 1.11935867751468e-267
NCCRP1 0 3.43601668215785 0.583 0.009 0
TMSB10 2.5015575196486e-25 -3.41941887101389 0.292 0.934 8.66064228877541e-21
CASP14 2.96539766988694e-69 3.37571965765551 0.5 0.035 1.02665032729156e-64
C1orf68 0 3.3740130188996 0.5 0.002 0
KRT80 2.19221915659645e-80 3.3719321575872 0.604 0.045 7.58968194205256e-76
CALML3 2.22765610352676e-84 3.33176317034227 0.896 0.088 7.71236819602e-80
COL3A1 1.02408901557845e-07 -3.32252813441267 0 0.39 0.00354549858083414
PSAPL1 0 3.32079353298542 0.521 0.004 0
KLK7 3.88278789941557e-146 3.28699216587994 0.562 0.02 1.34425999865666e-141
LCE1C 2.04498439761325e-13 3.26379193932202 0.167 0.019 7.07994048297683e-09
CRIP1 1.12425271840094e-13 -3.24903561912741 0.083 0.644 3.89227533637588e-09
TMEM45A 2.87787750370938e-31 3.22178893481457 0.75 0.186 9.96349970559226e-27
LGALS1 1.15200324161504e-15 -3.2120912909212 0.083 0.698 3.98835042279541e-11
KRT23 8.24444960379155e-86 3.19439124720086 0.625 0.045 2.85431089732867e-81
MT4 1.1231556754825e-82 3.18819732186942 0.167 0.003 3.88847726408796e-78
APOD 0.00520842247987934 -3.18155584179711 0.146 0.3 1
KLK5 2.19699359402976e-170 3.17093408611009 0.5 0.014 7.60621152189042e-166
