p_val avg_log2FC pct.1 pct.2 p_val_adj
KRT1 0 5.17649579522259 0.729 0.055 0
VIM 0 -4.9301457746004 0.037 0.85 0
KRT10 0 4.3648763784196 0.925 0.495 0
CFD 3.00531132130012e-92 -4.10692901106178 0.295 0.357 1.04046883254731e-87
COL1A2 0 -3.97722456838027 0.007 0.411 0
IGFBP7 0 -3.96236540784209 0.018 0.583 0
DMKN 0 3.8946279080401 0.877 0.128 0
DCN 4.36241168404156e-215 -3.88978254055353 0.194 0.352 1.51031054913203e-210
LY6D 0 3.84871384514741 0.884 0.074 0
PTGDS 0 -3.77785068881492 0.008 0.262 0
COL1A1 0 -3.76795799293435 0.022 0.376 0
SFN 0 3.76001834267468 0.975 0.136 0
KRTDAP 0 3.67118229430851 0.686 0.069 0
LGALS7B 0 3.53308962929732 0.949 0.121 0
MGP 0 -3.38821639437656 0.01 0.428 0
COL6A2 0 -3.35432689744579 0.03 0.451 0
APOD 0 -3.28630162652729 0.008 0.3 0
TAGLN 1.92870515239757e-246 -3.28541514453266 0.026 0.199 6.67737010811562e-242
COL3A1 0 -3.25799603976966 0.002 0.39 0
PERP 0 3.04703913518791 0.977 0.267 0
S100A4 0 -3.03484838565209 0.312 0.697 0
KRT14 0 2.93928608453432 0.553 0.127 0
DSG1 0 2.92965931996296 0.907 0.099 0
LGALS1 0 -2.84188035711682 0.057 0.698 0
NRARP 0 2.83175581949993 0.851 0.183 0
SPARCL1 0 -2.8119722333172 0.007 0.378 0
CD74 0 -2.77974574339612 0.028 0.307 0
COL6A1 0 -2.72044585989249 0.042 0.43 0
DSP 0 2.71316277271315 0.965 0.165 0
S100A6 0 -2.70714967788048 0.596 0.889 0
CFH 0 -2.69481974010898 0.002 0.362 0
HLA-DRA 1.05897429909055e-248 -2.68292316874616 0.017 0.186 3.6662749208814e-244
CLU 0 -2.67190299930164 0.033 0.422 0
S100A7 0 2.64837062492464 0.466 0.05 0
CCL19 3.59309849559728e-145 -2.61145876973724 0.015 0.122 1.24396663016074e-140
ADIRF 0 -2.60318156343477 0.321 0.548 0
CXCL12 0 -2.58272448385557 0.004 0.359 0
SBSN 0 2.53441933634118 0.653 0.069 0
GSN 0 -2.50794453028162 0.568 0.661 0
CCDC80 0 -2.49911268913311 0.017 0.364 0
S100A14 0 2.48628177837795 0.946 0.127 0
TIMP3 0 -2.4850669040131 0.116 0.523 0
AQP3 0 2.48014453430315 0.907 0.161 0
LGALS7 0 2.45206000898039 0.846 0.089 0
S100A8 0 2.43120239456627 0.572 0.058 0
CCL27 0 2.41972586693124 0.756 0.025 0
SFRP2 2.32261417921155e-295 -2.41673212243997 0.001 0.183 8.04112254984832e-291
IFITM3 0 -2.41515289908791 0.267 0.603 0
LYPD3 0 2.39439718431292 0.78 0.127 0
ACTA2 2.50284661480581e-255 -2.38626324164057 0.012 0.18 8.66510526511921e-251
CST3 0 -2.36861452174654 0.689 0.668 0
SLC2A3 0 -2.36705771634884 0.004 0.469 0
FBLN1 2.93878818876406e-277 -2.35721466792816 0.094 0.297 1.01743785883201e-272
DSC3 0 2.35016251092003 0.941 0.112 0
KRT2 0 2.32430969118784 0.172 0.003 0
SRGN 0 -2.288522879685 0.003 0.265 0
CD63 0 -2.25526847252594 0.702 0.788 0
SOD3 0 -2.24184780858248 0.018 0.383 0
PRKG1 0 -2.24101856611542 0.006 0.381 0
S100A9 0 2.23489222048973 0.574 0.062 0
KRT5 0 2.23021890223698 0.58 0.132 0
MALAT1 0 -2.22968669636828 0.928 0.958 0
PLPP3 0 -2.22744551391907 0.056 0.414 0
KRT15 0 2.2253500762136 0.28 0.034 0
HLA-DRB1 1.89687481255318e-223 -2.21838470015144 0.05 0.22 6.56717028854038e-219
C1R 0 -2.21563739422256 0.082 0.361 0
MIR205HG 0 2.20774595157866 0.935 0.118 0
EBF1 0 -2.19165626871902 0.002 0.43 0
TPM2 0 -2.18599813991969 0.05 0.315 0
TIMP1 0 -2.17984940450067 0.12 0.566 0
SLIT3 0 -2.17398030267451 0.005 0.374 0
SPARC 0 -2.17113802013797 0.12 0.486 0
FTH1 0 -2.1681653340242 0.829 0.929 0
IGFBP5 0 -2.16780842512338 0.065 0.3 0
ZBTB20 0 -2.14056573034702 0.297 0.692 0
RHOV 0 2.13608753469016 0.773 0.093 0
LAMA2 0 -2.12231653256948 0.007 0.296 0
PKP1 0 2.08784469076622 0.847 0.099 0
ZEB2 0 -2.07848513885461 0.003 0.482 0
NEGR1 0 -2.07751838694255 0.01 0.331 0
C11orf96 0 -2.06365881503116 0.041 0.274 0
MYL9 0 -2.05731671123097 0.028 0.33 0
DLC1 0 -2.05451979346682 0.026 0.457 0
SELENOM 0 -2.05226715975876 0.086 0.54 0
TCF4 0 -2.04485770752665 0.262 0.543 0
IGFBP4 0 -2.04300696569892 0.057 0.456 0
RBMS3 0 -2.03557428004578 0.033 0.477 0
C1S 0 -2.02422744385202 0.062 0.344 0
A2M 0 -2.02034770013143 0.002 0.269 0
PRRX1 0 -2.01378084387634 0.002 0.39 0
PLAC9 0 -2.0042586290488 0.05 0.424 0
HOPX 0 1.99837055077169 0.855 0.174 0
CALD1 0 -1.99146737381571 0.396 0.559 0
PMP22 0 -1.95863954223944 0.015 0.45 0
SERPINF1 0 -1.95758632557252 0.057 0.382 0
SERPING1 0 -1.94436484131375 0.023 0.431 0
COL6A3 0 -1.93685850232192 0.002 0.322 0
LUM 0 -1.93635052155656 0.004 0.273 0
LDB2 0 -1.93274958810033 0.002 0.341 0
CCL2 7.47695581431384e-162 -1.9157881742387 0.07 0.217 2.58859687247359e-157
MCTP1 5.4872604062957e-229 -1.89905851775976 0.001 0.145 1.89974442526364e-224
FABP5 0 1.88671787935052 0.682 0.283 0
PTPRC 0 -1.86131206673587 0.002 0.202 0
HLA-DPB1 0 -1.85746783957233 0.018 0.233 0
GNG11 0 -1.84570886378756 0.013 0.393 0
IFITM2 0 -1.83636382448249 0.037 0.555 0
LHFPL6 0 -1.8321066699995 0.056 0.437 0
CALML5 0 1.8172040273121 0.437 0.086 0
FXYD3 0 1.81366156058445 0.922 0.122 0
TMSB10 0 -1.80954850774022 0.935 0.934 0
MFAP4 0 -1.80305703827149 0.002 0.294 0
C3 3.07904291866955e-303 -1.79257777755677 0.003 0.191 1.06599544887259e-298
HES1 0 1.78722478156962 0.86 0.421 0
CSTA 0 1.78150039691586 0.724 0.095 0
RARRES2 0 -1.78136026555652 0.061 0.339 0
HLA-DPA1 2.93817686850017e-288 -1.77997085594656 0.007 0.19 1.01722621364344e-283
HPGD 0.0675413152640884 -1.77876200030071 0.147 0.125 1
COL17A1 0 1.75607855288006 0.343 0.031 0
JUP 0 1.74539671282307 0.88 0.185 0
IL32 0 -1.74432781943123 0.01 0.279 0
ZEB1 0 -1.73788134311173 0.02 0.456 0
TACSTD2 0 1.72925824890231 0.854 0.129 0
DAPL1 0 1.72446341043793 0.841 0.095 0
TIMP2 0 -1.72365692833744 0.015 0.467 0
IL7R 1.10083988475789e-232 -1.71336797331001 0.001 0.148 3.81121776502029e-228
CELF2 0 -1.6924536532019 0.011 0.439 0
AQP1 0 -1.68538548010208 0.004 0.218 0
CPE 0 -1.66933189177004 0.01 0.321 0
DEGS1 0 1.66302825488956 0.907 0.327 0
GEM 0 -1.66153558028385 0.017 0.29 0
HSPH1 1.87534948846072e-45 -1.65467689266458 0.59 0.545 6.49264746399986e-41
FYN 0 -1.65307622958471 0.033 0.438 0
EMP3 0 -1.64451487873092 0.105 0.525 0
AKT3 0 -1.62927793761171 0.012 0.483 0
PTPRG 0 -1.61897912598328 0.071 0.388 0
PLCB1 0 -1.61812087595188 0.009 0.285 0
GLTP 0 1.61772020563351 0.71 0.199 0
PMAIP1 0 1.61656300190934 0.754 0.127 0
CD69 2.27189462742979e-239 -1.61443698322475 0.002 0.152 7.86552638962469e-235
DSC1 0 1.61418126515088 0.552 0.034 0
RPLP1 0 1.61324391740917 0.995 0.959 0
BICC1 0 -1.6101552911133 0.017 0.297 0
FTL 0 -1.60573277891841 0.911 0.897 0
CTSK 0 -1.60421298538136 0.035 0.302 0
DSG3 0 1.59783202347176 0.736 0.09 0
TGFBR2 0 -1.59123095544674 0.104 0.422 0
LRMDA 0 -1.58824258151101 0.008 0.333 0
NNMT 0 -1.58511490958958 0.013 0.346 0
PTPRM 0 -1.58272655728726 0.023 0.296 0
SERPINB5 0 1.58194162819709 0.785 0.091 0
PHLDA2 0 1.57961669179211 0.657 0.204 0
MEF2C 0 -1.57761320251154 0.007 0.358 0
KLF5 0 1.57716051832217 0.888 0.184 0
RGS16 2.77365788417889e-240 -1.56610728347607 0.042 0.22 9.60268096081573e-236
MT1X 0 1.55956182199125 0.824 0.407 0
IMPA2 0 1.54637742777365 0.878 0.133 0
TPM1 0 -1.53975572404725 0.172 0.402 0
S100A16 0 1.53919675230621 0.926 0.321 0
ARHGAP15 0 -1.53531313659579 0.003 0.263 0
SPTBN1 0 -1.53489558652468 0.348 0.553 0
TM4SF1 1.25240800495417e-57 -1.5337107035204 0.137 0.213 4.33596175395183e-53
CYBA 0 -1.53227698354081 0.129 0.539 0
NAV3 0 -1.53082579010114 0.03 0.294 0
SAMSN1 2.40857580929286e-278 -1.52463494871409 0.002 0.175 8.33873030935282e-274
FN1 0 -1.52163247547713 0.003 0.3 0
HSPD1 7.95495193953559e-29 -1.51694075030561 0.773 0.642 2.75408391098662e-24
FBXL7 0 -1.51593104231994 0.003 0.34 0
TRIM29 0 1.51554583669288 0.826 0.103 0
ROBO2 5.00185051669158e-190 -1.50941539747832 0.058 0.213 1.73169066738379e-185
ARHGDIB 1.95554587151635e-261 -1.50476138066746 0.171 0.363 6.77029536177675e-257
PAM 0 -1.50299676611299 0.092 0.434 0
RPLP0 0 1.49299063083288 0.979 0.819 0
INPP4B 0 -1.4908305247261 0.018 0.318 0
FBLN2 0 -1.48782971475282 0.004 0.296 0
CD99 0 -1.4877232942599 0.632 0.727 0
SNED1 0 -1.48700781253176 0.007 0.291 0
CA12 0 1.47719002233179 0.76 0.063 0
SAT1 5.03073813543834e-194 -1.47485996791167 0.389 0.544 1.74169184987011e-189
ATF3 0 1.47466409685654 0.844 0.346 0
COL15A1 0 -1.47055597072556 0.001 0.299 0
DBI 0 1.4693987557365 0.895 0.592 0
EEF1B2 0 1.46585888267364 0.976 0.817 0
S100A2 0 1.46524367498185 0.606 0.128 0
SPRY1 0 -1.46236745783779 0.133 0.371 0
PCOLCE 0 -1.46209808761937 0.018 0.339 0
AHR 0 -1.46118412360281 0.411 0.585 0
MMP2 0 -1.45915916232262 0.004 0.254 0
FBN1 0 -1.45710176943705 0.003 0.327 0
CD81 0 -1.45520834672019 0.818 0.736 0
IL18 0 1.44995362902412 0.783 0.07 0
DPT 0 -1.4404721632961 0.004 0.244 0
LAMA4 0 -1.43980142979694 0.013 0.357 0
SLIT2 0 -1.43669562353772 0.038 0.262 0
TMSB4X 0 -1.43506948343802 0.961 0.917 0
TUBB4B 0 1.43302018776576 0.923 0.514 0
C19orf33 0 1.43245941565984 0.786 0.109 0
ELMO1 0 -1.43098239963669 0.003 0.26 0
FABP4 2.27213853305009e-129 -1.42497481866398 0.008 0.101 7.86637081527272e-125
ANXA5 0 -1.4249142922776 0.398 0.618 0
SYNE1 0 -1.42200911200418 0.121 0.435 0
ITGB1 0 -1.41357923334442 0.364 0.688 0
TACC1 0 -1.41091353747108 0.035 0.446 0
COL4A2 0 -1.41061958751563 0.007 0.349 0
