Cell_type	Program	Cell_origin
Dendritic_cells_DP	DP	immune
Dendritic_cells_H	H	immune
Dendritic_cells_LS	LS	immune
Fibroblasts_DP	DP	non-immune
Fibroblasts_H	H	non-immune
Fibroblasts_LS	LS	non-immune
ILC_NK_cells_DP	DP	immune
ILC_NK_cells_H	H	immune
ILC_NK_cells_LS	LS	immune
Keratinocytes_DP	DP	non-immune
Keratinocytes_H	H	non-immune
Keratinocytes_LS	LS	non-immune
Langerhans_cell_DP	DP	immune
Langerhans_cell_H	H	immune
Langerhans_cell_LS	LS	immune
Lymphatic_endothelium_DP	DP	non-immune
Lymphatic_endothelium_H	H	non-immune
Lymphatic_endothelium_LS	LS	non-immune
Macrophages_DP	DP	immune
Macrophages_H	H	immune
Macrophages_LS	LS	immune
Mast_cells_DP	DP	immune
Mast_cells_H	H	immune
Mast_cells_LS	LS	immune
Melanocytes_DP	DP	non-immune
Melanocytes_H	H	non-immune
Melanocytes_LS	LS	non-immune
Pericytes_DP	DP	non-immune
Pericytes_H	H	non-immune
Pericytes_LS	LS	non-immune
Plasma_cells_H	H	immune
Schwann_cells_DP	DP	non-immune
Schwann_cells_H	H	non-immune
Schwann_cells_LS	LS	non-immune
T_cells_DP	DP	immune
T_cells_H	H	immune
T_cells_LS	LS	immune
Vascular_endothelium_DP	DP	non-immune
Vascular_endothelium_H	H	non-immune
Vascular_endothelium_LS	LS	non-immune
