GeneID	Dendritic_cells_H	Fibroblasts_H	ILC_NK_cells_H	Keratinocytes_H	Langerhans_cell_H	Lymphatic_endothelium_H	Macrophages_H	Mast_cells_H	Melanocytes_H	Pericytes_H	Plasma_cells_H	Schwann_cells_H	T_cells_H	Vascular_endothelium_H	Dendritic_cells_LS	Fibroblasts_LS	ILC_NK_cells_LS	Keratinocytes_LS	Langerhans_cell_LS	Lymphatic_endothelium_LS	Macrophages_LS	Mast_cells_LS	Melanocytes_LS	Pericytes_LS	Schwann_cells_LS	T_cells_LS	Vascular_endothelium_LS	Melanocytes_DP	Dendritic_cells_DP	Vascular_endothelium_DP	Pericytes_DP	Fibroblasts_DP	Macrophages_DP	Langerhans_cell_DP	Schwann_cells_DP	Keratinocytes_DP	ILC_NK_cells_DP	Mast_cells_DP	T_cells_DP	Lymphatic_endothelium_DP		SUM L + DP		Novel
TMEM258	0.213645717	1	0	0	1	1	1	1	1	0.813385958	0.622716814	1.66E-05	0	1	1	1	0	9.87E-15	1	0.366790953	0.072799551	0.000801025	1	0	0.046834366	0	0.113850727	1	1	1	0.479504164	1	1	1	0.433186587	1	0.106484789	0.000100959	1	1		1.00	21.16353244	0
FOSL2	1	1	0.008078273	0	1	0	1	9.04E-11	0	1	6.61E-08	0.682366035	0	1	1	0.729015116	0.988888789	1	0	0	1	0.002970662	0.003988894	1	0.006184262	0	1	0.602774538	0	0	7.53E-16	0	0.287485368	0	0.0000247	1	0.298417339	0.038404653	4.46E-12	0.00000827		2.00	15.3117767	0
DUSP1	1	1	0	1	1	1.71E-15	1	0	0	0	2.10E-08	0.012855385	0	0	1	1	0.000467795	1	0	2.43E-07	0	1.21E-17	0	0.005459256	1.01E-08	0	0.000127338	0.037628749	1	1	1	1	1	1	0.031385355	1	1	0.225867012	1	1		2.00	15.08792415	#N/A
MRPS21	0	1	2.28E-10	0	0	1	0	0.003759979	3.03E-05	1	0.000547682	0.0039352	1	1	0.025420633	1	4.05E-08	1	0.019045265	0.72482454	0	9.81E-05	1	0.000395019	0.048028247	0	7.42E-05	1	1	0.58386963	0.003962949	1	0.024729647	1	0.140906036	1	0.02298453	0.013733205	0.001077114	0.410791607		2.00	14.57962746	0
GPSM3	1	0	1	0	1	0	1	6.63E-09	0	0	0.279550469	1.21E-17	1	0	1	0	1	0	1	0	1	3.03E-05	2.80E-07	0	1.48E-06	1	0	0.641796712	1	0	0.00000796	0.145508784	1	1	0.03235036	0.057951365	0.031823326	0.016396853	0.000852267	0.005918543		0.06	14.15719774	0
FAM177A1	0	0	0	1	0	1	0	3.01E-17	0	0	0.001764563	0.000106926	0.644249315	1	0	0	0.688252162	1	0.033289041	0.218532219	0	2.73E-05	0.767228714	0	0.000250925	0.820439034	1	1	1	0.695436338	0.149559258	1	1	0.830908801	0.007651568	9.29E-10	1	0.046615507	0.191786299	7.99E-10		1.00	13.85769621	0
ETS1	0	0	1	0	0	0.693812691	0	0	0.556781572	1	5.11E-06	0.062624067	1	1	0	1	1	0	0	1	0	3.04E-07	1	0.418749153	0.003504347	1	1	0.846157585	0.00000107	0	1.21E-17	1	0.141986832	0.006028512	0.002070858	2.00E-10	0.0000222	0.04793697	0	0.391313514		0.00	13.7317221	0
RNF5	1	1	0	0	1	1	8.57E-06	1.63E-09	1.25E-14	1	0.004266608	0.762284498	0	1	1	0.418762606	0.000212984	0	1	0.092855985	1	0.002024008	0.673951717	1	0.036765962	0	0.447054517	0.191518551	0	0	0	0	6.16E-09	0.576642528	0.000292731	7.71E-16	0.008036723	0.011414623	0	0		0.00	13.20664127	0
LSM2	0.094658887	5.47E-06	0.033510152	0	0.196441115	1	0	0.234517222	0.244645279	0	0.001279058	0.000192646	0	1	0.103701046	1	0.016658337	1	0.571349227	1	0	0.027752604	1	3.62E-17	0.00707404	0	1	1	0.179028663	0.000000163	0.148982833	1	7.35E-12	0.768007554	0.04425324	1	0.030898094	0.025299535	0.0000224	0.010026021		2.00	12.67205754	0
RUNX3	1	0	1	0	1	0	1	9.28E-07	1	0	0.059157818	2.11E-05	1	0	1	0	1	0	1	1.20E-14	1	0.001603484	1	0	0.004723706	1	0	0.333721982	0	0.040130014	0.048637398	0.031325117	0.029423002	4.70E-16	0.031632423	0.039773605	0.000466995	0.021463225	0	0.03693732		0.04	12.62015061	0
IL1R1	1	1	0	0	1	0	1	4.00E-14	0	1	0.000112055	0.006910101	0	0	1	1	2.69E-10	0	1	5.76E-09	1	1.41E-05	0	0.353032508	0.003518437	0	0.794071194	0.03449401	0	1	0	0	0.957867588	0	0.010496918	0.432428279	0.002026699	0.020764987	0.00813336	0.013899407		0.43	12.5929452	0
PRELID1	0	1	0.204333524	0	0	1	0	1.32E-07	0.049374834	4.51E-05	0.054965674	0.000619981	0	1	0	1	0.003679095	1	0.045384981	1	0	0.001588391	1	7.23E-16	0.02953353	0	1	1	1	0	0.0000066	1.43E-13	1.87E-09	1	0.072090492	1	0.00114482	0.044075988	0	0		2.00	12.46162233	0
PDLIM4	0	1	0	1	0	1	0	3.23E-12	1	1	8.99E-06	1	0	1	0	1	0	1	0	1	0	0.000325635	0.003313095	0.004553546	0.321821846	0	1	0	0.114986533	0.037967735	1.16E-13	0.253689159	0.000356261	0.046523614	0.070691401	0.399825605	0.091073299	0.039350264	1	0		1.40	12.25406342	0
FOXP1	1	0	1	0	1	1	0	0.018445299	0	0	0.000832379	0.022974769	1	1	1	0	0.475863477	0	8.16E-09	1	0.815148613	0.001210243	5.14E-11	0	4.77E-05	1	1	0.150060629	0	4.87E-09	0	0	0.756260157	0	0.000041	2.88E-08	0.007201355	0.001591853	0	0.012596946		0.00	12.24088427	0
