GeneID	Dendritic_cells_H	Fibroblasts_H	ILC_NK_cells_H	Keratinocytes_H	Langerhans_cell_H	Lymphatic_endothelium_H	Macrophages_H	Mast_cells_H	Melanocytes_H	Pericytes_H	Plasma_cells_H	Schwann_cells_H	T_cells_H	Vascular_endothelium_H	Dendritic_cells_LS	Fibroblasts_LS	ILC_NK_cells_LS	Keratinocytes_LS	Langerhans_cell_LS	Lymphatic_endothelium_LS	Macrophages_LS	Mast_cells_LS	Melanocytes_LS	Pericytes_LS	Schwann_cells_LS	T_cells_LS	Vascular_endothelium_LS	Melanocytes_DP	Dendritic_cells_DP	Vascular_endothelium_DP	Pericytes_DP	Fibroblasts_DP	Macrophages_DP	Langerhans_cell_DP	Schwann_cells_DP	Keratinocytes_DP	ILC_NK_cells_DP	Mast_cells_DP	T_cells_DP	Lymphatic_endothelium_DP
RERE	0	1	1.14857E-08	0	0	1	0	0.007303479	2.11966E-12	0.924105109	0.009482727	0.075677655	0	1	1.61369E-09	1	0.009303995	0.085546564	1.76555E-06	1	2.9093E-11	0.019199022	0.042002185	0.020303628	0.019256171	0	1	0.168029484	0.393742196	0	5.89E-09	0.004251919	0.000110138	0.310408707	0.01059347	0.599593021	0.025295199	0.026034922	6.74E-11	0.000125604
CIART	0	1	1.14695E-14	1	0	2.27633E-05	0	0.000767244	0.016118652	1.37461E-05	0.012741525	0.030556598	0	2.97735E-11	3.13511E-08	1	0.004496361	1	0.000170264	0.007416028	3.04723E-08	0.012167635	0.123744987	0.001267671	0.042723584	0	0.000260296	0.110960859	0.11847272	0.017908824	0.056120266	0.011713487	0.021910736	0.09916417	0.042708529	0.088815885	0.05594973	0.036435124	0.018031064	0.034732841
MRPS21	0	1	2.27549E-10	0	0	1	0	0.003759979	3.02634E-05	1	0.000547682	0.0039352	1	1	0.025420633	1	4.04974E-08	1	0.019045265	0.72482454	0	9.81348E-05	1	0.000395019	0.048028247	0	7.41925E-05	1	1	0.58386963	0.003962949	1	0.024729647	1	0.140906036	1	0.02298453	0.013733205	0.001077114	0.410791607
ECM1	0	1	0	6.02705E-18	0	0	1	0.001452603	1	0.035740428	0.004991632	1	0	0	0	1	6.98229E-09	0.017500556	0	3.83065E-11	0	0.002146751	1	2.70676E-07	0.388514174	0	0	1	0.010260253	0.151361084	0.023320832	2.36E-10	0	0.03561447	0.012171032	1	0.033805029	0.024750695	0.029642618	0.040779371
NAB1	0	1	0	1	0	2.83465E-08	1.19748E-10	2.01645E-08	0	1	0.003139508	0.398089503	0	0	5.90913E-12	1	2.98543E-05	1	4.72858E-13	0.000913331	1.82775E-05	0.002537705	0.001039666	0.71128529	0.013528753	0	1.65159E-05	0.173109602	0.005977762	0.15526287	0.003732267	0.013972492	0.004346404	0.002312887	0.001331159	0	0.037360387	0.043833059	0.362880684	0.014509831
ADAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749
PDLIM4	0	1	0	1	0	1	0	3.22982E-12	1	1	8.99411E-06	1	0	1	0	1	0	1	0	1	0	0.000325635	0.003313095	0.004553546	0.321821846	0	1	0	0.114986533	0.037967735	1.16E-13	0.253689159	0.000356261	0.046523614	0.070691401	0.399825605	0.091073299	0.039350264	1	0
P4HA2	0	1	0	0	0	0.394187493	1.89068E-05	0.039794733	1	1	0.020344867	0.036823961	0	1	0	1	0.000250692	0.543141478	0	0.002481331	9.04057E-17	0.004777685	0.565403591	5.59031E-06	0.015863653	0	2.71666E-05	0.007557975	0.190976623	1.51E-16	6.93E-12	0.01919624	0.00000788	0.003152324	0.022655006	1	0.055866911	0.009822611	0.010716031	0.001001151
FNIP1	0	1	0	1	2.09783E-13	0.068445014	2.9641E-05	4.73909E-12	0.103885816	0.874281299	0.090481154	0.366642498	0	1	0.077270032	1	0.000252367	1	0.001621248	0.18967435	1	0.000742299	0.59863126	2.24652E-12	0.014895611	0	0.011250456	0.199747967	0.582919077	4.3E-13	0	0	0.468389968	0.006239493	0.00192663	0.00000562	0.036718495	0.03773157	0.000230524	0.053954486
RGS14	0	0	1	1	0	0	0	4.21142E-05	5.00243E-07	0	0.055710404	0.000139027	1	0	4.98838E-06	0	0.087818743	1	8.02404E-06	1.32095E-08	0	0.001619183	0.02117648	0	0.003262877	0	0	0.173671369	1	0.0000303	0.036574302	0.144560712	0.074499417	0.691291725	0.03235036	1	0.005036694	0.025935997	0	0.071563554
LMAN2	0	1	1	0	0	1	0.774123021	0.155413705	0.124366592	3.81457E-06	0.151159416	0.000244451	0.039253989	1	0.046492126	1	0.152287804	1	0.351460841	0.021191001	8.43787E-17	0.000674773	1	0	0.009643909	7.23899E-08	0.009873737	0.48492892	0.008245897	0	0	0	0	1	0.028756756	1	0.003275899	0.000574619	3.25E-15	2.55E-11
PRELID1	0	1	0.204333524	0	0	1	0	1.32314E-07	0.049374834	4.50964E-05	0.054965674	0.000619981	0	1	0	1	0.003679095	1	0.045384981	1	0	0.001588391	1	7.23246E-16	0.02953353	0	1	1	1	0	0.0000066	1.43E-13	1.87E-09	1	0.072090492	1	0.00114482	0.044075988	0	0
TNXB	0	1	3.01352E-17	0	0	1	0	0.000639299	1.1986E-10	0.605954277	0.016412141	0.42493623	0	1.6273E-16	0	1	2.02246E-05	0	1.21746E-14	1	0	0.004564073	2.91273E-05	2.97768E-07	0.01762438	0	4.13785E-06	0.0464133	0.03502588	0.335538064	0.00000431	0.000000271	0.032863291	0.036562199	0.003045762	0.039019858	0.034500319	0.036435124	0.02828248	1
STK19	0	1	0	1	0	0.377385572	0	1.73965E-06	9.40015E-08	0.095416468	0.014076406	0.011895559	0	1	3.8326E-14	1	0.000150273	1	5.65861E-05	0.195954078	5.3018E-09	0.004131303	0.706602377	0.000106789	0.024547805	0	0.791520032	0.907630825	0.02844116	0	0.0000403	0.001878026	0.007966292	0.219434167	0.035976459	1	0.026017678	0.03990923	0.000334315	0.048179317
DDX39B	0	1	2.44246E-06	1	9.20773E-11	0.000620591	5.82449E-08	4.30722E-08	2.37213E-09	0.149392092	0.025924808	0.01697534	0.00162883	0.163455951	0.000146135	1	0.000626399	1	0.0005861	0.541497697	0.002428963	0.021361157	0.287518823	0.008086714	0.067034614	0	0.833858961	0.940844055	1	1	0.122999311	0.229139301	0.606829984	0.38663516	0.10986485	1	0.045778164	0.181065099	0.0000175	1
DXO	0	0.116522706	0.001289734	6.0734E-06	9.20374E-09	0.159023505	7.05767E-15	0.00281423	0.009989232	1	0.032788865	0.020959726	8.72379E-13	1	0.000148312	0.735765153	0.023039184	1	0.001295036	0.119917947	1.07538E-06	0.009046289	0.416595803	0.01844595	0.053456157	0	0.160356725	0.38378527	0.108852642	0	5.42E-09	0.236063656	0.023390171	0.035013696	0.060569732	1	0.040236684	0.024779366	0.00466884	0.054916269
NELFE	0	1	0	0	0	1	1.59656E-14	1.92864E-12	0	1	0.003735939	0.000971767	0	1	0.006425572	1	6.93721E-08	1	0.018777508	0.237890389	1.87276E-07	0.000244903	1	0.000562634	0.043910054	0	1	1	0.00074415	0	0	0	3.29E-11	0.352930278	0.056787994	1	0.004494419	0.017225026	0	4.18E-09
KAT5	0	1	0	1	6.40193E-14	1.40116E-08	0	1.03527E-06	0.220455609	1	0.027001195	0.008606993	0	1	0.014047884	0.472719411	0.003194454	1	0.000795439	0.036285687	0.000356379	0.008403541	0.867571834	0.047187611	0.067082816	0	0.03101768	0.129064699	0.0000185	0	0	0	0.000222453	0.000000617	0.053344555	1.09E-15	0.014021511	0.027407228	0.000000121	0.012629054
OVOL1	0	0	0	1	0	0	0	5.19589E-05	2.1936E-13	0	0.015558825	0.001824225	0	0	1.60633E-13	0	0.000726508	1	1.26261E-07	0.000239376	8.51089E-11	0.010674323	0.000947685	6.1134E-11	0.029618274	0	2.01544E-14	0.028177843	0.059051179	0.037531404	0.033845604	0.02702279	0.046166072	0.028534665	0.052637932	0.0920233	0.030905283	0.037628749	0.017652351	0.037726523
SNX32	0	0.097182127	0.003925174	0.005492943	0.003213843	0.012942761	0.000683812	0.009926356	0.018701259	0.015003394	0.012040344	0.010919634	0.001587407	0.03048774	0.004185524	0.024052504	0.006115938	0.00780557	0.00574166	0.02084783	0.006597428	0.007108307	0.012553835	0.005636558	0.007286018	0	0.005523058	0.038246958	0.037485935	0.026689495	0.032027488	0.017275687	0.039179848	0.036876001	0.037628749	0.033913343	0.037135119	0.037628749	0.031596414	0.047173071
CTSF	0	1	1.16578E-08	0	0	1.37149E-05	0	0.0007993	1	1	0.014021322	0.028778441	0	0	0	1	4.17168E-05	0	1.58855E-10	0.120925593	0	0.009397207	1	0.456758634	0.02607093	0	0.000152962	7.74E-09	0.042902435	0.485840494	0.00000924	0.010745768	0.02830583	0.086312106	0.038226339	0.010433955	0.009846302	0.045216972	0.000165084	0.398508118
LRRC32	0	1	0	0	0	1	0	4.36443E-05	0	2.17878E-11	0.006877207	0.095892137	0	1	0	1	6.7526E-07	0	0	0.017647996	0	0.002213891	4.73039E-07	0.014430436	0.008427201	0	1	0.043123219	0.021081699	1	0.945520766	3.35E-13	0.005504266	0.03639626	0.008457178	0.048208379	0.034969357	0.035268076	0.095679339	0.0000297
ETS1	0	0	1	0	0	0.693812691	0	0	0.556781572	1	5.10916E-06	0.062624067	1	1	0	1	1	0	0	1	0	3.03964E-07	1	0.418749153	0.003504347	1	1	0.846157585	0.00000107	0	1.21E-17	1	0.141986832	0.006028512	0.002070858	2E-10	0.0000222	0.04793697	0	0.391313514
FAM177A1	0	0	0	1	0	1	0	3.01352E-17	0	0	0.001764563	0.000106926	0.644249315	1	0	0	0.688252162	1	0.033289041	0.218532219	0	2.73493E-05	0.767228714	0	0.000250925	0.820439034	1	1	1	0.695436338	0.149559258	1	1	0.830908801	0.007651568	9.29E-10	1	0.046615507	0.191786299	7.99E-10
SRP54	0	1	0	0	1	0.258359478	0	1.37724E-07	0	0.960986354	0.086544467	0.000214082	0	1	3.88896E-11	0.15953554	0.377847731	0.139844772	1	0.001913347	1	2.0767E-05	0.03329153	0	0.003894428	0.205157488	0.02285236	0.48579784	0.281519786	0	0	0	1	0.562861169	0.03008062	1	1	0.008841183	1	0.001696256
STAT5B	0	1	2.41082E-17	0	0	0.304787749	0	2.39618E-05	0	0.315951641	0.018539684	0.071122976	1	1	1.8579E-13	1	0.013136813	0	0	0.002870285	0.185123604	0.002360901	8.51807E-06	1.41971E-05	0.012844492	1	0.973059791	0.042208924	0.058762501	0	0.00000148	0	1	0.000000555	0.010844874	0.077319549	0.137689688	0.027325107	0.334534517	0.000407395
STMN3	0	1	0.110982199	0	0	5.7307E-13	0	0.001978672	0.000282436	0.485431883	0.065641283	0.125610613	1	0	0	1	0.001471854	0	1.50724E-13	0.000159971	0	0.004878587	0.051560865	0.049770102	0.008986832	0.219059905	1.5077E-08	0.138709284	0.02585585	0.551282438	0.001874589	0.0000106	0.012056272	0.038693629	0.00485296	0.01015189	0.001616152	0.020764987	0	0.046092576
TNFRSF6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749	0.037628749
SLC2A4RG	1.50676E-16	4.59356E-06	2.0632E-05	1	1.97687E-13	0.000637163	0.029416924	0.004843767	5.42753E-07	2.44093E-08	0.017288455	0.030134506	0.054793366	0	1.90601E-07	1	0.001670211	1	1.60403E-05	0.028917181	0.002966826	0.010797907	0.020292873	0.001844348	0.012381234	0	0.000626461	0.145658262	0.121862441	0.273196211	0.291223647	1	0.02324886	0.052600022	0.018521352	0.018722279	0.0198083	0.030715302	0.000000914	0.103020419
PRPF3	4.5685E-15	1	2.63482E-08	5.19531E-15	2.41082E-17	0.302422688	6.14156E-15	1.77143E-05	1.42325E-06	1	0.041652876	0.043601265	0	1	0	0.427723769	0.044013826	0.057644463	0.000292265	0.085031745	0.338846956	0.010526282	0.020857912	0.002100323	0.048596208	0.00247372	0.317672876	0.036550333	0.0000171	0	4.82E-17	7.53E-13	0.35324717	0.002778813	0.033432509	0.000396581	0.055579481	0.037270407	0.022266295	0.003644384
KIF3A	3.19777E-13	0.001192781	0.010911842	5.72415E-09	3.33935E-13	0.00016544	0	0.002932248	1	0.079211379	0.054902499	0.029685344	1	0.240974712	2.82396E-06	0.198098904	0.021199211	0.03339625	0.000321902	0.022175023	0	0.031103476	1	0.007025502	0.019479697	0.706640663	0.004095363	0.000454232	0.001645129	0.000000325	0.000136932	0.034018425	0.006060446	0.007517213	0.017429463	0.003600256	0.011255246	0.046185508	6.03E-18	0.028278313
SEPT8	2.01245E-12	1	3.01651E-10	1	3.61623E-17	0.037825072	4.33529E-06	0.084589916	1	0.48720033	0.03526662	0.08679761	0	1	3.36017E-10	1	0.000319306	1	1.36494E-08	0.019378829	1.12086E-12	0.009122185	0.207715804	1	0.016058934	0	0.023710233	0.064024446	0.145781596	0.051964428	0.498432226	1	0.005716678	0.073041631	0.016656937	1	0.04320907	0.012623138	0.021576328	0.073845861
NOTCH4	2.96671E-12	3.33095E-09	6.45683E-07	0	7.22005E-10	0.0029132	5.34825E-08	0.005918518	0.063832352	0.070839444	0.020698008	0.074645007	0	1	0.002840492	0.239504199	0.014441646	2.25585E-05	0.005218114	0.068463868	0.002138765	0.025032173	0.205282151	0.037486871	0.037198353	0	1	0.110123437	0.058542972	6.03E-18	0.004346439	0.347416515	0.018716922	0.036319949	0.022267004	0.026835406	0.035084907	0.036435124	0.033102765	0.066592003
PEX13	1.67777E-11	1	0	1	0.943797431	0.069157866	0	1.34547E-07	0	0	0.00323384	0.000373164	0	0.344704233	4.74823E-10	1.07287E-05	0.003455507	1	0.586476081	0.008727939	1.72839E-11	0.002039261	0.06303933	0	0.004713813	0	3.02412E-11	0.515729314	0.000688572	1.56E-13	0.007352741	9.88E-16	0.248353589	0.143994683	0.025749148	1	0.146689203	0.039669007	0.008952266	0.006225135
PPT2	6.48614E-10	0.368483726	0.000325101	0.112061809	8.58646E-09	0.324846009	3.36169E-08	0.014069787	0.476868581	1	0.029927646	0.112480073	0	1	9.01703E-05	0.494831989	0.01584014	0.580515041	0.001665636	0.058756353	0.000405772	0.023857632	0.441676352	0.147023424	0.026883202	0	0.252742575	0.149575115	0.028445282	0.0000302	0.0000186	0.044035364	0.025164962	0.033286046	0.013533321	0.206831971	0.030982432	0.031923765	0.018061049	0.011238183
