VARIABLE H_log_p LS_log_p DP_log_p
Dendritic_cells 6.97918311297109 7.40882404968821 2.59629623378709
Fibroblasts 0.425887671534426 0.261481047990868 0.894455754253427
ILC_NK_cells 7.83719670761733 10.758478422324 4.07038696249202
Keratinocytes 0.883126713672752 2.10937781027822 4.19108041543339
Langerhans_cell 9.90107952127767 4.98707845445544 1.62453757955283
Lymphatic_endothelium 0.335856527049657 0.342370568611048 0.450800491029208
Macrophages 2.48493459007724 7.48239508107407 7.06560255921901
Mast_cells 0.70719033458271 0.530398867886175 1.51355535189932
Melanocytes 0.830943067255148 0.537362457427622 1.62712480320661
Pericytes 0.80958425296671 0.407867673979885 0.0290815704673802
Plasma_cells 2.91919319566564 NA NA
Schwann_cells 0.51089971303104 0.154213838459574 0.0343327289620578
T_cells 11.3384049893332 11.6591594501877 5.78642912154538
Vascular_endothelium 0.699165480838388 1.63834770002606 2.12794283931448
