Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Effector_CD4pos_T-S__optimal_overlap_Calderon_ATAC	1.4989151028520052e-07	2.4595299290756317e-08	5.495340221831126e-10
Memory_Teffs-S__optimal_overlap_Calderon_ATAC	1.4911942456214814e-07	2.471118345890288e-08	7.973205133278178e-10
Th1_precursors-S__optimal_overlap_Calderon_ATAC	1.4444093038588238e-07	2.4093329486982388e-08	1.017058250307335e-09
Th2_precursors-S__optimal_overlap_Calderon_ATAC	1.303691382576836e-07	2.1757070599956252e-08	1.0361537005781038e-09
Regulatory_T-S__optimal_overlap_Calderon_ATAC	1.3321827153858505e-07	2.224663121607868e-08	1.060588820591351e-09
Th17_precursors-S__optimal_overlap_Calderon_ATAC	1.4605724657933675e-07	2.4781542037699027e-08	1.8871646132191574e-09
Effector_memory_CD8pos_T-S__optimal_overlap_Calderon_ATAC	1.5964977230835713e-07	2.8091854297107464e-08	6.612428326246984e-09
Gamma_delta_T-S__optimal_overlap_Calderon_ATAC	1.5494505307957075e-07	2.814575528555985e-08	1.8448475892134153e-08
Memory_Teffs-U__optimal_overlap_Calderon_ATAC	1.631756468708085e-07	3.102384956660609e-08	7.215156344672854e-08
Central_memory_CD8pos_T-S__optimal_overlap_Calderon_ATAC	1.216645722379875e-07	2.383975632294494e-08	1.667743124363304e-07
Effector_memory_CD8pos_T-U__optimal_overlap_Calderon_ATAC	1.440943722275686e-07	2.8283404694415622e-08	1.746824787565502e-07
Th17_precursors-U__optimal_overlap_Calderon_ATAC	1.475560868968486e-07	3.060356931733209e-08	7.122995276204896e-07
Follicular_T_Helper-S__optimal_overlap_Calderon_ATAC	9.857484564623598e-08	2.0717902908241506e-08	9.778213544099332e-07
Memory_Tregs-U__optimal_overlap_Calderon_ATAC	1.2013790937119443e-07	2.583209003154066e-08	1.6538624161692903e-06
CD8pos_T-S__optimal_overlap_Calderon_ATAC	1.108560694520969e-07	2.417774710695231e-08	2.2694384201764224e-06
Memory_Tregs-S__optimal_overlap_Calderon_ATAC	8.665249804188982e-08	1.95330076979252e-08	4.577855075970135e-06
CD4Tcell__optimal_overlap_Corces_ATAC	1.284356351628911e-07	2.9053441610805438e-08	4.919800416647394e-06
CD8Tcell__optimal_overlap_Corces_ATAC	1.170170784722977e-07	2.789262343814104e-08	1.3627353369436409e-05
Gamma_delta_T-U__optimal_overlap_Calderon_ATAC	1.2461308307887316e-07	3.0390919277267786e-08	2.0627234440738416e-05
Naive_Teffs-S__optimal_overlap_Calderon_ATAC	8.829039763702836e-08	2.2767547241388115e-08	5.267980305695703e-05
Central_memory_CD8pos_T-U__optimal_overlap_Calderon_ATAC	1.072739613487618e-07	2.789057341611673e-08	5.997106788682161e-05
Immature_NK-U__optimal_overlap_Calderon_ATAC	1.1141566822908875e-07	2.9448237897398985e-08	7.733752672410732e-05
Regulatory_T-U__optimal_overlap_Calderon_ATAC	9.508625058016717e-08	2.6342557957054415e-08	0.00015333132585632634
Th1_precursors-U__optimal_overlap_Calderon_ATAC	1.1007839829297876e-07	3.142602103003007e-08	0.00023021587924074423
CD8pos_T-U__optimal_overlap_Calderon_ATAC	7.621787102719849e-08	2.1832139367789697e-08	0.00024053089805666858
Effector_CD4pos_T-U__optimal_overlap_Calderon_ATAC	9.209503835922275e-08	2.6526816870933197e-08	0.00025851841536676405
