GWAS_locus	Gene
2	H6PD
3	TNFRSF8
4	RUNX3
7	APH1A
8	RORC
8	C2CD4D-AS1
9	IL6R
10	SLAMF1
11	FASLG
11	TNFSF4
13	LINC00299
14	FOSL2
15	REL
15	PUS10
16	CD207
17	IL1R1
17	IL1RL1
17	IL18R1
17	IL18RAP
20	IL37
20	IL36G
20	IL36A
21	NAB1
23	INPP5D
24	NEU4
24	PDCD1
25	BHLHE40
26	TBC1D5
26	SATB1
28	GLB1
29	FOXP1
31	IL2
31	IL21
31	BBS12
32	FAM105A
33	SPEF2
33	IL7R
33	CAPSL
33	CAPSL-DT
36	CDC42SE2
36	RAPGEF6
36	FNIP1
36	IL3
36	CSF2
36	SLC22A4
36	C5orf56
36	IL5
36	TH2LCRR
36	IL13
36	IL4
38	ITK
39	RGS14
40	EXOC2
42	BACH2
43	AHI1
44	IL22RA2
46	TAGAP
49	CREB5
52	ZBTB10
53	TRIB1
59	IL2RA
59	RBM17
60	PRKCQ
60	PRKCQ-AS1
61	GATA3
63	ADO
65	C11orf55
65	PRR5L
67	AP5B1
69	PRKRIR
69	C11orf30
69	ENSG00000236304
69	LRRC32
70	MMP3
70	MMP12
71	SIK3
73	ETS1
78	IL26
78	IL22
79	PLXNC1
80	MLXIP
81	UBAC2-AS1
81	UBAC2
81	GPR18
81	GPR183
83	BATF
84	TRAF3
85	OIP5-AS1
86	RORA
87	CLEC16A
87	RMI2
87	SOCS1
88	NSMCE1
90	STAT5B
90	STAT5A
90	STAT3
91	MAP3K14
100	GMEB2
100	ARFRP1
101	NCF4-AS1
101	NCF4
101	CSF2RB
