GWAS_locus	Gene
1	ENO1
5	SH3BGRL3
6	GSTM3
8	FLG
8	RORC
8	LCE5A
8	SPRR2F
8	FLG2
8	HRNR
8	S100A11
8	SPRR2E
10	SLAMF1
10	NHLH1
10	SLAMF6
11	FASLG
11	TNFSF18
11	RP1-15D23.2
12	BATF3
13	LINC00299
17	IL1RL1
17	IL18RAP
19	MERTK
19	MIR4435-2HG
20	IL37
20	IL36G
20	IL36A
24	PDCD1
28	CCR4
30	CD200R1
33	IL7R
33	UGT3A1
33	SPEF2
35	TMEM232
36	IL13
36	CSF2
38	ITK
41	MICB
41	HLA-DQA1
48	IL6
54	TMEM75
55	PTP4A3
56	AQP3
57	CRAT
59	IL2RA
60	PRKCQ
60	PRKCQ-AS1
62	ANK3
66	FADS2
66	FADS1
70	MMP3
70	MMP12
78	IL22
78	IL26
81	GPR183
83	BATF
85	CHAC1
87	SOCS1
88	IL4R
89	CCR7
90	STAT3
91	MAP3K14
93	SOCS3
100	HELZ2
101	CSF2RB
