GWAS_locus	Cytoband	Lead_SNP	Gene	name	value
1	1p36_23	rs10779704	ENO1	Novel_loci	0
1	1p36_23	rs10779704	ENO1	Nearest_gene	0
1	1p36_23	rs10779704	ENO1	V2G	0
1	1p36_23	rs10779704	ENO1	DEPICT	0
1	1p36_23	rs10779704	ENO1	MAGMA	0
1	1p36_23	rs10779704	ENO1	cis_espQTL	1
1	1p36_23	rs10779704	ENO1	trans_pQTL	0
1	1p36_23	rs10779704	ENO1	Coding_CS	0
1	1p36_23	rs10779704	ENO1	Coding_LD	0
1	1p36_23	rs10779704	ENO1	Coding_Lit	0
1	1p36_23	rs10779704	ENO1	OMIM	0
1	1p36_23	rs10779704	ENO1	DEG_AD	1
1	1p36_23	rs10779704	PARK7	Novel_loci	0
1	1p36_23	rs10779704	PARK7	Nearest_gene	0
1	1p36_23	rs10779704	PARK7	V2G	0
1	1p36_23	rs10779704	PARK7	DEPICT	0
1	1p36_23	rs10779704	PARK7	MAGMA	0
1	1p36_23	rs10779704	PARK7	cis_espQTL	1
1	1p36_23	rs10779704	PARK7	trans_pQTL	1
1	1p36_23	rs10779704	PARK7	Coding_CS	0
1	1p36_23	rs10779704	PARK7	Coding_LD	0
1	1p36_23	rs10779704	PARK7	Coding_Lit	0
1	1p36_23	rs10779704	PARK7	OMIM	0
1	1p36_23	rs10779704	PARK7	DEG_AD	0
1	1p36_23	rs10779704	RERE	Novel_loci	0
1	1p36_23	rs10779704	RERE	Nearest_gene	1
1	1p36_23	rs10779704	RERE	V2G	1
1	1p36_23	rs10779704	RERE	DEPICT	0
1	1p36_23	rs10779704	RERE	MAGMA	1
1	1p36_23	rs10779704	RERE	cis_espQTL	1
1	1p36_23	rs10779704	RERE	trans_pQTL	0
1	1p36_23	rs10779704	RERE	Coding_CS	0
1	1p36_23	rs10779704	RERE	Coding_LD	0
1	1p36_23	rs10779704	RERE	Coding_Lit	0
1	1p36_23	rs10779704	RERE	OMIM	0
1	1p36_23	rs10779704	RERE	DEG_AD	0
1	1p36_23	rs10779704	RERE-AS1	Novel_loci	0
1	1p36_23	rs10779704	RERE-AS1	Nearest_gene	0
1	1p36_23	rs10779704	RERE-AS1	V2G	0
1	1p36_23	rs10779704	RERE-AS1	DEPICT	0
1	1p36_23	rs10779704	RERE-AS1	MAGMA	0
1	1p36_23	rs10779704	RERE-AS1	cis_espQTL	1
1	1p36_23	rs10779704	RERE-AS1	trans_pQTL	0
1	1p36_23	rs10779704	RERE-AS1	Coding_CS	0
1	1p36_23	rs10779704	RERE-AS1	Coding_LD	0
1	1p36_23	rs10779704	RERE-AS1	Coding_Lit	0
1	1p36_23	rs10779704	RERE-AS1	OMIM	0
1	1p36_23	rs10779704	RERE-AS1	DEG_AD	0
2	1p36_22	rs57533288	H6PD	Novel_loci	0
2	1p36_22	rs57533288	H6PD	Nearest_gene	0
2	1p36_22	rs57533288	H6PD	V2G	0
2	1p36_22	rs57533288	H6PD	DEPICT	1
2	1p36_22	rs57533288	H6PD	MAGMA	0
2	1p36_22	rs57533288	H6PD	cis_espQTL	1
2	1p36_22	rs57533288	H6PD	trans_pQTL	1
2	1p36_22	rs57533288	H6PD	Coding_CS	0
2	1p36_22	rs57533288	H6PD	Coding_LD	0
2	1p36_22	rs57533288	H6PD	Coding_Lit	0
2	1p36_22	rs57533288	H6PD	OMIM	1
2	1p36_22	rs57533288	H6PD	DEG_AD	0
2	1p36_22	rs57533288	SPSB1	Novel_loci	0
2	1p36_22	rs57533288	SPSB1	Nearest_gene	1
2	1p36_22	rs57533288	SPSB1	V2G	1
2	1p36_22	rs57533288	SPSB1	DEPICT	0
2	1p36_22	rs57533288	SPSB1	MAGMA	0
2	1p36_22	rs57533288	SPSB1	cis_espQTL	1
2	1p36_22	rs57533288	SPSB1	trans_pQTL	0
2	1p36_22	rs57533288	SPSB1	Coding_CS	0
2	1p36_22	rs57533288	SPSB1	Coding_LD	0
2	1p36_22	rs57533288	SPSB1	Coding_Lit	0
2	1p36_22	rs57533288	SPSB1	OMIM	0
2	1p36_22	rs57533288	SPSB1	DEG_AD	0
3	1p36_22	rs11121848	KIAA2013	Novel_loci	0
3	1p36_22	rs11121848	KIAA2013	Nearest_gene	0
3	1p36_22	rs11121848	KIAA2013	V2G	0
3	1p36_22	rs11121848	KIAA2013	DEPICT	0
3	1p36_22	rs11121848	KIAA2013	MAGMA	0
3	1p36_22	rs11121848	KIAA2013	cis_espQTL	1
3	1p36_22	rs11121848	KIAA2013	trans_pQTL	0
3	1p36_22	rs11121848	KIAA2013	Coding_CS	0
3	1p36_22	rs11121848	KIAA2013	Coding_LD	0
3	1p36_22	rs11121848	KIAA2013	Coding_Lit	0
